,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.10325591468590001,1,-0.062916584
0.00075015,2,-0.1025764239885,2,-0.062443372999999996
0.00105225,3,-0.1010123521731,3,-0.06141962
0.001476,4,-0.0993455448388,4,-0.060308787
0.0020704,5,-0.0976807571717,5,-0.059218831
0.00290415,6,-0.09605126724450001,6,-0.058071357000000004
0.0040737,7,-0.09446156358949999,7,-0.056950583
0.00571425,8,-0.09294080050870002,8,-0.055771303
0.00801545,9,-0.09152016065829999,9,-0.054630654
0.01124335,10,-0.0902530953776,10,-0.053433635
0.01577115,11,-0.08921474715960002,11,-0.052252182
0.02212235,12,-0.08849468559701,12,-0.051107201
0.03103125,13,-0.08822958059979999,13,-0.049964124000000006
0.04352785,14,-0.08850066574089999,14,-0.048818134000000006
0.061057,15,-0.085147247052,15,-0.044783547
0.0856453,16,-0.069571427999,16,-0.032137489
0.1201355,17,-0.041543152766,17,-0.010375364
0.1685155,18,-0.00682437953,18,0.0173403
0.2363785,19,0.034932216989999994,19,0.051534187
0.3315485,20,0.0848689081878,20,0.093382511
0.4651,21,0.144490900496,21,0.1442599
0.6524,22,0.21598778761,22,0.20503652
0.9151,23,0.27932405904,23,0.25999979
1.28365,24,0.26919493217000007,24,0.26018258
1.8006,25,0.19605577375000002,25,0.20806372
2.5257,26,0.12668558312899997,26,0.14940958
3.5428,27,0.07668145028,27,0.098217976
4.96955,28,0.044832137646,28,0.058215424
6.97085,29,0.027253498810000002,29,0.031328428
9.7781,30,0.018033167410000002,30,0.01603313
13.71585,31,0.01199783572,31,0.0084523136
19.23935,32,0.007031392900000001,32,0.0049977925
26.98725,33,0.003813907679999999,33,0.0039005940000000003
37.8553,34,0.0015298721200000007,34,0.0026874722
53.10005,35,-0.00211115508,35,-0.0010597689
73.8875,36,-0.00728772348,36,-0.0070554948
97.6625,37,-0.011909970510000001,37,-0.012638187
121.4375,38,-0.0158282255,38,-0.017547335
145.2125,39,-0.0211209325,39,-0.023565372
168.9875,40,-0.0268768053,40,-0.029559687
192.7625,41,-0.029326927200000002,41,-0.03211899
216.5375,42,-0.02794772426,42,-0.030958614
240.3125,43,-0.02617125955,43,-0.028985088
264.0875,44,-0.02450216976,44,-0.027019683
287.8625,45,-0.02274746704,45,-0.024972586
311.6375,46,-0.020827694849999998,46,-0.022812039
335.4125,47,-0.018711404209999997,47,-0.020496332
359.1875,48,-0.016389114150000002,48,-0.018078092
382.9625,49,-0.01386496876,49,-0.015493856
406.7375,50,-0.01116856438,50,-0.012799573
430.5125,51,-0.008369529340000001,51,-0.010070192
454.2875,52,-0.005549074692,52,-0.007378427900000001
478.0625,53,-0.0027564758199999997,53,-0.004661054600000001
501.8375,54,2.2334260000000147e-05,54,-0.0020071471
525.6125,55,0.002841932439,55,0.0006721457000000001
549.3875,56,0.00575526952,56,0.0034632073
573.1625,57,0.008794728651999999,57,0.006403368299999999
596.9375,58,0.011982058897,58,0.0095165259
620.7125,59,0.015332884860000002,59,0.012817941000000001
644.4875,60,0.01886117884,60,0.016337982
668.2625,61,0.022585479608,61,0.0201006
692.0375,62,0.026531857544,62,0.024067785
715.8125,63,0.030731355369,63,0.02839598
739.5875,64,0.035214870829,64,0.033001989
763.3625,65,0.0399996888,65,0.037857178
787.1375,66,0.045049784509999996,66,0.043009763
810.9125,67,0.050178961349999995,67,0.04819785099999999
834.6875,68,0.054998554399999997,68,0.05310730599999999
858.4625,69,0.05911624786,69,0.057524708
882.2375,70,0.06249972134,70,0.06124741
906.0125,71,0.06553706968,71,0.064663907
929.7875,72,0.06870868603000001,72,0.06816842599999999
953.5625,73,0.07237857710000001,73,0.071963129
977.3375,74,0.07686846985,74,0.076408088
1001.1125,75,0.08272796985,75,0.081535901
