,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.274965047,0.0,-19.274965047,-19.303396,8.9208232e-08,-19.303396
0.0006244,2,-19.274975296999997,2.66810418893e-06,-19.274972638999998,-19.303403,1.8455307999999999e-06,-19.303401
0.0008759,3,-19.274979522000002,3.7536604698e-06,-19.274975677999997,-19.303404999999998,2.5615629999999998e-06,-19.303403
0.0012286,4,-19.274985272000002,5.3090675644e-06,-19.274979971,-19.303409,3.5878988e-06,-19.303404999999998
0.0017234,5,-19.274993387,7.5408629884e-06,-19.274985858999997,-19.303414,5.0607859e-06,-19.303409
0.0024174,6,-19.275004563,1.07413512971e-05,-19.274993836,-19.303421,7.172419599999999e-06,-19.303414
0.0033909,7,-19.275020147,1.5327779007499997e-05,-19.275004850000002,-19.303431,1.0202481e-05,-19.303421
0.0047565,8,-19.275042078,2.1894911477800003e-05,-19.275020239,-19.303444,1.4546818e-05,-19.30343
0.006672,9,-19.275072613,3.1287985585000007e-05,-19.275041199,-19.303463,2.0779702000000002e-05,-19.303442
0.0093589,10,-19.275115135,4.4707561419000004e-05,-19.275070335000002,-19.303489000000003,2.9713177e-05,-19.30346
0.0131278,11,-19.275174569,6.385289657899999e-05,-19.275110763999997,-19.303526,4.2526403e-05,-19.303484
0.0184145,12,-19.275257675,9.1116155291e-05,-19.275166563,-19.303577,6.0894693e-05,-19.303516000000002
0.0258302,13,-19.275374120000002,0.000129847174036,-19.275244273,-19.303648000000003,8.720654e-05,-19.303561
0.0362323,14,-19.275537731999997,0.000184719695395,-19.275352953000002,-19.303748000000002,0.00012489593,-19.303623
0.0508234,15,-19.275768335,0.00026228475000000004,-19.275505981000002,-19.303886,0.0001788968,-19.303707
0.0712906,16,-19.276089252,0.0003768453642099999,-19.275712443,-19.304076000000002,0.00025987792,-19.303816
0.1,17,-19.276515914,0.00056683220755,-19.275949076000003,-19.304320999999998,0.00039578507000000005,-19.303925
0.140271,18,-19.27705096,0.0009037492301500001,-19.276147251,-19.304614,0.0006395926400000001,-19.303975
0.19676,19,-19.277688335999997,0.0014954273830999998,-19.276192903000002,-19.304934,0.0010754775,-19.303859
0.275997,20,-19.278384058,0.0025190485219,-19.275864927999997,-19.305222,0.0018469739,-19.303375
0.3871,21,-19.279010345000003,0.004262361479099999,-19.274748105,-19.305343,0.0031977279,-19.302146
0.5431,22,-19.279265507,0.0071875719809999985,-19.27207796,-19.305019,0.0055397143999999995,-19.29948
0.7617,23,-19.278482445,0.011997495867,-19.266485009999997,-19.303703,0.009533009200000001,-19.29417
1.0685,24,-19.275685929,0.019352254080000002,-19.256333639,-19.300658,0.015938346000000003,-19.28472
1.4988,25,-19.270966942,0.028354782997,-19.242612136,-19.295955,0.024499001,-19.271456
2.1024,26,-19.265522872000002,0.03692881290000001,-19.228594135,-19.290485,0.033906748,-19.256578
2.949,27,-19.259909510999996,0.044020194309999996,-19.215889216,-19.284686999999998,0.043094324,-19.241592999999998
4.1366,28,-19.254392745,0.04929093386000001,-19.2051018036,-19.278801,0.051027067,-19.227774
5.8025,29,-19.249190107,0.05293533548,-19.1962547164,-19.273028,0.056743207999999996,-19.216285
8.1392,30,-19.244391781999997,0.05568080539,-19.188710954,-19.267469000000002,0.059856565,-19.207612
11.417,31,-19.240112488999998,0.058403448219999994,-19.1817091166,-19.262267,0.060881208,-19.201386
16.0147,32,-19.236930729,0.06175612099,-19.175174688200002,-19.258053,0.061270955,-19.196782000000002
22.464,33,-19.236180738999998,0.06637773021,-19.1698029566,-19.256180999999998,0.06321769,-19.192964
31.5105,34,-19.239343169999998,0.07362730547000002,-19.1657158665,-19.258291,0.069507551,-19.188782999999997
