,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.10325592,,
0.000312205,,,1.0,-0.062979082
0.00075015,2.0,-0.10257642,2.0,-0.06253805700000001
0.00105225,3.0,-0.10101235,3.0,-0.061495100999999996
0.001476,4.0,-0.099345545,4.0,-0.060399824000000005
0.0020704,5.0,-0.097680757,5.0,-0.059286952999999996
0.00290415,6.0,-0.096051267,6.0,-0.058159994000000007
0.0040737,7.0,-0.094461564,7.0,-0.057010661
0.00571425,8.0,-0.09294080099999999,8.0,-0.05585760099999999
0.00801545,9.0,-0.091520161,9.0,-0.054682025999999995
0.01124335,10.0,-0.090253095,10.0,-0.053516415
0.01577115,11.0,-0.089214747,11.0,-0.052334992000000004
0.02212235,12.0,-0.088494686,12.0,-0.051180928
0.03103125,13.0,-0.088229581,13.0,-0.05004520900000001
0.04352785,14.0,-0.08850066599999999,14.0,-0.048879905
0.061057,15.0,-0.085147247,15.0,-0.044860555
0.0856453,16.0,-0.069571428,16.0,-0.032203297
0.1201355,17.0,-0.041543153,17.0,-0.010381941
0.1685155,18.0,-0.0068243795,18.0,0.01731881
0.2363785,19.0,0.034932217,19.0,0.05154307599999999
0.3315485,20.0,0.084868908,20.0,0.093475081
0.4651,21.0,0.1444909,21.0,0.14436477
0.6524,22.0,0.21598779,22.0,0.20518281
0.9151,23.0,0.27932406,23.0,0.2602553
1.28365,24.0,0.26919493,24.0,0.26036644
1.8006,25.0,0.19605577,25.0,0.20819337
2.5257,26.0,0.12668558,26.0,0.14948142
3.5428,27.0,0.07668145,27.0,0.09825966900000001
4.96955,28.0,0.044832137,28.0,0.058211572999999996
6.97085,29.0,0.027253499,29.0,0.031312138999999996
9.7781,30.0,0.018033167,30.0,0.016015255
13.71585,31.0,0.011997836000000001,31.0,0.0084748646
19.23935,32.0,0.007031393,32.0,0.0050189341
26.98725,33.0,0.0038139077000000003,33.0,0.0039165574
37.8553,34.0,0.0015298720999999999,34.0,0.002706787
53.10005,35.0,-0.0021111551,35.0,-0.0010639485
73.8875,36.0,-0.0072877235,36.0,-0.0070414545
97.6625,37.0,-0.011909971,37.0,-0.012630127
121.4375,38.0,-0.015828226,38.0,-0.017541829
145.2125,39.0,-0.021120932999999998,39.0,-0.023558912
168.9875,40.0,-0.026876805,40.0,-0.02957355
192.7625,41.0,-0.029326927000000003,41.0,-0.032133867999999996
216.5375,42.0,-0.027947724,42.0,-0.03095167
240.3125,43.0,-0.02617126,43.0,-0.028997737000000003
264.0875,44.0,-0.02450217,44.0,-0.027031452999999997
287.8625,45.0,-0.022747467,45.0,-0.024984701
311.6375,46.0,-0.020827695,46.0,-0.022780522
335.4125,47.0,-0.018711403999999997,47.0,-0.020507573
359.1875,48.0,-0.016389114,48.0,-0.018085257
382.9625,49.0,-0.013864969,49.0,-0.015496245
406.7375,50.0,-0.011168563999999999,50.0,-0.01280811
430.5125,51.0,-0.008369529300000001,51.0,-0.010078454
454.2875,52.0,-0.0055490747,52.0,-0.0073604709
478.0625,53.0,-0.0027564758000000003,53.0,-0.004668602
501.8375,54.0,2.2334297000000002e-05,54.0,-0.0020143372000000002
525.6125,55.0,0.0028419325,55.0,0.0006754758199999999
549.3875,56.0,0.005755269499999999,56.0,0.0034800124
573.1625,57.0,0.0087947286,57.0,0.0064228259
596.9375,58.0,0.011982059,58.0,0.0095279749
620.7125,59.0,0.015332885,59.0,0.012814543999999999
644.4875,60.0,0.018861179,60.0,0.016335974
668.2625,61.0,0.02258548,61.0,0.020099619
692.0375,62.0,0.026531857000000002,62.0,0.024110952
715.8125,63.0,0.030731355,63.0,0.028397868
739.5875,64.0,0.035214871,64.0,0.033005783
763.3625,65.0,0.039999689,65.0,0.037878095
787.1375,66.0,0.045049785,66.0,0.04301714
810.9125,67.0,0.050178960999999994,67.0,0.048211341
834.6875,68.0,0.054998554000000005,68.0,0.05318333
858.4625,69.0,0.059116247000000004,69.0,0.057537435
882.2375,70.0,0.062499722,70.0,0.0612618
906.0125,71.0,0.065537069,71.0,0.064679323
929.7875,72.0,0.06870868599999999,72.0,0.06818461099999999
953.5625,73.0,0.072378577,73.0,0.072058886
977.3375,74.0,0.07686846900000001,74.0,0.07647944599999999
1001.1125,75.0,0.08272797,75.0,0.08158014799999999
