,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-19.274964999999998,0.0,-19.274964999999998,,,
1e-08,1,,,,-19.301753,8.944598300000001e-08,-19.301753
0.0006244,2,-19.274975,2.6681041e-06,-19.274973000000003,-19.301759,1.8485393e-06,-19.301757000000002
0.0008759,3,-19.27498,3.7536604999999996e-06,-19.274976000000002,-19.301762,2.56519e-06,-19.301759
0.0012286,4,-19.274985,5.3090676e-06,-19.27498,-19.301765,3.5928161e-06,-19.301762
0.0017234,5,-19.274993,7.5408630000000005e-06,-19.274986,-19.30177,5.0670645000000006e-06,-19.301765
0.0024174,6,-19.275005,1.0741351e-05,-19.274994,-19.301776999999998,7.1815444e-06,-19.30177
0.0033909,7,-19.27502,1.5327779000000002e-05,-19.275005,-19.301787,1.0214425e-05,-19.301776999999998
0.0047565,8,-19.275042000000003,2.1894912e-05,-19.27502,-19.301801,1.4565025e-05,-19.301786
0.006672,9,-19.275073000000003,3.1287985e-05,-19.275041,-19.301819000000002,2.0803733000000002e-05,-19.301799
0.0093589,10,-19.275115,4.4707562e-05,-19.27507,-19.301845999999998,2.9750945000000003e-05,-19.301816
0.0131278,11,-19.275175,6.3852897e-05,-19.275111,-19.301883,4.2576423000000004e-05,-19.30184
0.0184145,12,-19.275257999999997,9.1116155e-05,-19.275167,-19.301934,6.0961988000000004e-05,-19.301873
0.0258302,13,-19.275374,0.00012984717,-19.275244,-19.302004999999998,8.7302135e-05,-19.301918
0.0362323,14,-19.275538,0.00018471968999999997,-19.275353,-19.302104,0.00012502686,-19.301979
0.0508234,15,-19.275768,0.00026228475,-19.275506,-19.302243,0.00017909426,-19.302064
0.0712906,16,-19.276089000000002,0.00037684537000000004,-19.275712,-19.302432999999997,0.00026015086,-19.302173
0.1,17,-19.276516,0.00056683221,-19.275949,-19.302678,0.00039618444,-19.302282
0.140271,18,-19.277051,0.0009037492300000001,-19.276147,-19.302972,0.0006403124400000001,-19.302332
0.19676,19,-19.277688,0.0014954273999999998,-19.276193,-19.303292000000003,0.0010765987,-19.302216
0.275997,20,-19.278384,0.0025190485,-19.275865,-19.303581,0.001848801,-19.301732
0.3871,21,-19.27901,0.0042623615,-19.274748000000002,-19.303703,0.0032010834,-19.300501999999998
0.5431,22,-19.279266,0.007187571899999999,-19.272078,-19.303379,0.0055452842,-19.297833999999998
0.7617,23,-19.278482,0.011997495,-19.266485,-19.302062,0.0095420916,-19.29252
1.0685,24,-19.275686,0.019352254,-19.256334,-19.299015,0.01595398,-19.283061
1.4988,25,-19.270967000000002,0.028354782999999998,-19.242612,-19.294309,0.024521249,-19.269788000000002
2.1024,26,-19.265523,0.036928813,-19.228594,-19.288835,0.033935177999999996,-19.2549
2.949,27,-19.259909,0.044020195,-19.215889,-19.283035,0.043126998,-19.239908
4.1366,28,-19.254393,0.049290934,-19.205102,-19.277145,0.051061842,-19.226083
5.8025,29,-19.24919,0.052935335,-19.196254999999997,-19.27137,0.056775167,-19.214595000000003
8.1392,30,-19.244392,0.055680805,-19.188710999999998,-19.265810000000002,0.059883175999999996,-19.205927
11.417,31,-19.240113,0.058403448,-19.181708999999998,-19.26061,0.060902740999999996,-19.199707999999998
16.0147,32,-19.236931,0.061756121,-19.175175,-19.256391,0.061299155,-19.195092000000002
22.464,33,-19.236181,0.06637773,-19.169802999999998,-19.254512,0.063255539,-19.191257
31.5105,34,-19.239342999999998,0.07362730599999999,-19.165716,-19.256617000000002,0.06955747400000001,-19.187059
44.2001,35,-19.248398,0.084981499,-19.163416,-19.265159,0.082168408,-19.18299
62.0,36,-19.268651000000002,0.10078342,-19.167868,-19.286426000000002,0.10119226,-19.185234
