,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.0488858059178,1,-0.0080271298
0.00075015,2,-0.04463644665739999,2,-0.0054601113
0.00105225,3,-0.03535318288,3,0.0006018889299999999
0.001476,4,-0.025071606654000007,4,0.0071489983
0.0020704,5,-0.013849433758999998,5,0.014385571000000002
0.00290415,6,-0.001628612806,6,0.022323793999999998
0.0040737,7,0.011642178602000001,7,0.030982477999999997
0.00571425,8,0.026033648522,8,0.040511768
0.00801545,9,0.041584254034200005,9,0.050918677
0.01124335,10,0.058360785857,10,0.062273347
0.01577115,11,0.07639610257700001,11,0.074644896
0.02212235,12,0.095713195291,12,0.08810245400000001
0.03103125,13,0.11625565485,13,0.10265306
0.04352785,14,0.13520492310999999,14,0.11648385
0.061057,15,0.14967296104000002,15,0.12779367
0.0856453,16,0.16173522302999999,16,0.13800711
0.1201355,17,0.17351580434000002,17,0.1485851
0.1685155,18,0.1850143647,18,0.15956727
0.2363785,19,0.19624751519000003,19,0.17088672
0.3315485,20,0.20749891919000002,20,0.18263318
0.4651,21,0.21772866544000002,21,0.19340309
0.6524,22,0.19899348511,22,0.18301081
0.9151,23,0.14677407459000003,23,0.14686484
1.28365,24,0.09634565585,24,0.10837176
1.8006,25,0.059257281665,25,0.07574821
2.5257,26,0.03352369762599999,26,0.048666228
3.5428,27,0.016601723322999997,27,0.027028952000000002
4.96955,28,0.008060128617,28,0.012709077
6.97085,29,0.005762376826999999,29,0.0059180123
9.7781,30,0.005069896143000001,30,0.0031423838
13.71585,31,0.004063066248,31,0.0019707837
19.23935,32,0.0026576185,32,0.0014400855
26.98725,33,0.00238225666,33,0.0022672981
37.8553,34,0.00333203809,34,0.0039871155
53.10005,35,0.003866716162,35,0.0049861103
73.8875,36,0.003959903193,36,0.0053382966
97.6625,37,0.0036491159750000005,37,0.0051245087
121.4375,38,0.0024394208398999997,38,0.0039152823
145.2125,39,0.0007077700179999997,39,0.0020159539000000003
168.9875,40,-0.00096913849,40,-3.3784618e-05
192.7625,41,-0.00272103734,41,-0.0023030037
216.5375,42,-0.004640848218,42,-0.004860120900000001
240.3125,43,-0.0068522511,43,-0.0077434241
264.0875,44,-0.00957822263,44,-0.011053711
287.8625,45,-0.01288678384,45,-0.014588595
311.6375,46,-0.014531276110000001,46,-0.016330412
335.4125,47,-0.01306266639,47,-0.015158416999999999
359.1875,48,-0.01052398547,48,-0.012715576999999999
382.9625,49,-0.00820558814,49,-0.010243565999999999
406.7375,50,-0.00595867693,50,-0.0077785545
430.5125,51,-0.00367100161,51,-0.0052814264
454.2875,52,-0.0012902982560000003,52,-0.0027480528000000002
478.0625,53,0.0012065475550000003,53,-8.7476809e-05
501.8375,54,0.0038220851080000002,54,0.0026308773
525.6125,55,0.0065429142830000005,55,0.0054320392000000006
549.3875,56,0.009335557008100001,56,0.008285005699999999
573.1625,57,0.012152567804999998,57,0.011145463999999999
596.9375,58,0.014933891794999998,58,0.013953459
620.7125,59,0.017616394920000004,59,0.016617493
644.4875,60,0.020150284339999998,60,0.019201287
668.2625,61,0.022509836550000002,61,0.021590007
692.0375,62,0.024702287889999997,62,0.023824569
715.8125,63,0.02676480469,63,0.025952024
739.5875,64,0.028762079109999998,64,0.028035732999999997
763.3625,65,0.03077179702,65,0.030140917000000003
787.1375,66,0.03286647251,66,0.032314918
810.9125,67,0.035073488310000005,67,0.034565799
834.6875,68,0.03726504306,68,0.036724003
858.4625,69,0.038970121819999995,69,0.038285217
882.2375,70,0.03938378486,70,0.038706611
906.0125,71,0.037967798739999996,71,0.037426175
929.7875,72,0.035046385060000004,72,0.03472177
953.5625,73,0.031403753279999995,73,0.031392733
977.3375,74,0.02756643953,74,0.027793566000000002
1001.1125,75,0.0236133260981,75,0.024299527
