,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-8.185269743000001,0.0,-8.185269743000001,-8.1781773,9.4005155e-08,-8.1781772
0.0006244,2,-8.185276252000001,2.811595584000001e-06,-8.185273447,-8.178179799999999,1.9466832e-06,-8.178177799999998
0.0008759,3,-8.185278766,4.0057727894e-06,-8.185274772,-8.1781807,2.7388947e-06,-8.178177999999999
0.0012286,4,-8.1852821,5.8682538521e-06,-8.185276249000001,-8.1781819,3.978909e-06,-8.178177900000001
0.0017234,5,-8.185286463,8.7737833719e-06,-8.185277706,-8.1781834,5.909888599999999e-06,-8.178177499999999
0.0024174,6,-8.185292107,1.3298545204799998e-05,-8.185278839,-8.1781853,8.915985400000001e-06,-8.178176299999999
0.0033909,7,-8.185299296,2.0333264922099994e-05,-8.185279025,-8.1781874,1.3591913e-05,-8.1781738
0.0047565,8,-8.185308394,3.1249267710999993e-05,-8.18527713,-8.1781896,2.0853596e-05,-8.1781688
0.006672,9,-8.185319343,4.8153586937000004e-05,-8.185271214,-8.1781917,3.2123408e-05,-8.178159599999999
0.0093589,10,-8.185332263,7.427339229100002e-05,-8.185257998,-8.1781929,4.9592205e-05,-8.178143400000002
0.0131278,11,-8.185346479,0.000114542105269,-8.185231887,-8.1781922,7.663514e-05,-8.1781156
0.0184145,12,-8.185360553,0.00017646432479999998,-8.185184044,-8.1781872,0.00011844367,-8.1780688
0.0258302,13,-8.185371473,0.00027140237543999996,-8.185099985999999,-8.178174400000001,0.0001829854,-8.1779914
0.0362323,14,-8.185373209,0.0004164359807,-8.184956758999999,-8.1781473,0.00028242407,-8.177864900000001
0.0508234,15,-8.185357844,0.00063470005866,-8.184723151,-8.178097200000002,0.00043368371,-8.1776635
0.0712906,16,-8.185315677,0.00095543844954,-8.184360288,-8.1780128,0.0006591312400000001,-8.1773537
0.1,17,-8.185230363,0.0014202255960999999,-8.18381019,-8.177876,0.0009917601,-8.1768843
0.140271,18,-8.185071993000001,0.0020895259087999997,-8.182982414,-8.1776569,0.0014814704999999999,-8.1761754
0.19676,19,-8.184790732,0.0030463126320999998,-8.181744382,-8.177308199999999,0.0022006422,-8.1751075
0.275997,20,-8.184304293999999,0.0044019130178000005,-8.179902377,-8.1767564,0.0032529729999999997,-8.1735034
0.3871,21,-8.183473056,0.006301486266999999,-8.17717149,-8.1758851,0.0047855532,-8.1710995
0.5431,22,-8.18206433,0.008916298110000002,-8.173148092,-8.1745197,0.0069944581999999995,-8.1675252
0.7617,23,-8.18007278,0.012077661675999999,-8.167995142,-8.1726574,0.0098717211,-8.1627857
1.0685,24,-8.177860193,0.015199247773,-8.162660977,-8.1705584,0.013110688,-8.1574477
1.4988,25,-8.17563905,0.017888989645,-8.1577500187,-8.1683828,0.016459593,-8.1519232
2.1024,26,-8.173483039999999,0.019970040221,-8.1535131339,-8.1662046,0.019698027,-8.146506599999999
2.949,27,-8.17150029,0.021349088262,-8.150151129200001,-8.164139,0.02251342,-8.1416255
4.1366,28,-8.169885717,0.022070157058,-8.147815663100001,-8.16237,0.024547324,-8.1378227
5.8025,29,-8.168746233999999,0.022521185221000002,-8.14622506048,-8.1609944,0.025679953,-8.1353145
8.1392,30,-8.16797049,0.02334045101,-8.14462998039,-8.1599215,0.026245242999999998,-8.1336762
11.417,31,-8.167598518,0.024937062700000002,-8.14266150799,-8.1592122,0.026756282000000003,-8.132456
16.0147,32,-8.168038448,0.027589758810000004,-8.14044863023,-8.1593047,0.027922195,-8.131382499999999
22.464,33,-8.170210108,0.031791742649999996,-8.1384183051,-8.1610948,0.030812577999999997,-8.1302822
31.5105,34,-8.174867076,0.039001633200000003,-8.1358654421,-8.1652852,0.03743297,-8.1278523
