,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-8.1852698,0.0,-8.1852698,-8.1781773,9.4005155e-08,-8.1781772
0.0006244,2,-8.1852762,2.8115956e-06,-8.1852734,-8.178179799999999,1.9466832e-06,-8.178177799999998
0.0008759,3,-8.1852787,4.005772799999999e-06,-8.1852747,-8.1781807,2.7388947e-06,-8.178177999999999
0.0012286,4,-8.1852821,5.868253900000001e-06,-8.1852762,-8.1781819,3.978909e-06,-8.178177900000001
0.0017234,5,-8.1852865,8.7737834e-06,-8.1852777,-8.1781834,5.909888599999999e-06,-8.178177499999999
0.0024174,6,-8.1852921,1.3298545999999999e-05,-8.1852788,-8.1781853,8.915985400000001e-06,-8.178176299999999
0.0033909,7,-8.1852993,2.0333264999999998e-05,-8.185279,-8.1781874,1.3591913e-05,-8.1781738
0.0047565,8,-8.1853084,3.1249268000000005e-05,-8.185277099999999,-8.1781896,2.0853596e-05,-8.1781688
0.006672,9,-8.185319400000001,4.8153587e-05,-8.1852712,-8.1781917,3.2123408e-05,-8.178159599999999
0.0093589,10,-8.1853323,7.4273392e-05,-8.185258000000001,-8.1781929,4.9592205e-05,-8.178143400000002
0.0131278,11,-8.1853465,0.00011454211000000001,-8.1852319,-8.1781922,7.663514e-05,-8.1781156
0.0184145,12,-8.1853605,0.00017646432,-8.1851841,-8.1781872,0.00011844367,-8.1780688
0.0258302,13,-8.185371400000001,0.00027140237,-8.1851,-8.178174400000001,0.0001829854,-8.1779914
0.0362323,14,-8.1853732,0.00041643598,-8.1849568,-8.1781473,0.00028242407,-8.177864900000001
0.0508234,15,-8.1853578,0.00063470006,-8.1847231,-8.178097200000002,0.00043368371,-8.1776635
0.0712906,16,-8.185315600000001,0.00095543845,-8.1843602,-8.1780128,0.0006591312400000001,-8.1773537
0.1,17,-8.1852304,0.0014202256,-8.183810099999999,-8.177876,0.0009917601,-8.1768843
0.140271,18,-8.1850719,0.0020895259,-8.1829824,-8.1776569,0.0014814704999999999,-8.1761754
0.19676,19,-8.1847907,0.0030463126,-8.1817444,-8.177308199999999,0.0022006422,-8.1751075
0.275997,20,-8.1843043,0.0044019129999999995,-8.179902400000001,-8.1767564,0.0032529729999999997,-8.1735034
0.3871,21,-8.183473,0.0063014862,-8.1771715,-8.1758851,0.0047855532,-8.1710995
0.5431,22,-8.1820643,0.008916298100000001,-8.173148,-8.1745197,0.0069944581999999995,-8.1675252
0.7617,23,-8.1800728,0.012077662,-8.1679951,-8.1726574,0.0098717211,-8.1627857
1.0685,24,-8.1778602,0.015199248,-8.162661,-8.1705584,0.013110688,-8.1574477
1.4988,25,-8.175639,0.017888988999999998,-8.15775,-8.1683828,0.016459593,-8.1519232
2.1024,26,-8.173483099999999,0.01997004,-8.1535131,-8.1662046,0.019698027,-8.146506599999999
2.949,27,-8.1715002,0.021349088,-8.1501511,-8.164139,0.02251342,-8.1416255
4.1366,28,-8.1698858,0.022070157000000003,-8.1478156,-8.16237,0.024547324,-8.1378227
5.8025,29,-8.1687462,0.022521185,-8.146225,-8.1609944,0.025679953,-8.1353145
8.1392,30,-8.167970500000001,0.023340451,-8.144630000000001,-8.1599215,0.026245242999999998,-8.1336762
11.417,31,-8.1675986,0.024937063,-8.1426615,-8.1592122,0.026756282000000003,-8.132456
16.0147,32,-8.1680384,0.027589759,-8.1404486,-8.1593047,0.027922195,-8.131382499999999
22.464,33,-8.17021,0.031791743,-8.1384183,-8.1610948,0.030812577999999997,-8.1302822
31.5105,34,-8.1748671,0.039001634,-8.1358654,-8.1652852,0.03743297,-8.1278523
44.2001,35,-8.1822671,0.051410292999999996,-8.1308568,-8.1721383,0.050279968,-8.1218583
