,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.048885805,,
0.000312205,,,1.0,-0.0080615079
0.00075015,2.0,-0.044636447,2.0,-0.005491833000000001
0.00105225,3.0,-0.035353182999999996,3.0,0.0005749148
0.001476,4.0,-0.025071606,4.0,0.0071476152000000005
0.0020704,5.0,-0.013849433999999999,5.0,0.014371913
0.00290415,6.0,-0.0016286128,6.0,0.022317427
0.0040737,7.0,0.011642178999999999,7.0,0.031020066000000002
0.00571425,8.0,0.026033648,8.0,0.040539177999999995
0.00801545,9.0,0.041584254,9.0,0.05093965
0.01124335,10.0,0.058360786,10.0,0.062305071
0.01577115,11.0,0.07639610299999999,11.0,0.07468822
0.02212235,12.0,0.095713196,12.0,0.088158371
0.03103125,13.0,0.11625565,13.0,0.10272253
0.04352785,14.0,0.13520492,14.0,0.11658839
0.061057,15.0,0.14967296,15.0,0.12791412
0.0856453,16.0,0.16173522,16.0,0.13810913
0.1201355,17.0,0.17351581,17.0,0.14869658
0.1685155,18.0,0.18501436,18.0,0.1596884
0.2363785,19.0,0.19624752,19.0,0.17106621
0.3315485,20.0,0.20749892,20.0,0.18279657
0.4651,21.0,0.21772866,21.0,0.19355241
0.6524,22.0,0.19899348,22.0,0.18314853
0.9151,23.0,0.14677407,23.0,0.14701437
1.28365,24.0,0.096345656,24.0,0.10844934
1.8006,25.0,0.059257282,25.0,0.075781455
2.5257,26.0,0.033523698,26.0,0.048679905999999995
3.5428,27.0,0.016601723,27.0,0.027046917
4.96955,28.0,0.008060128599999999,28.0,0.012730258999999999
6.97085,29.0,0.005762376800000001,29.0,0.0059092625
9.7781,30.0,0.0050698960999999996,30.0,0.0031302523999999997
13.71585,31.0,0.0040630662,31.0,0.0019772145000000003
19.23935,32.0,0.0026576186,32.0,0.0014544534
26.98725,33.0,0.0023822567,33.0,0.0022674853
37.8553,34.0,0.0033320381,34.0,0.0039898513
53.10005,35.0,0.0038667160999999997,35.0,0.0049874364
73.8875,36.0,0.0039599032,36.0,0.005353444000000001
97.6625,37.0,0.0036491159000000004,37.0,0.0051379269
121.4375,38.0,0.0024394209,38.0,0.0039169217
145.2125,39.0,0.0007077701,39.0,0.0020177996
168.9875,40.0,-0.00096913849,40.0,-3.2826429e-05
192.7625,41.0,-0.0027210372999999996,41.0,-0.0023033968
216.5375,42.0,-0.0046408482000000004,42.0,-0.0048622673
240.3125,43.0,-0.0068522511,43.0,-0.0077478015
264.0875,44.0,-0.0095782226,44.0,-0.011061057
287.8625,45.0,-0.012886783999999998,45.0,-0.014599798999999998
311.6375,46.0,-0.014531276000000001,46.0,-0.016344956
335.4125,47.0,-0.013062666,47.0,-0.015138819
359.1875,48.0,-0.010523985,48.0,-0.012693622
382.9625,49.0,-0.008205588100000001,49.0,-0.010227716999999999
406.7375,50.0,-0.005958676899999999,50.0,-0.007782459100000001
430.5125,51.0,-0.0036710016,51.0,-0.0052909168999999995
454.2875,52.0,-0.0012902983,52.0,-0.00273918
478.0625,53.0,0.0012065475999999999,53.0,-9.4239462e-05
501.8375,54.0,0.0038220852000000003,54.0,0.0026252079
525.6125,55.0,0.0065429142000000004,55.0,0.005427095799999999
549.3875,56.0,0.009335557,56.0,0.008280448000000001
573.1625,57.0,0.012152568,57.0,0.011140928999999999
596.9375,58.0,0.014933891999999999,58.0,0.013948506999999999
620.7125,59.0,0.017616395,59.0,0.016634978
644.4875,60.0,0.020150285,60.0,0.019194884
668.2625,61.0,0.022509837,61.0,0.021586833
692.0375,62.0,0.024702288,62.0,0.023850966
715.8125,63.0,0.026764805,63.0,0.025994767000000002
739.5875,64.0,0.028762079,64.0,0.028083498999999998
763.3625,65.0,0.030771797000000004,65.0,0.030183874
787.1375,66.0,0.032866472,66.0,0.032343735
810.9125,67.0,0.035073488,67.0,0.034570086
834.6875,68.0,0.037265042000000005,68.0,0.036723752
858.4625,69.0,0.038970122,69.0,0.038329059
882.2375,70.0,0.039383785,70.0,0.038710518
906.0125,71.0,0.037967798999999997,71.0,0.037430391
929.7875,72.0,0.035046385,72.0,0.034766046
953.5625,73.0,0.031403753,73.0,0.031394893
977.3375,74.0,0.027566438999999998,74.0,0.027846678
1001.1125,75.0,0.023613326,75.0,0.024300102
