,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-8.1852698,0.0,-8.1852698,,,
1e-08,1,,,,-8.1778083,9.420029800000002e-08,-8.1778082
0.0006244,2,-8.1852762,2.8115956e-06,-8.1852734,-8.1778107,1.9486272e-06,-8.177808800000001
0.0008759,3,-8.1852787,4.005772799999999e-06,-8.1852747,-8.1778117,2.7415816e-06,-8.1778089
0.0012286,4,-8.1852821,5.868253900000001e-06,-8.1852762,-8.1778129,3.9827559e-06,-8.1778089
0.0017234,5,-8.1852865,8.7737834e-06,-8.1852777,-8.1778144,5.9160936e-06,-8.177808500000001
0.0024174,6,-8.1852921,1.3298545999999999e-05,-8.1852788,-8.1778162,8.924981900000001e-06,-8.1778073
0.0033909,7,-8.1852993,2.0333264999999998e-05,-8.185279,-8.1778183,1.3605308e-05,-8.177804700000001
0.0047565,8,-8.1853084,3.1249268000000005e-05,-8.185277099999999,-8.177820599999999,2.0876693e-05,-8.1777997
0.006672,9,-8.185319400000001,4.8153587e-05,-8.1852712,-8.1778227,3.2158915e-05,-8.1777905
0.0093589,10,-8.1853323,7.4273392e-05,-8.185258000000001,-8.177824000000001,4.9644132e-05,-8.1777743
0.0131278,11,-8.1853465,0.00011454211000000001,-8.1852319,-8.1778232,7.671253e-05,-8.1777465
0.0184145,12,-8.1853605,0.00017646432,-8.1851841,-8.1778183,0.00011856041999999999,-8.1776997
0.0258302,13,-8.185371400000001,0.00027140237,-8.1851,-8.1778054,0.00018316283999999998,-8.1776223
0.0362323,14,-8.1853732,0.00041643598,-8.1849568,-8.1777784,0.00028269490000000004,-8.1774957
0.0508234,15,-8.1853578,0.00063470006,-8.1847231,-8.1777283,0.00043411553,-8.1772941
0.0712906,16,-8.185315600000001,0.00095543845,-8.1843602,-8.1776438,0.00065980724,-8.176984
0.1,17,-8.1852304,0.0014202256,-8.183810099999999,-8.177507,0.0009927455300000002,-8.176514200000002
0.140271,18,-8.1850719,0.0020895259,-8.1829824,-8.1772877,0.001482909,-8.1758048
0.19676,19,-8.1847907,0.0030463126,-8.1817444,-8.176938900000001,0.0022027406,-8.174736200000002
0.275997,20,-8.1843043,0.0044019129999999995,-8.179902400000001,-8.176386599999999,0.0032562529999999998,-8.1731303
0.3871,21,-8.183473,0.0063014862,-8.1771715,-8.175514699999999,0.004790345,-8.1707243
0.5431,22,-8.1820643,0.008916298100000001,-8.173148,-8.1741484,0.0070011676,-8.1671472
0.7617,23,-8.1800728,0.012077662,-8.1679951,-8.172285,0.0098808259,-8.162404200000001
1.0685,24,-8.1778602,0.015199248,-8.162661,-8.1701838,0.013123111000000002,-8.1570607
1.4988,25,-8.175639,0.017888988999999998,-8.15775,-8.1680067,0.016474456999999998,-8.1515323
2.1024,26,-8.173483099999999,0.01997004,-8.1535131,-8.1658276,0.019714298,-8.1461133
2.949,27,-8.1715002,0.021349088,-8.1501511,-8.163761099999999,0.022530234,-8.1412309
4.1366,28,-8.1698858,0.022070157000000003,-8.1478156,-8.1619902,0.024564718,-8.1374255
5.8025,29,-8.1687462,0.022521185,-8.146225,-8.160611,0.025697906,-8.134913099999999
8.1392,30,-8.167970500000001,0.023340451,-8.144630000000001,-8.1595372,0.026259974,-8.1332772
11.417,31,-8.1675986,0.024937063,-8.1426615,-8.1588293,0.026767641000000002,-8.1320617
16.0147,32,-8.1680384,0.027589759,-8.1404486,-8.158920599999998,0.027935849,-8.1309847
22.464,33,-8.17021,0.031791743,-8.1384183,-8.1607061,0.030832587,-8.1298735
31.5105,34,-8.1748671,0.039001634,-8.1358654,-8.1648989,0.037455517,-8.127443300000001
44.2001,35,-8.1822671,0.051410292999999996,-8.1308568,-8.1717563,0.050311009000000004,-8.1214453
