,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.08899057512990001,1,-0.05030596
0.00075015,2,-0.0881597461663,2,-0.049778975
0.00105225,3,-0.0863631764068,3,-0.048568802
0.001476,4,-0.08452754912349998,4,-0.04738153
0.0020704,5,-0.08268165028900001,5,-0.046139164
0.00290415,6,-0.0808574339131,6,-0.044913005
0.0040737,7,-0.07907569169230001,7,-0.043623014
0.00571425,8,-0.0773424079442,8,-0.042325611
0.00801545,9,-0.07570832264156,9,-0.041033361000000004
0.01124335,10,-0.07420951391599999,10,-0.039702585
0.01577115,11,-0.07292638675239999,11,-0.038399262999999996
0.02212235,12,-0.0719429932008,12,-0.037059842
0.03103125,13,-0.0713865925322,13,-0.035782467000000005
0.04352785,14,-0.07081770967300001,14,-0.034078629
0.061057,15,-0.063030971481,15,-0.027212646
0.0856453,16,-0.042390657679,16,-0.011334272
0.1201355,17,-0.013049183162999998,17,0.011324945
0.1685155,18,0.02205132771,18,0.03913109
0.2363785,19,0.06362564272,19,0.072858837
0.3315485,20,0.11273020659100001,20,0.11358092
0.4651,21,0.17096844663,21,0.16238647
0.6524,22,0.232278616388,22,0.21393128
0.9151,23,0.24443217295999997,23,0.23059191
1.28365,24,0.204489046265,24,0.20692524
1.8006,25,0.154026455184,25,0.1695731
2.5257,26,0.10259051552,26,0.12478331
3.5428,27,0.06421420624600001,27,0.08443708800000001
4.96955,28,0.03965461463,28,0.05237964
6.97085,29,0.024886828350000004,29,0.029481797999999997
9.7781,30,0.01623025754,30,0.015336201
13.71585,31,0.01083004979,31,0.0083995065
19.23935,32,0.006798580760000001,32,0.0054688779
26.98725,33,0.0031174323599999997,33,0.0034342394
37.8553,34,-0.0007172919799999999,34,0.00015502299999999998
53.10005,35,-0.00775758385,35,-0.0077015505
73.8875,36,-0.017467570400000004,36,-0.019191915
97.6625,37,-0.0258326075,37,-0.02905145
121.4375,38,-0.0294574547,38,-0.033307234
145.2125,39,-0.0291918602,39,-0.033264912
168.9875,40,-0.029401427039999997,40,-0.033156706
192.7625,41,-0.029394709109999997,41,-0.032710143
216.5375,42,-0.029065547070000003,42,-0.03199629
240.3125,43,-0.02840612682,43,-0.030937581000000002
264.0875,44,-0.02743215278,44,-0.029664224
287.8625,45,-0.02616298987,45,-0.028169811
311.6375,46,-0.02461860947,46,-0.026412815
335.4125,47,-0.022816413639999998,47,-0.024570981000000002
359.1875,48,-0.020771063709999996,48,-0.022473322
382.9625,49,-0.01849327386,49,-0.020200053
406.7375,50,-0.01598886899,50,-0.017749196999999998
430.5125,51,-0.013265698810000002,51,-0.015129443000000001
454.2875,52,-0.01032436817,52,-0.012338638999999998
478.0625,53,-0.007164968129999999,53,-0.0092438834
501.8375,54,-0.0037801994399999997,54,-0.0060072516
525.6125,55,-0.0001567861600000001,55,-0.0024235175
549.3875,56,0.003721503166,56,0.0013555867000000002
573.1625,57,0.00788301032,57,0.0055159791
596.9375,58,0.012366939713,58,0.009957004200000001
620.7125,59,0.017207097389,59,0.014731197
644.4875,60,0.022403826428,60,0.019815553
668.2625,61,0.027769520059999997,61,0.025008987000000003
692.0375,62,0.032710823240000006,62,0.029762081
715.8125,63,0.03631489734,63,0.033272486000000004
739.5875,64,0.0382026649,64,0.035386928
763.3625,65,0.039099561571,65,0.036622254
787.1375,66,0.0402501494418,66,0.03810254
810.9125,67,0.042621157374000004,67,0.040725814
834.6875,68,0.046505343881299996,68,0.044868766
858.4625,69,0.051587000965000004,69,0.05013402
882.2375,70,0.0574654903,70,0.056220839
906.0125,71,0.06396192401,71,0.06307306
929.7875,72,0.07111869358,72,0.07048108900000001
953.5625,73,0.07915424685,73,0.078578115
977.3375,74,0.08846567762,74,0.087629405
1001.1125,75,0.0999351656,75,0.09762387800000001
