,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-21.60879,0.0,-21.60879,-21.640401999999998,9.028008099999999e-08,-21.640401999999998
0.0006244,2,-21.608798999999998,2.6989209e-06,-21.608795999999998,-21.640407999999997,1.8681063e-06,-21.640406
0.0008759,3,-21.608802999999998,3.7990182000000003e-06,-21.608798999999998,-21.64041,2.5937897999999995e-06,-21.640407
0.0012286,4,-21.608808,5.3795415e-06,-21.608802999999998,-21.640413,3.6374755e-06,-21.640409
0.0017234,5,-21.608815,7.6514212e-06,-21.608807000000002,-21.640417000000003,5.1367514e-06,-21.640411999999998
0.0024174,6,-21.608825,1.0915141e-05,-21.608814000000002,-21.640423000000002,7.2914588e-06,-21.640416000000002
0.0033909,7,-21.608839,1.5600452e-05,-21.608824,-21.640432,1.0386210000000001e-05,-21.640421
0.0047565,8,-21.608859,2.2320929e-05,-21.608836,-21.640442999999998,1.4834568e-05,-21.640428
0.006672,9,-21.608886,3.1950261e-05,-21.608854,-21.640459,2.1226002e-05,-21.640438
0.0093589,10,-21.608924,4.5731416e-05,-21.608878,-21.640481,3.0404738e-05,-21.640451000000002
0.0131278,11,-21.608977,6.5427025e-05,-21.608911,-21.640512,4.3589444e-05,-21.640469
0.0184145,12,-21.60905,9.3523156e-05,-21.608957,-21.640555,6.2512538e-05,-21.640493
0.0258302,13,-21.609154,0.00013350801000000002,-21.60902,-21.640615,8.9679439e-05,-21.640525
0.0362323,14,-21.609298000000003,0.00019026212999999998,-21.609108,-21.640698,0.00012863477,-21.640569
0.0508234,15,-21.609501,0.00027107042999999995,-21.60923,-21.640813,0.00018486904,-21.640628
0.0712906,16,-21.609778,0.00039517504999999996,-21.609382999999998,-21.640967,0.00027239489,-21.640694
0.1,17,-21.610134,0.00060618877,-21.609527,-21.641156,0.00042282362000000003,-21.640732999999997
0.140271,18,-21.610563,0.00097386103,-21.60959,-21.641367000000002,0.0006886586,-21.640679000000002
0.19676,19,-21.611048999999998,0.0016065191,-21.609442,-21.641572,0.001154864,-21.640417000000003
0.275997,20,-21.611525,0.0026804256,-21.608845000000002,-21.641698,0.0019651333,-21.639733
0.3871,21,-21.611838,0.0044768945,-21.607360999999997,-21.641598000000002,0.0033600657,-21.638238
0.5431,22,-21.611643,0.0074408216000000004,-21.604201999999997,-21.640977,0.0057401184999999995,-21.635237
0.7617,23,-21.61032,0.012132486000000001,-21.598187,-21.639357999999998,0.0096609699,-21.629697
1.0685,24,-21.607707,0.018403493,-21.589304000000002,-21.636592999999998,0.015277137,-21.621315
1.4988,25,-21.604221,0.025340365,-21.578881,-21.632957,0.022190212,-21.610767000000003
2.1024,26,-21.600063000000002,0.032195054,-21.567868,-21.628597,0.029956059,-21.598641
2.949,27,-21.595667000000002,0.038087626,-21.557579,-21.623847,0.037721332,-21.586126
4.1366,28,-21.591248,0.042702562,-21.548545999999998,-21.618876,0.044629819,-21.574246
5.8025,29,-21.586904999999998,0.046184853,-21.54072,-21.613779,0.049870415,-21.563907999999998
8.1392,30,-21.582777,0.048945432999999997,-21.533832,-21.608687,0.052940019000000005,-21.555747
11.417,31,-21.579098000000002,0.051568495,-21.52753,-21.603848,0.054056328,-21.549792
16.0147,32,-21.576302,0.054670725,-21.521631,-21.599717000000002,0.05450061900000001,-21.545217
22.464,33,-21.575206,0.05876819900000001,-21.516437,-21.597212,0.056173902000000005,-21.541038
31.5105,34,-21.577275,0.06417864200000001,-21.513097,-21.598122,0.06076451099999999,-21.537357999999998
44.2001,35,-21.584969,0.070793911,-21.514175,-21.605816,0.068691223,-21.537125
62.0,36,-21.606509,0.07597738700000001,-21.530532,-21.630409,0.077044244,-21.553365
