,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.088990576,,
0.000312205,,,1.0,-0.050386402000000004
0.00075015,2.0,-0.088159746,2.0,-0.049856473
0.00105225,3.0,-0.086363176,3.0,-0.048647409
0.001476,4.0,-0.08452754900000001,4.0,-0.047445567
0.0020704,5.0,-0.082681651,5.0,-0.046215739000000006
0.00290415,6.0,-0.080857434,6.0,-0.044962663
0.0040737,7.0,-0.079075692,7.0,-0.043696732
0.00571425,8.0,-0.077342408,8.0,-0.042397943
0.00801545,9.0,-0.075708323,9.0,-0.041095883
0.01124335,10.0,-0.074209514,10.0,-0.039772649
0.01577115,11.0,-0.072926386,11.0,-0.03844579
0.02212235,12.0,-0.07194299400000001,12.0,-0.037127684
0.03103125,13.0,-0.071386593,13.0,-0.035812149
0.04352785,14.0,-0.070817709,14.0,-0.03412448
0.061057,15.0,-0.06303097099999999,15.0,-0.027272095
0.0856453,16.0,-0.042390658,16.0,-0.011347443
0.1201355,17.0,-0.013049183,17.0,0.011300345
0.1685155,18.0,0.022051328,18.0,0.03913151
0.2363785,19.0,0.063625643,19.0,0.072938056
0.3315485,20.0,0.1127302,20.0,0.11370974
0.4651,21.0,0.17096845,21.0,0.16249624
0.6524,22.0,0.23227862,22.0,0.21415609
0.9151,23.0,0.24443218,23.0,0.23075762
1.28365,24.0,0.20448904,24.0,0.20706365
1.8006,25.0,0.15402646,25.0,0.16967186
2.5257,26.0,0.10259051,26.0,0.12486543
3.5428,27.0,0.064214207,27.0,0.08445470599999999
4.96955,28.0,0.039654615,28.0,0.052379170999999995
6.97085,29.0,0.024886829,29.0,0.029463551
9.7781,30.0,0.016230258,30.0,0.015358028999999999
13.71585,31.0,0.01083005,31.0,0.0084091757
19.23935,32.0,0.006798580699999999,32.0,0.005479914399999999
26.98725,33.0,0.0031174323,33.0,0.0034520627000000003
37.8553,34.0,-0.00071729207,34.0,0.00017579584
53.10005,35.0,-0.0077575838000000005,35.0,-0.0077033376
73.8875,36.0,-0.01746757,36.0,-0.019198683
97.6625,37.0,-0.025832607,37.0,-0.02904413
121.4375,38.0,-0.029457455,38.0,-0.033319667000000004
145.2125,39.0,-0.029191859,39.0,-0.033275429
168.9875,40.0,-0.029401427,40.0,-0.033153352999999997
192.7625,41.0,-0.02939471,41.0,-0.032719175
216.5375,42.0,-0.029065547,42.0,-0.032004583999999996
240.3125,43.0,-0.028406127000000003,43.0,-0.030945708
264.0875,44.0,-0.027432152999999997,44.0,-0.029672597999999998
287.8625,45.0,-0.02616299,45.0,-0.028178783
311.6375,46.0,-0.024618609,46.0,-0.026422752999999997
335.4125,47.0,-0.022816414,47.0,-0.024554704
359.1875,48.0,-0.020771064,48.0,-0.022484251
382.9625,49.0,-0.018493274,49.0,-0.020211067
406.7375,50.0,-0.015988869,50.0,-0.01776085
430.5125,51.0,-0.013265698999999999,51.0,-0.015142306999999999
454.2875,52.0,-0.010324368,52.0,-0.012306128999999999
478.0625,53.0,-0.0071649681,53.0,-0.009258226999999999
501.8375,54.0,-0.0037801994,54.0,-0.005949462900000001
525.6125,55.0,-0.00015678616000000002,55.0,-0.0024356446
549.3875,56.0,0.0037215032,56.0,0.0013855229
573.1625,57.0,0.007883010400000001,57.0,0.005509289499999999
596.9375,58.0,0.01236694,58.0,0.0099533794
620.7125,59.0,0.017207097,59.0,0.014730421
644.4875,60.0,0.022403827,60.0,0.019817552
668.2625,61.0,0.02776952,61.0,0.025013606
692.0375,62.0,0.032710824,62.0,0.029768713999999998
715.8125,63.0,0.036314897,63.0,0.033309541
739.5875,64.0,0.038202665,64.0,0.035394649
763.3625,65.0,0.039099561,65.0,0.036629204
787.1375,66.0,0.040250149,66.0,0.038108438
810.9125,67.0,0.042621157,67.0,0.04077648
834.6875,68.0,0.046505344000000004,68.0,0.04487581400000001
858.4625,69.0,0.05158700099999999,69.0,0.050143092
882.2375,70.0,0.05746549,70.0,0.056290689000000005
906.0125,71.0,0.063961924,71.0,0.063088405
929.7875,72.0,0.07111869400000001,72.0,0.070501378
953.5625,73.0,0.079154246,73.0,0.07866624400000001
977.3375,74.0,0.08846567699999999,74.0,0.087661171
1001.1125,75.0,0.09993516599999999,75.0,0.097664448
