,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-21.60879,0.0,-21.60879,,,
1e-08,1,,,,-21.638339000000002,9.0464309e-08,-21.638339000000002
0.0006244,2,-21.608798999999998,2.6989209e-06,-21.608795999999998,-21.638345,1.8699687e-06,-21.638343
0.0008759,3,-21.608802999999998,3.7990182000000003e-06,-21.608798999999998,-21.638347,2.5963600000000004e-06,-21.638344
0.0012286,4,-21.608808,5.3795415e-06,-21.608802999999998,-21.63835,3.6410258999999995e-06,-21.638346
0.0017234,5,-21.608815,7.6514212e-06,-21.608807000000002,-21.638354,5.1420916e-06,-21.638348999999998
0.0024174,6,-21.608825,1.0915141e-05,-21.608814000000002,-21.638360000000002,7.2988073e-06,-21.638353
0.0033909,7,-21.608839,1.5600452e-05,-21.608824,-21.638368,1.0397915e-05,-21.638358
0.0047565,8,-21.608859,2.2320929e-05,-21.608836,-21.638379999999998,1.4850420999999998e-05,-21.638365
0.006672,9,-21.608886,3.1950261e-05,-21.608854,-21.638396,2.124788e-05,-21.638375
0.0093589,10,-21.608924,4.5731416e-05,-21.608878,-21.638417999999998,3.0436631e-05,-21.638388
0.0131278,11,-21.608977,6.5427025e-05,-21.608911,-21.638448999999998,4.3633738000000006e-05,-21.638406
0.0184145,12,-21.60905,9.3523156e-05,-21.608957,-21.638492000000003,6.258161699999999e-05,-21.63843
0.0258302,13,-21.609154,0.00013350801000000002,-21.60902,-21.638552,8.9774002e-05,-21.638462
0.0362323,14,-21.609298000000003,0.00019026212999999998,-21.609108,-21.638635,0.00012878871000000002,-21.638506
0.0508234,15,-21.609501,0.00027107042999999995,-21.60923,-21.63875,0.00018509241000000002,-21.638565
0.0712906,16,-21.609778,0.00039517504999999996,-21.609382999999998,-21.638904,0.0002726998,-21.638632
0.1,17,-21.610134,0.00060618877,-21.609527,-21.639093,0.00042332258,-21.63867
0.140271,18,-21.610563,0.00097386103,-21.60959,-21.639306,0.00068940357,-21.638616
0.19676,19,-21.611048999999998,0.0016065191,-21.609442,-21.63951,0.0011560386,-21.638354
0.275997,20,-21.611525,0.0026804256,-21.608845000000002,-21.639637,0.0019672761,-21.63767
0.3871,21,-21.611838,0.0044768945,-21.607360999999997,-21.639537,0.0033638713,-21.636173
0.5431,22,-21.611643,0.0074408216000000004,-21.604201999999997,-21.638916000000002,0.0057460285,-21.63317
0.7617,23,-21.61032,0.012132486000000001,-21.598187,-21.637295,0.0096711638,-21.627623999999997
1.0685,24,-21.607707,0.018403493,-21.589304000000002,-21.634528,0.01529193,-21.619237
1.4988,25,-21.604221,0.025340365,-21.578881,-21.630891000000002,0.02221018,-21.608681
2.1024,26,-21.600063000000002,0.032195054,-21.567868,-21.626529,0.029980958,-21.596548000000002
2.949,27,-21.595667000000002,0.038087626,-21.557579,-21.621776,0.037750989,-21.584025
4.1366,28,-21.591248,0.042702562,-21.548545999999998,-21.616802,0.044660169000000007,-21.572142000000003
5.8025,29,-21.586904999999998,0.046184853,-21.54072,-21.611704,0.049898995,-21.561805
8.1392,30,-21.582777,0.048945432999999997,-21.533832,-21.606612,0.052963952,-21.553648000000003
11.417,31,-21.579098000000002,0.051568495,-21.52753,-21.601767000000002,0.054082294,-21.547685
16.0147,32,-21.576302,0.054670725,-21.521631,-21.597632,0.054527282,-21.543104
22.464,33,-21.575206,0.05876819900000001,-21.516437,-21.595123,0.056205232,-21.538917
31.5105,34,-21.577275,0.06417864200000001,-21.513097,-21.596025,0.060807735,-21.535218
44.2001,35,-21.584969,0.070793911,-21.514175,-21.603703,0.068750013,-21.534953
62.0,36,-21.606509,0.07597738700000001,-21.530532,-21.628298,0.07710062,-21.551198
