,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.18374533,1,-0.1591934
0.00075015,2,-0.18249867,2,-0.15825608
0.00105225,3,-0.1795477,3,-0.15626006
0.001476,4,-0.1764536,4,-0.15407554
0.0020704,5,-0.17342554,5,-0.15193545
0.00290415,6,-0.17050706,6,-0.14969722
0.0040737,7,-0.1677429,7,-0.14752881
0.00571425,8,-0.16520866,8,-0.1452722
0.00801545,9,-0.16302653,9,-0.14312891
0.01124335,10,-0.16134228,10,-0.14092602
0.01577115,11,-0.16035051,11,-0.13882611
0.02212235,12,-0.1603519,12,-0.13690312
0.03103125,13,-0.16176425,13,-0.13513076
0.04352785,14,-0.16494856,14,-0.13355678
0.061057,15,-0.16212943,15,-0.12651191
0.0856453,16,-0.13689829,16,-0.10269645
0.1201355,17,-0.089193779,17,-0.061250162000000004
0.1685155,18,-0.030865909,18,-0.0087107796
0.2363785,19,0.038119186,19,0.055652787999999995
0.3315485,20,0.11938513,20,0.13379773
0.4651,21,0.2156393,21,0.22805041
0.6524,22,0.33241201,22,0.33996923
0.9151,23,0.43547538,23,0.43851772
1.28365,24,0.40669994,24,0.42758119
1.8006,25,0.27417422,25,0.31584845
2.5257,26,0.16331326,26,0.19919977
3.5428,27,0.093762515,27,0.10874764
4.96955,28,0.055027463,28,0.051378411
6.97085,29,0.036175236,29,0.025354452000000003
9.7781,30,0.026841907999999998,30,0.018829053999999998
13.71585,31,0.019891746000000002,31,0.018024907
19.23935,32,0.01314947,32,0.015793673
26.98725,33,0.0084618981,33,0.012773217
37.8553,34,0.0051467127,34,0.0089496975
53.10005,35,-1.689949e-07,35,0.0026255986
73.8875,36,-0.007161384399999999,36,-0.0056198483999999995
97.6625,37,-0.013250518999999999,37,-0.012625278
121.4375,38,-0.018128283000000002,38,-0.018785088999999998
145.2125,39,-0.025115684,39,-0.027325316000000002
168.9875,40,-0.033037832999999996,40,-0.036476432999999996
192.7625,41,-0.03616828,41,-0.040286785
216.5375,42,-0.033679312999999995,42,-0.038142817999999995
240.3125,43,-0.030970553999999997,43,-0.035141198
264.0875,44,-0.028611083,44,-0.032536213
287.8625,45,-0.026218839,45,-0.030021171
311.6375,46,-0.023661609,46,-0.027470829
335.4125,47,-0.020887692,47,-0.024722954
359.1875,48,-0.017877236,48,-0.021835815
382.9625,49,-0.014628173999999999,49,-0.018649086000000002
406.7375,50,-0.011174439,50,-0.015227186
430.5125,51,-0.007612205,51,-0.011673069
454.2875,52,-0.0040592053,52,-0.0081243107
478.0625,53,-0.00058817971,53,-0.0044576521
501.8375,54,0.0028237626000000003,54,-0.0008646441099999999
525.6125,55,0.0062596952,55,0.0028144106
549.3875,56,0.009796171800000001,56,0.0066881547
573.1625,57,0.013476835,57,0.010786835
596.9375,58,0.017329456,58,0.015118962
620.7125,59,0.021373543,59,0.019681753
644.4875,60,0.025626417000000002,60,0.024512443
668.2625,61,0.030114632000000002,61,0.02963263
692.0375,62,0.034877948,62,0.034944375
715.8125,63,0.03996744,63,0.040747366
739.5875,64,0.04544089900000001,64,0.046888242000000004
763.3625,65,0.051347755,65,0.053344404000000005
787.1375,66,0.057670799,66,0.06027295
810.9125,67,0.064160052,67,0.067255242
834.6875,68,0.07022167,68,0.073766323
858.4625,69,0.075227145,69,0.079455845
882.2375,70,0.079122378,70,0.08394549300000001
906.0125,71,0.08253891299999999,71,0.087975355
929.7875,72,0.08625113400000001,72,0.09229240699999999
953.5625,73,0.09086436699999999,73,0.097322714
977.3375,74,0.09703183900000001,74,0.1039275
1001.1125,75,0.10628357,75,0.11251865
