,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.1224023,1,-0.046598087999999996
0.00075015,2,-0.11408078,2,-0.041360826
0.00105225,3,-0.095692004,3,-0.029443929
0.001476,4,-0.07538764,4,-0.016397226
0.0020704,5,-0.053294439000000006,5,-0.0019769482999999997
0.00290415,6,-0.029290966,6,0.013839618
0.0040737,7,-0.0032999928999999997,7,0.031102043
0.00571425,8,0.024753543,8,0.050096662
0.00801545,9,0.054916942,9,0.070824266
0.01124335,10,0.08721089900000001,10,0.09341492800000001
0.01577115,11,0.12167065,11,0.11799617
0.02212235,12,0.1582299,12,0.14468889
0.03103125,13,0.19661609,13,0.1734799
0.04352785,14,0.23113815,14,0.20071316
0.061057,15,0.2558878,15,0.2227414
0.0856453,16,0.27489001,16,0.24234804
0.1201355,17,0.29233369,17,0.26237627
0.1685155,18,0.30820689,18,0.28281326
0.2363785,19,0.32275275,19,0.303431
0.3315485,20,0.3371282,20,0.32435078
0.4651,21,0.35092232,21,0.34282272
0.6524,22,0.31202229,22,0.3187975
0.9151,23,0.2148934,23,0.24377963
1.28365,24,0.12867384,24,0.16563486
1.8006,25,0.072301175,25,0.10204562
2.5257,26,0.037997456,26,0.05345127400000001
3.5428,27,0.017882453,27,0.019915697
4.96955,28,0.009271237199999999,28,0.0035787415999999996
6.97085,29,0.0083003053,29,0.0016732707000000002
9.7781,30,0.0083164012,30,0.0043213499
13.71585,31,0.0071900734,31,0.0059999516
19.23935,32,0.0051192576000000005,32,0.005780083199999999
26.98725,33,0.0045949002,33,0.0062677877
37.8553,34,0.0058991701,34,0.0079224628
53.10005,35,0.0065958465,35,0.0088335886
73.8875,36,0.0067046685,36,0.0092203225
97.6625,37,0.0063108551,37,0.0090067314
121.4375,38,0.0046327043,38,0.007193355500000001
145.2125,39,0.0022430154000000002,39,0.004255695
168.9875,40,1.9745043e-05,40,0.0012291277
192.7625,41,-0.0022663937,41,-0.0019306011
216.5375,42,-0.0047524582,42,-0.005325606899999999
240.3125,43,-0.007623325899999999,43,-0.0090928763
264.0875,44,-0.011267488999999999,44,-0.01359717
287.8625,45,-0.016020364,45,-0.018809982
311.6375,46,-0.018440462,46,-0.021262871000000003
335.4125,47,-0.016199457,47,-0.018954138
359.1875,48,-0.01258317,48,-0.014915143999999998
382.9625,49,-0.0095194979,49,-0.011290666999999999
406.7375,50,-0.0066344446,50,-0.0079686676
430.5125,51,-0.0037312178000000005,51,-0.0047726526
454.2875,52,-0.00072710478,52,-0.001632403
478.0625,53,0.0024151823,53,0.0016702157
501.8375,54,0.005703769,54,0.0050313065999999995
525.6125,55,0.0091257653,55,0.0085341138
549.3875,56,0.012638991,56,0.012145323999999999
573.1625,57,0.016182017,57,0.015804283
596.9375,58,0.019674021,58,0.01941927
620.7125,59,0.023027588999999998,59,0.022830327
644.4875,60,0.026173747999999997,60,0.026181147999999998
668.2625,61,0.029077204,61,0.02924793
692.0375,62,0.031749931,62,0.032098437
715.8125,63,0.034248159,63,0.034807495
739.5875,64,0.036672,64,0.03748487
763.3625,65,0.039146652000000004,65,0.040258692
787.1375,66,0.0418028,66,0.04325095599999999
810.9125,67,0.044725655,67,0.04656012599999999
834.6875,68,0.047782264000000005,68,0.049970179
858.4625,69,0.050288757,69,0.052640545999999996
882.2375,70,0.050968805,70,0.053642609
906.0125,71,0.048930984000000004,71,0.05191605
929.7875,72,0.044686705,72,0.047917119
953.5625,73,0.039466207999999996,73,0.043017205
977.3375,74,0.034009641,74,0.037659941
1001.1125,75,0.028203366,75,0.03232176
