,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.16250276,1,-0.13175599
0.00075015,2,-0.16095667,2,-0.13070334
0.00105225,3,-0.15752217,3,-0.1283446
0.001476,4,-0.15407896,4,-0.12599868
0.0020704,5,-0.15068592,5,-0.1235542
0.00290415,6,-0.14737678,6,-0.12115113
0.0040737,7,-0.14421408,7,-0.11863982
0.00571425,8,-0.1412581,8,-0.11613707
0.00801545,9,-0.13864656,9,-0.11367817
0.01124335,10,-0.13651209,10,-0.11118951
0.01577115,11,-0.13504837,11,-0.10881965
0.02212235,12,-0.13455011,12,-0.10647166
0.03103125,13,-0.13542389,13,-0.10437862
0.04352785,14,-0.13702731,14,-0.10161619
0.061057,15,-0.12552445,15,-0.08881693
0.0856453,16,-0.09017930199999999,16,-0.058393902000000004
0.1201355,17,-0.039553777000000005,17,-0.014931301999999999
0.1685155,18,0.020051025,18,0.038107012999999995
0.2363785,19,0.089522672,19,0.1020006
0.3315485,20,0.17058532,20,0.17857706
0.4651,21,0.26675229,21,0.26972325
0.6524,22,0.36867484,22,0.36471453
0.9151,23,0.37940379,23,0.388794
1.28365,24,0.2995697,24,0.33262909
1.8006,25,0.21184097,25,0.25223282
2.5257,26,0.13155146,26,0.16347362
3.5428,27,0.079038827,27,0.092769647
4.96955,28,0.049771174,28,0.047588562
6.97085,29,0.033792063,29,0.025485799
9.7781,30,0.024598192999999997,30,0.01838323
13.71585,31,0.018359278,31,0.017514341
19.23935,32,0.013033484,32,0.016182769
26.98725,33,0.007779061899999999,33,0.01232083
37.8553,34,0.0024145916,34,0.006073723100000001
53.10005,35,-0.0074830194,35,-0.0059672972
73.8875,36,-0.021045651000000002,36,-0.022224291
97.6625,37,-0.032472383,37,-0.035749508
121.4375,38,-0.036876624,38,-0.040954713
145.2125,39,-0.03559667,39,-0.039748522
168.9875,40,-0.035440151,40,-0.039185138
192.7625,41,-0.035098267999999995,41,-0.038488313999999996
216.5375,42,-0.03440195,42,-0.037709812
240.3125,43,-0.033330938,43,-0.036608172
264.0875,44,-0.031900813,44,-0.035346334
287.8625,45,-0.030131832999999997,45,-0.033837122000000004
311.6375,46,-0.028047644,46,-0.031953248999999996
335.4125,47,-0.025668156,47,-0.029972488
359.1875,48,-0.023010841,48,-0.027547857999999998
382.9625,49,-0.020088642,49,-0.024829006
406.7375,50,-0.016907488000000002,50,-0.021798251
430.5125,51,-0.013476565,51,-0.018466994
454.2875,52,-0.0097962884,52,-0.01486457
478.0625,53,-0.005866425400000001,53,-0.01075249
501.8375,54,-0.0016762739000000001,54,-0.0064713113
525.6125,55,0.002793775,55,-0.0016139717
549.3875,56,0.0075679739,56,0.0034851671000000004
573.1625,57,0.012691998000000001,57,0.009187479
596.9375,58,0.01823609,58,0.015307298
620.7125,59,0.024276928,59,0.021990176
644.4875,60,0.030869712,60,0.029281852999999997
668.2625,61,0.037801642999999996,61,0.036914033
692.0375,62,0.044198399000000006,62,0.043955084000000005
715.8125,63,0.048590178,63,0.048928963
739.5875,64,0.050309682,64,0.051494112
763.3625,65,0.050468274,65,0.05245452900000001
787.1375,66,0.050993416,66,0.053708885
810.9125,67,0.053355760999999995,67,0.056732967
834.6875,68,0.057960011,68,0.062094914
858.4625,69,0.06425304700000001,69,0.068983969
882.2375,70,0.07159737,70,0.07688125900000001
906.0125,71,0.07975449700000001,71,0.08580974699999999
929.7875,72,0.08886930400000001,72,0.09554201300000001
953.5625,73,0.099411099,73,0.10660707
977.3375,74,0.11232673,74,0.11994599
1001.1125,75,0.13016821,75,0.13622938
