,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-5.4826722000000006,0.0,-5.4826722000000006,-5.3961972000000005,7.6933151e-09,-5.3961972000000005
0.0006244,2,-5.4826766,1.418647e-05,-5.482662400000001,-5.396203900000001,2.7646107999999998e-05,-5.3961763
0.0008759,3,-5.482678599999999,1.6506576e-05,-5.4826621,-5.3962069,3.3530385e-05,-5.3961734
0.0012286,4,-5.482681299999999,1.9460261e-05,-5.4826618,-5.396210900000001,3.9619447e-05,-5.3961713
0.0017234,5,-5.4826847999999995,2.3098786e-05,-5.4826616999999995,-5.396216099999999,4.5565510000000003e-05,-5.3961705
0.0024174,6,-5.4826896,2.7550892e-05,-5.482662,-5.396223,5.1129674e-05,-5.3961718
0.0033909,7,-5.4826959,3.3021636e-05,-5.4826629,-5.3962321,5.6735235e-05,-5.3961754
0.0047565,8,-5.482704599999999,3.9759229e-05,-5.4826648,-5.396244599999999,6.299568400000001e-05,-5.3961816
0.006672,9,-5.4827163,4.803371199999999e-05,-5.482668299999999,-5.3962614,7.097362900000001e-05,-5.3961904
0.0093589,10,-5.482732599999999,5.8130981000000004e-05,-5.4826745,-5.3962845999999995,8.1380602e-05,-5.3962031999999995
0.0131278,11,-5.4827553,7.032656299999999e-05,-5.482685,-5.3963167,9.5634603e-05,-5.3962211
0.0184145,12,-5.4827874,8.4881512e-05,-5.4827025,-5.3963619000000005,0.00011507313,-5.3962469
0.0258302,13,-5.482833599999999,0.00010207405999999999,-5.4827315,-5.3964269,0.00014156267,-5.3962853
0.0362323,14,-5.4829019,0.00012227864,-5.4827796,-5.396521900000001,0.00017761792000000001,-5.3963443
0.0508234,15,-5.4830111,0.00014632637,-5.4828647,-5.3966704000000005,0.00022588688999999998,-5.3964445
0.0712906,16,-5.4831981,0.00018506763,-5.483013099999999,-5.396912400000001,0.00030096925,-5.3966115
0.1,17,-5.4835117,0.00027670129,-5.483235,-5.397292299999999,0.00045199517999999994,-5.3968403
0.140271,18,-5.4840082,0.00048184288,-5.4835263,-5.3978575,0.0007670040299999999,-5.3970905
0.19676,19,-5.4847809000000005,0.00087995267,-5.483901,-5.3986849999999995,0.0013643377,-5.3973207
0.275997,20,-5.4859578,0.0016343215,-5.4843235,-5.399880400000001,0.0024106245000000003,-5.3974698
0.3871,21,-5.4876797999999996,0.003057421,-5.4846223,-5.4015659000000005,0.0041158314000000005,-5.3974500999999995
0.5431,22,-5.489986599999999,0.005734445,-5.484252099999999,-5.403797,0.0068042366,-5.3969928
0.7617,23,-5.4919513,0.010719195,-5.4812321,-5.4056725,0.011149738999999999,-5.3945227
1.0685,24,-5.4901767999999995,0.018673853,-5.471503,-5.4038381,0.017585622,-5.3862524
1.4988,25,-5.483984099999999,0.026041467999999998,-5.4579426,-5.3979859,0.023851011000000002,-5.3741348
2.1024,26,-5.4768542,0.029566535,-5.447287599999999,-5.3912188,0.02876934,-5.362449400000001
2.949,27,-5.4700082000000005,0.030842054,-5.439166200000001,-5.3845018,0.03340812,-5.351093700000001
4.1366,28,-5.4637355,0.030873868,-5.4328616,-5.3780126,0.036756341,-5.3412562999999995
5.8025,29,-5.4581851,0.030058846,-5.4281262,-5.3719296,0.036806818,-5.3351228
8.1392,30,-5.4532774,0.028681149,-5.4245962,-5.3661949,0.033137802,-5.3330570999999996
11.417,31,-5.4488805000000005,0.026763922000000002,-5.4221166,-5.3607402,0.028853194,-5.331887
16.0147,32,-5.4451769,0.024133976,-5.421042900000001,-5.3559303,0.026734892000000003,-5.329195400000001
22.464,33,-5.4426872,0.020971691,-5.4217154999999995,-5.3524425,0.025639246,-5.3268033
31.5105,34,-5.4414713,0.018214808,-5.4232565,-5.3502572,0.023984555,-5.3262727
