,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.00096371724,1,0.09833995599999999
0.00075015,2,-0.15599414,2,-0.13175484
0.00105225,3,-0.11285682,3,-0.09440181800000001
0.001476,4,-0.091206928,4,-0.07854133599999999
0.0020704,5,-0.07426720099999999,5,-0.076645719
0.00290415,6,-0.057904872999999996,6,-0.08024218
0.0040737,7,-0.041274503,7,-0.08244457599999999
0.00571425,8,-0.024465197,8,-0.072168368
0.00801545,9,-0.0079010834,9,-0.053307361
0.01124335,10,0.008007044,10,-0.026893227000000002
0.01577115,11,0.023183449,11,0.0052315952
0.02212235,12,0.038617835,12,0.041971851
0.03103125,13,0.059943255,13,0.086393025
0.04352785,14,0.075281837,14,0.12183243
0.061057,15,0.072366825,15,0.13225547
0.0856453,16,0.06757472099999999,16,0.12774723
0.1201355,17,0.069054621,17,0.11586473
0.1685155,18,0.073797223,18,0.098137284
0.2363785,19,0.082005923,19,0.080468115
0.3315485,20,0.09676291699999999,20,0.07563634799999999
0.4651,21,0.13241439,21,0.10641398
0.6524,22,0.11962023,22,0.096487062
0.9151,23,0.061906725999999995,23,0.050869726
1.28365,24,0.030065219,24,0.034736537000000005
1.8006,25,0.016396571999999998,25,0.027480237999999997
2.5257,26,0.008810025899999999,26,0.019332011
3.5428,27,0.0038305099,27,0.010447656
4.96955,28,0.0016190064000000002,28,0.0032583084000000003
6.97085,29,0.0013963153,29,0.00039189792
9.7781,30,0.0011808911,30,0.0007062512700000001
13.71585,31,0.0006041319,31,0.0013773881
19.23935,32,-0.00012043111000000001,32,0.0008784196699999999
26.98725,33,-0.00027417927000000005,33,0.00042340505
37.8553,34,2.0136865e-05,34,0.00030211046
53.10005,35,9.6027639e-05,35,1.4827098e-06
73.8875,36,0.00011234043,36,-0.00012214662
97.6625,37,0.00012682593,37,-8.551914899999999e-05
121.4375,38,-1.8725060000000002e-05,38,-0.00021910478
145.2125,39,-0.00020944138,39,-0.00040804206
168.9875,40,-0.00032166924,40,-0.00050259305
192.7625,41,-0.00042448934,41,-0.0006045456299999999
216.5375,42,-0.00053035109,42,-0.00072350491
240.3125,43,-0.00065173098,43,-0.0008589141699999999
264.0875,44,-0.0008399410699999999,44,-0.0010587575
287.8625,45,-0.0012605627,45,-0.0015297823
311.6375,46,-0.0015484385999999998,46,-0.0018506801999999998
335.4125,47,-0.0013665236,47,-0.00168673
359.1875,48,-0.0011241789999999999,48,-0.0014627138
382.9625,49,-0.0010200398,49,-0.0013789479999999998
406.7375,50,-0.0009302884,50,-0.0012761669000000001
430.5125,51,-0.00083072527,51,-0.0011325166999999999
454.2875,52,-0.0007146959,52,-0.00099674269
478.0625,53,-0.00057817331,53,-0.0007640047099999999
501.8375,54,-0.00041912906000000005,54,-0.00053279162
525.6125,55,-0.00023608421,55,-0.00025972027
549.3875,56,-3.1543551e-05,56,4.6104247999999996e-05
573.1625,57,0.00019031214,57,0.00037850897000000003
596.9375,58,0.00042132377999999995,58,0.00073770906
620.7125,59,0.00065002107,59,0.0010239942
644.4875,60,0.0008661112,60,0.0014005964000000002
668.2625,61,0.0010625419,61,0.0016726826000000002
692.0375,62,0.0012377486,62,0.0019284630999999999
715.8125,63,0.0013954835,63,0.0021644325
739.5875,64,0.0015470222,64,0.0023957832
763.3625,65,0.0017089447,65,0.0026422506
787.1375,66,0.0019067282,66,0.0029297666999999997
810.9125,67,0.0021825503,67,0.003296481
834.6875,68,0.0025783793,68,0.0037893109000000005
858.4625,69,0.0030288402,69,0.0041463808
882.2375,70,0.00325381,70,0.0043961337
906.0125,71,0.0030116499,71,0.004009295
929.7875,72,0.0024608243,72,0.0031417662
953.5625,73,0.0019101429000000002,73,0.0023992756
977.3375,74,0.0014620848,74,0.0015153448000000001
1001.1125,75,0.0006995340700000001,75,0.00058227742
