,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-20.835452,0.0,-20.835452,,,
1e-08,1,,,,-20.853089,1.8878624999999999e-06,-20.853087
0.0006244,2,-20.835486,4.8347322000000004e-05,-20.835438,-20.853117,3.812531e-05,-20.853079
0.0008759,3,-20.8355,6.8592668e-05,-20.835432,-20.853127999999998,5.3419957e-05,-20.853075
0.0012286,4,-20.835519,9.9866877e-05,-20.835419,-20.853144,7.702798300000001e-05,-20.853067000000003
0.0017234,5,-20.835545,0.00014804552,-20.835397,-20.853165,0.00011340926000000002,-20.853051
0.0024174,6,-20.83558,0.00022187887000000003,-20.835358,-20.853193,0.00016927546999999997,-20.853023
0.0033909,7,-20.835627,0.00033432865,-20.835292000000003,-20.85323,0.0002547539,-20.852976
0.0047565,8,-20.835688,0.00050424898,-20.835183999999998,-20.853279999999998,0.00038572556000000005,-20.852894
0.006672,9,-20.835767999999998,0.0007584771099999999,-20.835009,-20.853345,0.00058590057,-20.852759
0.0093589,10,-20.835869,0.0011343785,-20.834735000000002,-20.853428,0.0008895537599999998,-20.852538
0.0131278,11,-20.835995999999998,0.0016821707999999998,-20.834314000000003,-20.853531,0.0013456917999999998,-20.852185000000002
0.0184145,12,-20.836149,0.0024665293,-20.833682,-20.853654000000002,0.0020223599,-20.851632000000002
0.0258302,13,-20.836325,0.0035662148999999997,-20.832759,-20.853796,0.0030097505,-20.850786
0.0362323,14,-20.836512,0.0050701470000000005,-20.831442000000003,-20.853943,0.0044177632,-20.849526
0.0508234,15,-20.836695000000002,0.007045223299999999,-20.82965,-20.854085,0.0063431431,-20.847741
0.0712906,16,-20.836873,0.009507329699999999,-20.827366,-20.854215,0.008820652,-20.845395
0.1,17,-20.837038,0.012471033000000001,-20.824567000000002,-20.854324,0.011821042,-20.842503
0.140271,18,-20.837152,0.01598643,-20.821165,-20.854374,0.015256705,-20.839117
0.19676,19,-20.837144,0.020143895,-20.817,-20.8543,0.019021228,-20.835278
0.275997,20,-20.836876,0.025118016,-20.811757999999998,-20.853977,0.023153812000000003,-20.830824
0.3871,21,-20.836036,0.031224025,-20.804812,-20.853134,0.028045444,-20.825088
0.5431,22,-20.833675,0.038921589,-20.794753,-20.850922,0.034471742,-20.816451
0.7617,23,-20.829442,0.047404677,-20.782037,-20.846965,0.042210425,-20.804755
1.0685,24,-20.824448999999998,0.055467352000000004,-20.768981,-20.842195,0.050415721,-20.791779000000002
1.4988,25,-20.819235,0.063730438,-20.755505,-20.837085000000002,0.059377382,-20.777707
2.1024,26,-20.813833,0.073081967,-20.740751,-20.831653,0.06949635400000001,-20.762157000000002
2.949,27,-20.808389000000002,0.08401303800000001,-20.724376,-20.826038,0.081093756,-20.744945
4.1366,28,-20.803497,0.09688998199999999,-20.706607,-20.820726999999998,0.095089342,-20.725638
5.8025,29,-20.799654999999998,0.11286779,-20.686788,-20.816115,0.11348341,-20.702631
8.1392,30,-20.796551,0.13410012,-20.66245,-20.811842000000002,0.13954083,-20.672301
11.417,31,-20.794203,0.1620764,-20.632127,-20.807947,0.17479867,-20.633149
16.0147,32,-20.793836,0.1977745,-20.596062,-20.805792999999998,0.2186123,-20.587181
22.464,33,-20.798642,0.24322566,-20.555416,-20.808926,0.26990345,-20.539022
31.5105,34,-20.810782,0.30604426,-20.504738,-20.819712,0.33379473,-20.485917
44.2001,35,-20.829451000000002,0.3979715,-20.431479,-20.836741,0.42108373,-20.415657
62.0,36,-20.85599,0.52817577,-20.327814,-20.861344,0.54953146,-20.311812
85.775,37,-20.891006,0.70069427,-20.190310999999998,-20.894222,0.73839024,-20.155832
109.55,38,-20.92545,0.87037716,-20.055072,-20.926721,0.9349569,-19.991764
