,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-30.870337170999996,0.0,-30.870337170999996,-30.990833000000002,4.4369117999999996e-08,-30.990833000000002
0.0006244,2,-30.870355002000004,4.64584258159e-05,-30.870308486999996,-30.99085,3.4926525e-05,-30.990815
0.0008759,3,-30.870362224000004,6.51425490344e-05,-30.870296935,-30.990857000000002,4.9099371e-05,-30.990808
0.0012286,4,-30.870372064,9.175814481899998e-05,-30.870280281,-30.990865999999997,6.9394748e-05,-30.990796999999997
0.0017234,5,-30.870385646000003,0.00012958318487400002,-30.870256067,-30.990879,9.845028700000001e-05,-30.990781
0.0024174,6,-30.870404418999996,0.000183156256451,-30.870221321000002,-30.990897999999998,0.00013999465,-30.990758000000003
0.0033909,7,-30.870430589,0.000258679173638,-30.870171845999998,-30.990923,0.00019930466,-30.990724
0.0047565,8,-30.870466553999997,0.00036455714532,-30.870102011,-30.990958000000003,0.00028380879,-30.990674
0.006672,9,-30.870516664999997,0.0005118977159020001,-30.870004707,-30.991007,0.00040384388,-30.990603999999998
0.0093589,10,-30.870586402999997,0.000715071390113,-30.869871372,-30.991076,0.000573645,-30.990503000000004
0.0131278,11,-30.870684009999998,0.0009920537587449999,-30.869692114000003,-30.991173,0.0008125682400000001,-30.99036
0.0184145,12,-30.870822286999996,0.0013644036127799998,-30.869457955,-30.991309,0.0011462425,-30.990163
0.0258302,13,-30.871020115999997,0.0018564701697899998,-30.869163741,-30.991503,0.0016070251999999998,-30.989896
0.0362323,14,-30.871309613,0.0024937913312199998,-30.868816243999994,-30.991785999999998,0.0022335181,-30.989552000000003
0.0508234,15,-30.871747990000003,0.00330682497613,-30.868440637,-30.992201,0.0030729747,-30.989128000000004
0.0712906,16,-30.872394350999997,0.0044225816609,-30.867971454299997,-30.992798999999998,0.0042561977,-30.988543
0.1,17,-30.873284234000003,0.006118741376499999,-30.8671647654,-30.993603999999998,0.006044359,-30.987559
0.140271,18,-30.874444340000004,0.0086833413251,-30.865761243099996,-30.994628999999996,0.0086901876,-30.985939000000002
0.19676,19,-30.875906010999998,0.012390220350400003,-30.863515268999997,-30.995884999999998,0.012338801000000002,-30.983546
0.275997,20,-30.877654391999997,0.0176144442916,-30.860039063500004,-30.997334000000002,0.017081098,-30.980253
0.3871,21,-30.879535717000003,0.024959234100999997,-30.8545765307,-30.998819,0.023219696,-30.975599
0.5431,22,-30.880927115,0.035490679445,-30.845436816600003,-30.999774,0.031826237,-30.967947
0.7617,23,-30.879840035,0.05053253906099999,-30.8293082467,-30.998403999999997,0.0447064,-30.953698
1.0685,24,-30.875456690000004,0.06883604283,-30.80662079063,-30.993965000000003,0.061606762999999995,-30.932358
1.4988,25,-30.868779675000003,0.08887995684,-30.77990038661,-30.987258,0.081330039,-30.905928000000003
2.1024,26,-30.859878755,0.11154003732000001,-30.748338453500004,-30.978241999999998,0.10399257,-30.87425
2.949,27,-30.849518740999997,0.13686584173,-30.712652912089997,-30.96748,0.12938148,-30.838099
4.1366,28,-30.837908507,0.16590016765,-30.672008319599996,-30.954915999999997,0.1596021,-30.795314
5.8025,29,-30.824962251000002,0.19963687481,-30.625324717300003,-30.940259,0.19703382,-30.743225
8.1392,30,-30.810725743999996,0.23864842850999998,-30.57207806,-30.923196,0.24292809,-30.680267999999998
11.417,31,-30.795473996000002,0.28321099250000004,-30.512263589600003,-30.903841999999997,0.29524594,-30.608596000000002
16.0147,32,-30.779838854000005,0.33333559631000004,-30.446503283330003,-30.882727000000003,0.3506078,-30.532119
22.464,33,-30.7649715085,0.38890618849999997,-30.3760648242,-30.861235999999998,0.40577827,-30.455458
31.5105,34,-30.7524267368,0.4499103765,-30.30251649046,-30.841303000000003,0.45956557,-30.381737
