,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,76.72215989851041,1,54.493066000000006
0.00075015,2,40.961179725074096,2,41.525478
0.00105225,3,33.0414238180933,3,35.820237
0.001476,4,26.1771501523612,4,29.287412
0.0020704,5,20.4535866632048,5,22.420878
0.00290415,6,15.887010720952901,6,16.167919
0.0040737,7,12.3554412164612,7,11.339903999999999
0.00571425,8,9.6703865109494,8,8.3132653
0.00801545,9,7.632118915463101,9,6.6306136
0.01124335,10,6.059188772354101,10,5.5753727
0.01577115,11,4.800884015027,11,4.583296
0.02212235,12,3.7332394939659,12,3.4972413
0.03103125,13,2.741506280245,13,2.3656783
0.04352785,14,1.5351035205969998,14,1.0841629
0.061057,15,0.62126952099,15,0.25432072
0.0856453,16,1.009104861928,16,0.80856252
0.1201355,17,1.9780140392039998,17,1.9475297999999999
0.1685155,18,2.6723697828799997,18,2.7975312000000003
0.2363785,19,3.35125318449,19,3.5302437000000007
0.3315485,20,4.1342246755500005,20,4.1696169
0.4651,21,5.128997443419999,21,4.9302746
0.6524,22,6.6683147514,22,6.3953607
0.9151,23,8.412266708199999,23,8.2597747
1.28365,24,8.111906839,24,8.0220973
1.8006,25,6.2975928039,25,6.104184
2.5257,26,4.91445149468,26,4.6192669
3.5428,27,3.9341449710000003,27,3.8832246
4.96955,28,3.2019593494,28,3.3364335
6.97085,29,2.6686981835,29,2.7624025000000003
9.7781,30,2.24409554923,30,2.2569061
13.71585,31,1.8228801661300003,31,1.8475793000000003
19.23935,32,1.3854368556399999,32,1.3496801
26.98725,33,1.05115199178,33,1.0130754000000002
37.8553,34,0.8240010280979999,34,0.87800745
53.10005,35,0.576220733713,35,0.63212889
73.8875,36,0.31806938371000004,36,0.30248539
97.6625,37,0.177025661315,37,0.15063771
121.4375,38,0.13179694190930002,38,0.13745012
145.2125,39,0.032605076717,39,0.057517516
168.9875,40,-0.10042825614999999,40,-0.075852741
192.7625,41,-0.09601983615,41,-0.080888705
216.5375,42,0.023672617959999996,42,0.026030461
240.3125,43,0.075845636271,43,0.068991501
264.0875,44,0.091997395502,44,0.080934429
287.8625,45,0.098111775297,45,0.085718633
311.6375,46,0.099724262098,46,0.08533401
335.4125,47,0.098895795737,47,0.085435102
359.1875,48,0.09672464653500001,48,0.083393653
382.9625,49,0.093991837573,49,0.08197140900000001
406.7375,50,0.09103369179099999,50,0.081379418
430.5125,51,0.08752384865400001,51,0.080778915
454.2875,52,0.08285439021900001,52,0.07784789
478.0625,53,0.076838208935,53,0.074487753
501.8375,54,0.07015768760959999,54,0.069393272
525.6125,55,0.0637391690704,55,0.064400899
549.3875,56,0.0580485915724,56,0.059402454
573.1625,57,0.053071885846499994,57,0.054610364
596.9375,58,0.048726380623200005,58,0.050103998
620.7125,59,0.0449241432991,59,0.045948422
644.4875,60,0.041549048305599995,60,0.042132993
668.2625,61,0.0385947922942,61,0.038710512999999995
692.0375,62,0.036113663921900005,62,0.034708555
715.8125,63,0.034226765267200004,63,0.032445608
739.5875,64,0.0331889201109,64,0.030752942999999998
763.3625,65,0.0334977016866,65,0.029939436
787.1375,66,0.035965717981,66,0.032500739
810.9125,67,0.040448755037,67,0.036570121000000004
834.6875,68,0.044050948225,68,0.039412124
858.4625,69,0.04275256809400001,69,0.038729264
882.2375,70,0.036370378522,70,0.031904973999999996
906.0125,71,0.0290756719068,71,0.024540522000000002
929.7875,72,0.0241592492492,72,0.019927379
953.5625,73,0.022465715943299998,73,0.017423093
977.3375,74,0.0256184315254,74,0.021404295
1001.1125,75,0.091632988522,75,0.08808223
