,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-17.779313000000002,0.0,-17.779313000000002,1,-17.469120999999998,-1.3042039e-07,-17.469120999999998
0.0006244,2,-17.779654999999998,0.0060163488,-17.773639000000003,1,-17.469496,0.0044066782,-17.46509
0.0008759,3,-17.779811,0.007392173199999999,-17.772418,1,-17.469654000000002,0.0058014053000000005,-17.463852
0.0012286,4,-17.780008,0.0089699305,-17.771038,1,-17.469858,0.0075023115,-17.462356
0.0017234,5,-17.780256,0.010752322,-17.769504,1,-17.470121,0.009481841500000001,-17.460639
0.0024174,6,-17.78057,0.012747321,-17.767822,1,-17.470461,0.011665129,-17.458796
0.0033909,7,-17.780969,0.014978577,-17.76599,1,-17.470901,0.013970445,-17.456931
0.0047565,8,-17.781482,0.0174902,-17.763991,1,-17.471478,0.016381793999999998,-17.455095999999998
0.006672,9,-17.782148,0.020350951000000003,-17.761797,1,-17.472236,0.019026048,-17.453210000000002
0.0093589,10,-17.783026,0.023657836,-17.759368,1,-17.473244,0.022144768,-17.451099
0.0131278,11,-17.784201,0.027537773999999998,-17.756663,1,-17.474598,0.025987741,-17.448610000000002
0.0184145,12,-17.785805,0.032148653,-17.753656,1,-17.476448,0.03070923,-17.445739
0.0258302,13,-17.788054000000002,0.037676705,-17.750377,1,-17.479034,0.036367322,-17.442667
0.0362323,14,-17.791335,0.044336519000000005,-17.746999,1,-17.482762,0.043010678,-17.439751
0.0508234,15,-17.796754,0.05240896900000001,-17.744346,1,-17.488726999999997,0.050849755,-17.437877
0.0712906,16,-17.806082999999997,0.06324423700000001,-17.742839,1,-17.498626,0.061364855,-17.437261
0.1,17,-17.819859,0.080451044,-17.739407,1,-17.51299,0.078479755,-17.434510999999997
0.140271,18,-17.837769,0.10779736,-17.729972,1,-17.531504,0.1062851,-17.425219
0.19676,19,-17.860581,0.14849179,-17.712089000000002,1,-17.554779999999997,0.14828227,-17.406498000000003
0.275997,20,-17.888973,0.20833912,-17.680634,1,-17.58326,0.20990144,-17.373359
0.3871,21,-17.922659,0.29643559,-17.626224,1,-17.616436,0.29795959,-17.318476999999998
