,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,76.72216,1,42.418741
0.00075015,2,40.96118,2,36.468388
0.00105225,3,33.041424,3,33.765405
0.001476,4,26.17715,4,30.165115999999998
0.0020704,5,20.453587,5,25.608745000000003
0.00290415,6,15.887011,6,20.398441000000002
0.0040737,7,12.355441,7,15.052857999999999
0.00571425,8,9.670386500000001,8,10.355563
0.00801545,9,7.6321189,9,6.9149727
0.01124335,10,6.0591888,10,4.940774
0.01577115,11,4.800884099999999,11,3.9989526
0.02212235,12,3.7332395,12,3.4513906000000003
0.03103125,13,2.7415062999999997,13,2.8686779
0.04352785,14,1.5351035,14,1.8579921999999998
0.061057,15,0.62126951,15,0.94917598
0.0856453,16,1.0091049,16,1.1694911000000001
0.1201355,17,1.978014,17,1.9011198
0.1685155,18,2.6723698,18,2.3593987999999997
0.2363785,19,3.3512531,19,2.8946308
0.3315485,20,4.1342247,20,3.8073644
0.4651,21,5.1289975,21,5.1811801
0.6524,22,6.6683147,22,7.0823561
0.9151,23,8.412266699999998,23,8.78158
1.28365,24,8.111906900000001,24,8.0309102
1.8006,25,6.2975928,25,5.9297453
2.5257,26,4.9144515,26,4.8205122000000005
3.5428,27,3.9341449,27,4.2930633
4.96955,28,3.2019592999999995,28,3.5311208
6.97085,29,2.6686982000000006,29,2.7199176
9.7781,30,2.2440955000000002,30,2.2481077999999997
13.71585,31,1.8228802,31,2.0935363999999996
19.23935,32,1.3854369,32,1.7354325000000002
26.98725,33,1.051152,33,1.2072154
37.8553,34,0.82400102,34,0.8165396
53.10005,35,0.57622074,35,0.63182672
73.8875,36,0.31806939,36,0.43195379
97.6625,37,0.17702566,37,0.2365405
121.4375,38,0.13179694,38,0.12802313
145.2125,39,0.032605076000000004,39,-0.0097777712
168.9875,40,-0.10042826,40,-0.16030395
192.7625,41,-0.096019837,41,-0.14447944
216.5375,42,0.023672618,42,-0.0011502883
240.3125,43,0.07584563700000001,43,0.058088772000000004
264.0875,44,0.091997395,44,0.072704429
287.8625,45,0.098111776,45,0.079409145
311.6375,46,0.09972426300000001,46,0.08279410799999999
335.4125,47,0.098895796,47,0.087464175
359.1875,48,0.096724646,48,0.088893603
382.9625,49,0.09399183800000001,49,0.08933316699999999
406.7375,50,0.091033691,50,0.088731534
430.5125,51,0.087523849,51,0.086611721
454.2875,52,0.082854391,52,0.08105519
478.0625,53,0.076838209,53,0.074651103
501.8375,54,0.070157687,54,0.066204235
525.6125,55,0.063739169,55,0.05806629
549.3875,56,0.058048592,56,0.05045156
573.1625,57,0.053071886,57,0.043637507
596.9375,58,0.048726381,58,0.037734803
620.7125,59,0.044924143,59,0.032764936
644.4875,60,0.041549049,60,0.028642484
668.2625,61,0.038594792,61,0.025463887999999997
692.0375,62,0.036113664,62,0.022035106000000002
715.8125,63,0.034226765,63,0.020642473
739.5875,64,0.03318892,64,0.019883718
763.3625,65,0.033497702000000004,65,0.019954052
787.1375,66,0.035965718,66,0.023351161000000002
810.9125,67,0.040448755,67,0.028131271
834.6875,68,0.044050948,68,0.031668951
858.4625,69,0.042752568,69,0.031715342
882.2375,70,0.036370377999999995,70,0.025477173
906.0125,71,0.029075672,71,0.018656758
929.7875,72,0.024159249,72,0.014590508
953.5625,73,0.022465716,73,0.012613955
977.3375,74,0.025618431,74,0.015938584
1001.1125,75,0.091632989,75,0.0840218
