,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-17.779313000000002,0.0,-17.779313000000002,-17.453393,9.6167087e-07,-17.453392
0.0006244,2,-17.779654999999998,0.0060163488,-17.773639000000003,-17.453768,0.0035139312,-17.450254
0.0008759,3,-17.779811,0.007392173199999999,-17.772418,-17.453920999999998,0.0047537358000000005,-17.449168
0.0012286,4,-17.780008,0.0089699305,-17.771038,-17.454122,0.0063649770999999996,-17.447757
0.0017234,5,-17.780256,0.010752322,-17.769504,-17.454382,0.0083935443,-17.445989
0.0024174,6,-17.78057,0.012747321,-17.767822,-17.454722,0.010838407,-17.443883
0.0033909,7,-17.780969,0.014978577,-17.76599,-17.455165,0.013634086,-17.441531
0.0047565,8,-17.781482,0.0174902,-17.763991,-17.455748,0.016652361,-17.439095000000002
0.006672,9,-17.782148,0.020350951000000003,-17.761797,-17.456518,0.019772483,-17.436745000000002
0.0093589,10,-17.783026,0.023657836,-17.759368,-17.457547,0.023003006,-17.434544
0.0131278,11,-17.784201,0.027537773999999998,-17.756663,-17.458937,0.026598952000000002,-17.432338
0.0184145,12,-17.785805,0.032148653,-17.753656,-17.46085,0.031016161,-17.429834
0.0258302,13,-17.788054000000002,0.037676705,-17.750377,-17.463538,0.03673647,-17.426801
0.0362323,14,-17.791335,0.044336519000000005,-17.746999,-17.467423,0.044156725,-17.423266
0.0508234,15,-17.796754,0.05240896900000001,-17.744346,-17.473634,0.053579432999999996,-17.420054999999998
0.0712906,16,-17.806082999999997,0.06324423700000001,-17.742839,-17.483878,0.066125408,-17.417753
0.1,17,-17.819859,0.080451044,-17.739407,-17.498648,0.084872722,-17.413775
0.140271,18,-17.837769,0.10779736,-17.729972,-17.517659,0.11295403,-17.404705
0.19676,19,-17.860581,0.14849179,-17.712089000000002,-17.541601,0.15268546,-17.388916000000002
0.275997,20,-17.888973,0.20833912,-17.680634,-17.571003,0.20925923,-17.361743
0.3871,21,-17.922659,0.29643559,-17.626224,-17.605261,0.29363092,-17.311629999999997
0.5431,22,-17.958270000000002,0.42682658,-17.531443,-17.640385000000002,0.42450955,-17.215875
0.7617,23,-17.978680999999998,0.619912,-17.358769,-17.658814000000003,0.6263532,-17.032460999999998
1.0685,24,-17.941817,0.88877218,-17.053045,-17.621053,0.9077711,-16.713282
1.4988,25,-17.834572,1.1950083,-16.639564,-17.51565,1.2117635,-16.303887
2.1024,26,-17.688006,1.4987245,-16.189282000000002,-17.370901,1.4910386,-15.879862
2.949,27,-17.512420000000002,1.8159883,-15.696432000000001,-17.196123,1.7997395,-15.396382999999998
4.1366,28,-17.309235,2.166257,-15.142978,-16.991079,2.1987055,-14.792373999999999
5.8025,29,-17.080558,2.5694475,-14.511110999999998,-16.757908,2.66243,-14.095478
8.1392,30,-16.822858,3.0504401000000003,-13.772418,-16.488738,3.1462071,-13.342531
11.417,31,-16.527399,3.6263152,-12.901083999999999,-16.173145,3.7035967000000003,-12.469548
16.0147,32,-16.200522,4.2922343000000005,-11.908288,-15.818220000000002,4.4889932,-11.329227000000001
22.464,33,-15.884825,5.0349635,-10.849862,-15.47255,5.4692715,-10.003279
31.5105,34,-15.603034,5.8796095,-9.723424000000001,-15.15683,6.4473639,-8.709466099999998
44.2001,35,-15.321585999999998,6.8367786,-8.4848076,-14.832182000000001,7.3502439,-7.481938400000001
62.0,36,-15.069403,7.799571,-7.269831900000001,-14.528545999999999,8.3789674,-6.1495782
85.775,37,-14.997598000000002,8.6235508,-6.3740473,-14.413101999999999,9.4801684,-4.9329331
109.55,38,-15.099057,9.2235702,-5.875486799999999,-14.476954000000001,10.210264,-4.2666909
133.325,39,-15.263682999999999,9.7593784,-5.5043047,-14.597388,10.691288,-3.9060997000000004
