,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,76.72216,1,45.494987
0.00075015,2,40.96118,2,38.579743
0.00105225,3,33.041424,3,35.40797
0.001476,4,26.17715,4,31.267793
0.0020704,5,20.453587,5,26.147035
0.00290415,6,15.887011,6,20.440843
0.0040737,7,12.355441,7,14.772170000000001
0.00571425,8,9.670386500000001,8,9.993907199999999
0.00801545,9,7.6321189,9,6.6735076
0.01124335,10,6.0591888,10,4.883582700000001
0.01577115,11,4.800884099999999,11,4.0588923999999995
0.02212235,12,3.7332395,12,3.5391891
0.03103125,13,2.7415062999999997,13,2.9393505
0.04352785,14,1.5351035,14,1.8946842000000002
0.061057,15,0.62126951,15,0.95517183
0.0856453,16,1.0091049,16,1.1669447
0.1201355,17,1.978014,17,1.9071228
0.1685155,18,2.6723698,18,2.3795214
0.2363785,19,3.3512531,19,2.9411188
0.3315485,20,4.1342247,20,3.8865809999999996
0.4651,21,5.1289975,21,5.2848406
0.6524,22,6.6683147,22,7.2007727
0.9151,23,8.412266699999998,23,8.897293199999998
1.28365,24,8.111906900000001,24,8.113567100000001
1.8006,25,6.2975928,25,6.0065352999999995
2.5257,26,4.9144515,26,4.9209654
3.5428,27,3.9341449,27,4.384070200000001
4.96955,28,3.2019592999999995,28,3.5814392999999995
6.97085,29,2.6686982000000006,29,2.7507695
9.7781,30,2.2440955000000002,30,2.3006875
13.71585,31,1.8228802,31,2.1516732999999997
19.23935,32,1.3854369,32,1.7592819
26.98725,33,1.051152,33,1.2012783999999999
37.8553,34,0.82400102,34,0.81632492
53.10005,35,0.57622074,35,0.64341443
73.8875,36,0.31806939,36,0.4334098
97.6625,37,0.17702566,37,0.2280624
121.4375,38,0.13179694,38,0.11990891
145.2125,39,0.032605076000000004,39,-0.013861574
168.9875,40,-0.10042826,40,-0.16141994
192.7625,41,-0.096019837,41,-0.14333851
216.5375,42,0.023672618,42,0.001093446
240.3125,43,0.07584563700000001,43,0.05936835099999999
264.0875,44,0.091997395,44,0.073373055
287.8625,45,0.098111776,45,0.080002303
311.6375,46,0.09972426300000001,46,0.083296765
335.4125,47,0.098895796,47,0.087732621
359.1875,48,0.096724646,48,0.088769548
382.9625,49,0.09399183800000001,49,0.088719677
406.7375,50,0.091033691,50,0.0875796
430.5125,51,0.087523849,51,0.08495279
454.2875,52,0.082854391,52,0.078966804
478.0625,53,0.076838209,53,0.07224857
501.8375,54,0.070157687,54,0.063596547
525.6125,55,0.063739169,55,0.055373843
549.3875,56,0.058048592,56,0.047798509
573.1625,57,0.053071886,57,0.041115692999999995
596.9375,58,0.048726381,58,0.035408489
620.7125,59,0.044924143,59,0.030667701000000002
644.4875,60,0.041549049,60,0.026779993999999998
668.2625,61,0.038594792,61,0.023829957000000002
692.0375,62,0.036113664,62,0.020604495
715.8125,63,0.034226765,63,0.019390328000000002
739.5875,64,0.03318892,64,0.018775214
763.3625,65,0.033497702000000004,65,0.018957296000000002
787.1375,66,0.035965718,66,0.022451028999999997
810.9125,67,0.040448755,67,0.027312852000000002
834.6875,68,0.044050948,68,0.030918621
858.4625,69,0.042752568,69,0.031015828
882.2375,70,0.036370377999999995,70,0.024797575
906.0125,71,0.029075672,71,0.017981903
929.7875,72,0.024159249,72,0.013902936000000001
953.5625,73,0.022465716,73,0.01188434
977.3375,74,0.025618431,74,0.015180922
1001.1125,75,0.091632989,75,0.083560985
