,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-17.779313000000002,0.0,-17.779313000000002,-17.45145,9.664390799999999e-07,-17.451449
0.0006244,2,-17.779654999999998,0.0060163488,-17.773639000000003,-17.451835,0.003751528,-17.448083
0.0008759,3,-17.779811,0.007392173199999999,-17.772418,-17.451992999999998,0.005058851,-17.446934
0.0012286,4,-17.780008,0.0089699305,-17.771038,-17.452199,0.0067444099,-17.445454
0.0017234,5,-17.780256,0.010752322,-17.769504,-17.452466,0.0088445139,-17.443621
0.0024174,6,-17.78057,0.012747321,-17.767822,-17.452814,0.011342111,-17.441472
0.0033909,7,-17.780969,0.014978577,-17.76599,-17.453267,0.014153161000000001,-17.439114
0.0047565,8,-17.781482,0.0174902,-17.763991,-17.453864000000003,0.017139294,-17.436723999999998
0.006672,9,-17.782148,0.020350951000000003,-17.761797,-17.454651000000002,0.0201943,-17.434456
0.0093589,10,-17.783026,0.023657836,-17.759368,-17.455702,0.023370276000000002,-17.432332000000002
0.0131278,11,-17.784201,0.027537773999999998,-17.756663,-17.457122000000002,0.026970378,-17.430152
0.0184145,12,-17.785805,0.032148653,-17.753656,-17.459075,0.031465195,-17.42761
0.0258302,13,-17.788054000000002,0.037676705,-17.750377,-17.461818,0.037317803,-17.4245
0.0362323,14,-17.791335,0.044336519000000005,-17.746999,-17.465781,0.04490315,-17.420878
0.0508234,15,-17.796754,0.05240896900000001,-17.744346,-17.47211,0.054507427000000004,-17.417603
0.0712906,16,-17.806082999999997,0.06324423700000001,-17.742839,-17.482535000000002,0.067248172,-17.415287
0.1,17,-17.819859,0.080451044,-17.739407,-17.49756,0.086242024,-17.411317999999998
0.140271,18,-17.837769,0.10779736,-17.729972,-17.516904999999998,0.11468632,-17.402219
0.19676,19,-17.860581,0.14849179,-17.712089000000002,-17.541278,0.15498309,-17.386295
0.275997,20,-17.888973,0.20833912,-17.680634,-17.571223,0.21253713,-17.358686
0.3871,21,-17.922659,0.29643559,-17.626224,-17.606138,0.29860803,-17.30753
0.5431,22,-17.958270000000002,0.42682658,-17.531443,-17.641986,0.43212606,-17.209858999999998
0.7617,23,-17.978680999999998,0.619912,-17.358769,-17.660977,0.63759927,-17.023378
1.0685,24,-17.941817,0.88877218,-17.053045,-17.622923999999998,0.92293037,-16.699994
1.4988,25,-17.834572,1.1950083,-16.639564,-17.516115,1.2297295,-16.286385
2.1024,26,-17.688006,1.4987245,-16.189282000000002,-17.369377,1.5125081,-15.856869
2.949,27,-17.512420000000002,1.8159883,-15.696432000000001,-17.192131,1.8288157999999999,-15.363315
4.1366,28,-17.309235,2.166257,-15.142978,-16.984009,2.2375076000000003,-14.746502
5.8025,29,-17.080558,2.5694475,-14.511110999999998,-16.747003,2.7073277,-14.039676
8.1392,30,-16.822858,3.0504401000000003,-13.772418,-16.472953,3.1947658,-13.278186999999999
11.417,31,-16.527399,3.6263152,-12.901083999999999,-16.151464999999998,3.7666777999999996,-12.384787
16.0147,32,-16.200522,4.2922343000000005,-11.908288,-15.790254000000001,4.5774548,-11.212799
22.464,33,-15.884825,5.0349635,-10.849862,-15.438460000000001,5.5698312,-9.8686293
31.5105,34,-15.603034,5.8796095,-9.723424000000001,-15.117289999999999,6.5361103,-8.5811793
44.2001,35,-15.321585999999998,6.8367786,-8.4848076,-14.787126,7.4331512,-7.3539744
62.0,36,-15.069403,7.799571,-7.269831900000001,-14.478675,8.4814968,-5.9971787
85.775,37,-14.997598000000002,8.6235508,-6.3740473,-14.36021,9.583777900000001,-4.7764326
109.55,38,-15.099057,9.2235702,-5.875486799999999,-14.422382999999998,10.288313,-4.1340699
133.325,39,-15.263682999999999,9.7593784,-5.5043047,-14.539567000000002,10.743234,-3.7963332999999997
