,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,76.72216,,
0.000312205,,,1.0,38.907461
0.00075015,2.0,40.96118,2.0,33.904101000000004
0.00105225,3.0,33.041424,3.0,31.686758
0.001476,4.0,26.17715,4.0,28.647423
0.0020704,5.0,20.453587,5.0,24.715282000000002
0.00290415,6.0,15.887011,6.0,20.074462
0.0040737,7.0,12.355441,7.0,15.169054999999998
0.00571425,8.0,9.670386500000001,8.0,10.650087
0.00801545,9.0,7.6321189,9.0,7.1761371
0.01124335,10.0,6.0591888,10.0,5.0284497
0.01577115,11.0,4.800884099999999,11.0,3.9568217000000003
0.02212235,12.0,3.7332395,12.0,3.3690925000000003
0.03103125,13.0,2.7415062999999997,13.0,2.7955335
0.04352785,14.0,1.5351035,14.0,1.8212817
0.061057,15.0,0.62126951,15.0,0.94038958
0.0856453,16.0,1.0091049,16.0,1.1694806999999998
0.1201355,17.0,1.978014,17.0,1.8965959
0.1685155,18.0,2.6723698,18.0,2.3390471
0.2363785,19.0,3.3512531,19.0,2.8485575
0.3315485,20.0,4.1342247,20.0,3.7296922999999995
0.4651,21.0,5.1289975,21.0,5.0760687
0.6524,22.0,6.6683147,22.0,6.9601085000000005
0.9151,23.0,8.412266699999998,23.0,8.662669000000001
1.28365,24.0,8.111906900000001,24.0,7.9464117
1.8006,25.0,6.2975928,25.0,5.854539
2.5257,26.0,4.9144515,26.0,4.720246599999999
3.5428,27.0,3.9341449,27.0,4.1988156
4.96955,28.0,3.2019592999999995,28.0,3.4765254999999997
6.97085,29.0,2.6686982000000006,29.0,2.6881162
9.7781,30.0,2.2440955000000002,30.0,2.1964755
13.71585,31.0,1.8228802,31.0,2.0336536
19.23935,32.0,1.3854369,32.0,1.7082368
26.98725,33.0,1.051152,33.0,1.2118912
37.8553,34.0,0.82400102,34.0,0.81851488
53.10005,35.0,0.57622074,35.0,0.61992759
73.8875,36.0,0.31806939,36.0,0.42954971
97.6625,37.0,0.17702566,37.0,0.2444721
121.4375,38.0,0.13179694,38.0,0.13637985
145.2125,39.0,0.032605076000000004,39.0,-0.0048338539
168.9875,40.0,-0.10042826,40.0,-0.1588543
192.7625,41.0,-0.096019837,41.0,-0.14561134
216.5375,42.0,0.023672618,42.0,-0.0030504307
240.3125,43.0,0.07584563700000001,43.0,0.056483715
264.0875,44.0,0.091997395,44.0,0.071944646
287.8625,45.0,0.098111776,45.0,0.07844778200000001
311.6375,46.0,0.09972426300000001,46.0,0.082954229
335.4125,47.0,0.098895796,47.0,0.08672324
359.1875,48.0,0.096724646,48.0,0.08886405
382.9625,49.0,0.09399183800000001,49.0,0.089871461
406.7375,50.0,0.091033691,50.0,0.08969136
430.5125,51.0,0.087523849,51.0,0.08799988199999999
454.2875,52.0,0.082854391,52.0,0.08342419
478.0625,53.0,0.076838209,53.0,0.076879609
501.8375,54.0,0.070157687,54.0,0.068792895
525.6125,55.0,0.063739169,55.0,0.06085822
549.3875,56.0,0.058048592,56.0,0.053341541
573.1625,57.0,0.053071886,57.0,0.046430703
596.9375,58.0,0.048726381,58.0,0.040323357000000004
620.7125,59.0,0.044924143,59.0,0.035000684
644.4875,60.0,0.041549049,60.0,0.030729764
668.2625,61.0,0.038594792,61.0,0.027111612
692.0375,62.0,0.036113664,62.0,0.024122326
715.8125,63.0,0.034226765,63.0,0.02187316
739.5875,64.0,0.03318892,64.0,0.021085297000000003
763.3625,65.0,0.033497702000000004,65.0,0.021249532
787.1375,66.0,0.035965718,66.0,0.024283366
810.9125,67.0,0.040448755,67.0,0.028818572
834.6875,68.0,0.044050948,68.0,0.033118541
858.4625,69.0,0.042752568,69.0,0.032216161
882.2375,70.0,0.036370377999999995,70.0,0.026234976
906.0125,71.0,0.029075672,71.0,0.019406449
929.7875,72.0,0.024159249,72.0,0.015027651999999999
953.5625,73.0,0.022465716,73.0,0.013915149
977.3375,74.0,0.025618431,74.0,0.016810869
1001.1125,75.0,0.091632989,75.0,0.08446695300000001
