,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,i,layer,coolrg
pressure,,,,,
0.0003122,1,66.811869,1,1,44.714254
0.00075015,2,30.192711,1,2,32.076582
0.00105225,3,28.255311,1,3,31.058694
0.001476,4,25.341715,1,4,28.380810999999998
0.0020704,5,22.174221,1,5,24.342332
0.00290415,6,19.226535000000002,1,6,19.784353
0.0040737,7,16.722186999999998,1,7,15.804571
0.00571425,8,14.724929000000001,1,8,13.239320000000001
0.00801545,9,13.199432,1,9,11.985891
0.01124335,10,12.055477999999999,1,10,11.364303
0.01577115,11,11.189547,1,11,10.773306
0.02212235,12,10.518709,1,12,10.025188
0.03103125,13,10.089953999999999,1,13,9.372094
0.04352785,14,9.4460976,1,14,8.7119252
0.061057,15,8.3473133,1,15,7.987661800000001
0.0856453,16,7.340092100000001,1,16,7.5528844
0.1201355,17,6.662366400000001,1,17,7.298053599999999
0.1685155,18,6.2482981,1,18,6.9553534
0.2363785,19,6.0842587,1,19,6.5198155
0.3315485,20,6.1963468,1,20,6.2137765
0.4651,21,6.8098209,1,21,6.506363400000001
0.6524,22,6.510549500000001,1,22,6.208329
0.9151,23,5.0724403,1,23,4.9714791
1.28365,24,3.9105093,1,24,3.8861407
1.8006,25,3.1261839,1,25,3.0104873
2.5257,26,2.5051883999999998,1,26,2.3377124
3.5428,27,1.9547265999999999,1,27,1.9485738000000001
4.96955,28,1.5715128,1,28,1.6992599999999998
6.97085,29,1.401774,1,29,1.5074722
9.7781,30,1.2623365,1,30,1.2992569
13.71585,31,1.0744964,1,31,1.1045747
19.23935,32,0.84193587,1,32,0.82957168
26.98725,33,0.69884556,1,33,0.6684867
37.8553,34,0.64863597,1,34,0.67718162
53.10005,35,0.55165801,1,35,0.60066883
73.8875,36,0.43439702,1,36,0.43162482
97.6625,37,0.33979895,1,37,0.31665864
121.4375,38,0.24766682,1,38,0.25084469
145.2125,39,0.17053948,1,39,0.19820117
168.9875,40,0.12662171,1,40,0.1617227
192.7625,41,0.095782595,1,41,0.12503499
216.5375,42,0.07098215299999999,1,42,0.08893853800000001
240.3125,43,0.047261303,1,43,0.052509452000000005
264.0875,44,0.012151241,1,44,0.0067201772
287.8625,45,-0.06782115400000001,1,45,-0.081791593
311.6375,46,-0.10253653,1,46,-0.12070949
335.4125,47,-0.036091938999999996,1,47,-0.054391029
359.1875,48,0.01977975,1,48,0.0049115792
382.9625,49,0.036544687,1,49,0.025602352000000002
406.7375,50,0.044234514,1,50,0.036241643
430.5125,51,0.048698032999999995,1,51,0.042435558
454.2875,52,0.05147826,1,52,0.045171137
478.0625,53,0.053335477,1,53,0.048027673
501.8375,54,0.0546523,1,54,0.049812256
525.6125,55,0.055710061,1,55,0.051708080999999996
549.3875,56,0.056489298,1,56,0.053210144
573.1625,57,0.056953974000000004,1,57,0.054356409
596.9375,58,0.056908569000000006,1,58,0.055085915
620.7125,59,0.056069704000000005,1,59,0.054103369000000005
644.4875,60,0.054314642,1,60,0.053440077
668.2625,61,0.051681015,1,61,0.050741552999999995
692.0375,62,0.04840817099999999,1,62,0.047310755999999995
715.8125,63,0.04486634,1,63,0.043503734
739.5875,64,0.041633002999999995,1,64,0.039936765
763.3625,65,0.039411543,1,65,0.0373262
787.1375,66,0.039223699,1,66,0.036709927999999996
810.9125,67,0.042789499,1,67,0.039927496
834.6875,68,0.051917575,1,68,0.049036432000000005
858.4625,69,0.064414069,1,69,0.060444804000000005
882.2375,70,0.07015286,1,70,0.06680093
906.0125,71,0.060457705,1,71,0.056871355
929.7875,72,0.041129465,1,72,0.036673422000000004
953.5625,73,0.023148099,1,73,0.019971561999999998
977.3375,74,0.0095372374,1,74,0.0059082817
1001.1125,75,-0.018782726,1,75,-0.02163425
