,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-14.290363000000001,0.0,-14.290363000000001,-13.979107999999998,9.93548e-07,-13.979107
0.0006244,2,-14.291621,0.0062000669,-14.285421,-13.980376999999999,0.0038760219,-13.976501
0.0008759,3,-14.292224,0.0077028566,-14.284522,-13.980906,0.0052704586,-13.975635999999998
0.0012286,4,-14.292966,0.0096250948,-14.283341,-13.981573000000001,0.007194386999999999,-13.974378
0.0017234,5,-14.293870000000002,0.012014292,-14.281856,-13.982403,0.0097683285,-13.972635
0.0024174,6,-14.294965,0.014932309,-14.280033,-13.983428,0.013074511,-13.970354
0.0033909,7,-14.296284,0.018468833,-14.277816,-13.984682000000001,0.017123478,-13.967557999999999
0.0047565,8,-14.297864,0.022753568,-14.275110999999999,-13.986204,0.021853594,-13.964351
0.006672,9,-14.299741000000001,0.027972035,-14.271769,-13.988036,0.027225915,-13.96081
0.0093589,10,-14.301953,0.03438511,-14.267567999999999,-13.990216,0.033404729,-13.956810999999998
0.0131278,11,-14.304529999999998,0.042344197,-14.262185999999998,-13.992776000000001,0.040931537999999996,-13.951844
0.0184145,12,-14.307484,0.05230522,-14.255179,-13.995728,0.050706232000000004,-13.945020999999999
0.0258302,13,-14.310773999999999,0.064835348,-14.245939000000002,-13.999020999999999,0.063769145,-13.935251999999998
0.0362323,14,-14.314110999999999,0.080605665,-14.233506,-14.002353,0.081098762,-13.921254000000001
0.0508234,15,-14.317192000000002,0.10001278,-14.217179000000002,-14.005413,0.10307435,-13.902339000000001
0.0712906,16,-14.320175,0.12323414,-14.196941,-14.008332999999999,0.12926502,-13.879068
0.1,17,-14.323170999999999,0.15119206,-14.171978,-14.011167000000002,0.15932436,-13.851842999999999
0.140271,18,-14.325842999999999,0.18564611,-14.140196,-14.013517000000002,0.19383106,-13.819685999999999
0.19676,19,-14.327476999999998,0.22909163,-14.098385999999998,-14.014578,0.23551309,-13.779065
0.275997,20,-14.326557999999999,0.28528,-14.041278,-14.012762,0.29029565,-13.722466
0.3871,21,-14.319310999999999,0.35958291,-13.959728,-14.004339000000002,0.36661206,-13.637726999999998
0.5431,22,-14.292482000000001,0.45859511,-13.833886999999999,-13.976320999999999,0.47318277,-13.503139000000001
0.7617,23,-14.238760999999998,0.57346265,-13.665298000000002,-13.922345000000002,0.60016329,-13.322182000000002
1.0685,24,-14.170056,0.68910401,-13.480951999999998,-13.853960999999998,0.72442592,-13.129535
1.4988,25,-14.092345000000002,0.81071976,-13.281626000000001,-13.776401000000002,0.83783481,-12.938566
2.1024,26,-14.004916,0.94681499,-13.058100999999999,-13.687713,0.95357271,-12.73414
2.949,27,-13.908835999999999,1.1019696,-12.806866000000001,-13.58849,1.1059855,-12.482503999999999
4.1366,28,-13.814070999999998,1.2821945,-12.531875999999999,-13.488504,1.3256056999999999,-12.162898
5.8025,29,-13.730626999999998,1.5088698999999999,-12.221757,-13.399028,1.6053382,-11.79369
8.1392,30,-13.651048000000001,1.8173004000000001,-11.833748,-13.311276000000001,1.9362051,-11.375071
11.417,31,-13.570395999999999,2.2267866,-11.34361,-13.219953,2.3561421,-10.863811
16.0147,32,-13.503915,2.7455084,-10.758405999999999,-13.143386999999999,2.9768107,-10.166576
22.464,33,-13.505078,3.3898816,-10.115196000000001,-13.142919000000001,3.8184199999999997,-9.3244987
31.5105,34,-13.601566,4.2352677000000005,-9.366297900000001,-13.249893,4.816002,-8.4338906
44.2001,35,-13.746123,5.3548375,-8.3912855,-13.412519,5.9583254,-7.4541939
62.0,36,-13.916374,6.6882731,-7.2281009,-13.603432999999999,7.3887413,-6.2146922
85.775,37,-14.071263,8.066562,-6.0047008,-13.773704,9.0516386,-4.7220653
