,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,66.811869,1,32.440264
0.00075015,2,30.192711,2,27.263034
0.00105225,3,28.255311,3,28.58687
0.001476,4,25.341715,4,28.631419
0.0020704,5,22.174221,5,27.126095
0.00290415,6,19.226535000000002,6,24.105245
0.0040737,7,16.722186999999998,7,20.043345000000002
0.00571425,8,14.724929000000001,8,15.92344
0.00801545,9,13.199432,9,12.75208
0.01124335,10,12.055477999999999,10,11.086864
0.01577115,11,11.189547,11,10.692396
0.02212235,12,10.518709,12,10.857646
0.03103125,13,10.089953999999999,13,11.100807000000001
0.04352785,14,9.4460976,14,10.727485
0.061057,15,8.3473133,15,9.4459606
0.0856453,16,7.340092100000001,16,7.903131500000001
0.1201355,17,6.662366400000001,17,6.6504784
0.1685155,18,6.2482981,18,5.9603245000000005
0.2363785,19,6.0842587,19,5.8970995
0.3315485,20,6.1963468,20,6.3014642
0.4651,21,6.8098209,21,7.1559407
0.6524,22,6.510549500000001,22,6.8979256
0.9151,23,5.0724403,23,5.2618609
1.28365,24,3.9105093,24,3.7281606
1.8006,25,3.1261839,25,2.8222742000000003
2.5257,26,2.5051883999999998,26,2.4473465
3.5428,27,1.9547265999999999,27,2.2132005
4.96955,28,1.5715128,28,1.8391055
6.97085,29,1.401774,29,1.4948693000000002
9.7781,30,1.2623365,30,1.2865536
13.71585,31,1.0744964,31,1.2418986
19.23935,32,0.84193587,32,1.0828158
26.98725,33,0.69884556,33,0.83320525
37.8553,34,0.64863597,34,0.65311999
53.10005,35,0.55165801,35,0.57906777
73.8875,36,0.43439702,36,0.52641993
97.6625,37,0.33979895,37,0.39983617
121.4375,38,0.24766682,38,0.23977402
145.2125,39,0.17053948,39,0.11795761
168.9875,40,0.12662171,40,0.063939524
192.7625,41,0.095782595,41,0.04295487
216.5375,42,0.07098215299999999,42,0.034851402000000004
240.3125,43,0.047261303,43,0.028085046000000002
264.0875,44,0.012151241,44,0.0068521981999999995
287.8625,45,-0.06782115400000001,45,-0.070276827
311.6375,46,-0.10253653,46,-0.10241489
335.4125,47,-0.036091938999999996,47,-0.028051892999999998
359.1875,48,0.01977975,48,0.027904497
382.9625,49,0.036544687,49,0.038851008
406.7375,50,0.044234514,50,0.043055997
430.5125,51,0.048698032999999995,51,0.046203113
454.2875,52,0.05147826,52,0.047456744
478.0625,53,0.053335477,53,0.049465345
501.8375,54,0.0546523,54,0.05013098
525.6125,55,0.055710061,55,0.050662444
549.3875,56,0.056489298,56,0.050671445999999995
573.1625,57,0.056953974000000004,57,0.050256901
596.9375,58,0.056908569000000006,58,0.049494712999999996
620.7125,59,0.056069704000000005,59,0.047036691
644.4875,60,0.054314642,60,0.045227538
668.2625,61,0.051681015,61,0.041618821
692.0375,62,0.04840817099999999,62,0.037681948
715.8125,63,0.04486634,63,0.033665163
739.5875,64,0.041633002999999995,64,0.030155147
763.3625,65,0.039411543,65,0.027826865
787.1375,66,0.039223699,66,0.027615944
810.9125,67,0.042789499,67,0.031227971
834.6875,68,0.051917575,68,0.040783501
858.4625,69,0.064414069,69,0.052704468
882.2375,70,0.07015286,70,0.059915189
906.0125,71,0.060457705,71,0.050951737000000004
929.7875,72,0.041129465,72,0.0316795
953.5625,73,0.023148099,73,0.015788767
977.3375,74,0.0095372374,74,0.0027033179999999997
1001.1125,75,-0.018782726,75,-0.023871596000000002
