,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-14.290363000000001,0.0,-14.290363000000001,-14.001679999999999,9.886700400000001e-07,-14.001679000000001
0.0006244,2,-14.291621,0.0062000669,-14.285421,-14.002913000000001,0.0036331294,-13.999279999999999
0.0008759,3,-14.292224,0.0077028566,-14.284522,-14.003423999999999,0.0049565287,-13.998467000000002
0.0012286,4,-14.292966,0.0096250948,-14.283341,-14.004069,0.0067964697,-13.997273000000002
0.0017234,5,-14.293870000000002,0.012014292,-14.281856,-14.004876000000001,0.0092814243,-13.995595000000002
0.0024174,6,-14.294965,0.014932309,-14.280033,-14.005873999999999,0.012509581,-13.993364000000001
0.0033909,7,-14.296284,0.018468833,-14.277816,-14.007097,0.016512866,-13.990584
0.0047565,8,-14.297864,0.022753568,-14.275110999999999,-14.008585,0.021243495,-13.987342000000002
0.006672,9,-14.299741000000001,0.027972035,-14.271769,-14.010376999999998,0.026648777999999998,-13.983728
0.0093589,10,-14.301953,0.03438511,-14.267567999999999,-14.012510999999998,0.032841782,-13.979669
0.0131278,11,-14.304529999999998,0.042344197,-14.262185999999998,-14.015018,0.040299287999999996,-13.974719
0.0184145,12,-14.307484,0.05230522,-14.255179,-14.01791,0.049888466,-13.968022
0.0258302,13,-14.310773999999999,0.064835348,-14.245939000000002,-14.021139999999999,0.062657141,-13.958483
0.0362323,14,-14.314110999999999,0.080605665,-14.233506,-14.024408,0.079605151,-13.944803
0.0508234,15,-14.317192000000002,0.10001278,-14.217179000000002,-14.027409,0.10114875,-13.926260000000001
0.0712906,16,-14.320175,0.12323414,-14.196941,-14.030268,0.12691195,-13.903356
0.1,17,-14.323170999999999,0.15119206,-14.171978,-14.033039000000002,0.15656306,-13.876476
0.140271,18,-14.325842999999999,0.18564611,-14.140196,-14.035328,0.19058074,-13.844747
0.19676,19,-14.327476999999998,0.22909163,-14.098385999999998,-14.036342999999999,0.23148378,-13.804859
0.275997,20,-14.326557999999999,0.28528,-14.041278,-14.03452,0.28501773,-13.749502
0.3871,21,-14.319310999999999,0.35958291,-13.959728,-14.026189000000002,0.35962794,-13.666560999999998
0.5431,22,-14.292482000000001,0.45859511,-13.833886999999999,-13.998539000000001,0.46422917,-13.534310000000001
0.7617,23,-14.238760999999998,0.57346265,-13.665298000000002,-13.945267999999999,0.58959665,-13.355672
1.0685,24,-14.170056,0.68910401,-13.480951999999998,-13.877753,0.71333144,-13.164422
1.4988,25,-14.092345000000002,0.81071976,-13.281626000000001,-13.801198000000001,0.82682771,-12.97437
2.1024,26,-14.004916,0.94681499,-13.058100999999999,-13.7138,0.94124574,-12.772555
2.949,27,-13.908835999999999,1.1019696,-12.806866000000001,-13.616221,1.0891258999999998,-12.527095
4.1366,28,-13.814070999999998,1.2821945,-12.531875999999999,-13.518028,1.3023175,-12.215711
5.8025,29,-13.730626999999998,1.5088698999999999,-12.221757,-13.430295999999998,1.5775479,-11.852748
8.1392,30,-13.651048000000001,1.8173004000000001,-11.833748,-13.344435999999998,1.9055084,-11.438927
11.417,31,-13.570395999999999,2.2267866,-11.34361,-13.255247,2.3159129000000003,-10.939333999999999
16.0147,32,-13.503915,2.7455084,-10.758405999999999,-13.180596,2.9177075,-10.262889
22.464,33,-13.505078,3.3898816,-10.115196000000001,-13.180851,3.7452813999999996,-9.4355692
31.5105,34,-13.601566,4.2352677000000005,-9.366297900000001,-13.286441,4.743846,-8.542595500000001
44.2001,35,-13.746123,5.3548375,-8.3912855,-13.446803,5.8860619000000005,-7.5607413
62.0,36,-13.916374,6.6882731,-7.2281009,-13.635545,7.295908900000001,-6.3396361
85.775,37,-14.071263,8.066562,-6.0047008,-13.804076,8.9471588,-4.8569168
