,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,66.811869,1,35.22217
0.00075015,2,30.192711,2,29.044657
0.00105225,3,28.255311,3,30.098733000000003
0.001476,4,25.341715,4,29.743425
0.0020704,5,22.174221,5,27.747034000000003
0.00290415,6,19.226535000000002,6,24.237479999999998
0.0040737,7,16.722186999999998,7,19.825596
0.00571425,8,14.724929000000001,8,15.602348999999998
0.00801545,9,13.199432,9,12.562964
0.01124335,10,12.055477999999999,10,11.123928999999999
0.01577115,11,11.189547,11,10.894053999999999
0.02212235,12,10.518709,12,11.119784
0.03103125,13,10.089953999999999,13,11.359205000000001
0.04352785,14,9.4460976,14,10.942599000000001
0.061057,15,8.3473133,15,9.597175300000002
0.0856453,16,7.340092100000001,16,8.0045216
0.1201355,17,6.662366400000001,17,6.7403087
0.1685155,18,6.2482981,18,6.069878
0.2363785,19,6.0842587,19,6.0293877
0.3315485,20,6.1963468,20,6.4380282
0.4651,21,6.8098209,21,7.282426200000001
0.6524,22,6.510549500000001,22,6.987456599999999
0.9151,23,5.0724403,23,5.3002961
1.28365,24,3.9105093,24,3.7461578999999996
1.8006,25,3.1261839,25,2.8587706
2.5257,26,2.5051883999999998,26,2.5089284
3.5428,27,1.9547265999999999,27,2.2716385
4.96955,28,1.5715128,28,1.8707521
6.97085,29,1.401774,29,1.5122037
9.7781,30,1.2623365,30,1.3165977
13.71585,31,1.0744964,31,1.2800656000000001
19.23935,32,0.84193587,32,1.1021313
26.98725,33,0.69884556,33,0.83099796
37.8553,34,0.64863597,34,0.65168479
53.10005,35,0.55165801,35,0.58779173
73.8875,36,0.43439702,36,0.5299375
97.6625,37,0.33979895,37,0.39344154
121.4375,38,0.24766682,38,0.23035909
145.2125,39,0.17053948,39,0.11119265
168.9875,40,0.12662171,40,0.061291763
192.7625,41,0.095782595,41,0.042982615
216.5375,42,0.07098215299999999,42,0.035998346
240.3125,43,0.047261303,43,0.029578962
264.0875,44,0.012151241,44,0.0085629039
287.8625,45,-0.06782115400000001,45,-0.068962432
311.6375,46,-0.10253653,46,-0.10158691
335.4125,47,-0.036091938999999996,47,-0.027434177
359.1875,48,0.01977975,48,0.02795311
382.9625,49,0.036544687,49,0.038454805
406.7375,50,0.044234514,50,0.042491295
430.5125,51,0.048698032999999995,51,0.045496862
454.2875,52,0.05147826,52,0.046577252
478.0625,53,0.053335477,53,0.048399487000000005
501.8375,54,0.0546523,54,0.048862212
525.6125,55,0.055710061,55,0.04920806900000001
549.3875,56,0.056489298,56,0.049072906
573.1625,57,0.056953974000000004,57,0.048555212
596.9375,58,0.056908569000000006,58,0.047736479000000005
620.7125,59,0.056069704000000005,59,0.04525765599999999
644.4875,60,0.054314642,60,0.043467984
668.2625,61,0.051681015,61,0.039903543
692.0375,62,0.04840817099999999,62,0.036034864
715.8125,63,0.04486634,63,0.032097701
739.5875,64,0.041633002999999995,64,0.028672404
763.3625,65,0.039411543,65,0.026430546
787.1375,66,0.039223699,66,0.026309582999999997
810.9125,67,0.042789499,67,0.030024201
834.6875,68,0.051917575,68,0.039714154
858.4625,69,0.064414069,69,0.051794427999999997
882.2375,70,0.07015286,70,0.059164065999999994
906.0125,71,0.060457705,71,0.050314455
929.7875,72,0.041129465,72,0.031134767999999997
953.5625,73,0.023148099,73,0.015361756
977.3375,74,0.0095372374,74,0.0023943478
1001.1125,75,-0.018782726,75,-0.024142246000000003
