,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,i,layer,coolrg
pressure,,,,,
0.0003122,1,76.911573,1,1,54.636205000000004
0.00075015,2,41.020532,1,2,41.629703000000006
0.00105225,3,33.259869,1,3,36.060282
0.001476,4,26.397425,1,4,29.531371999999998
0.0020704,5,20.664232000000002,1,5,22.680055
0.00290415,6,16.081310000000002,1,6,16.382545
0.0040737,7,12.530285000000001,1,7,11.549864999999999
0.00571425,8,9.8270175,1,8,8.492917199999999
0.00801545,9,7.770893400000001,1,9,6.801297999999999
0.01124335,10,6.1808033,1,10,5.7305934
0.01577115,11,4.9036489,1,11,4.7128046999999995
0.02212235,12,3.8100968999999996,1,12,3.6084247000000005
0.03103125,13,2.7452218999999998,1,13,2.3928831
0.04352785,14,1.3999780000000002,1,14,0.99276338
0.061057,15,0.97914086,1,15,0.63423967
0.0856453,16,1.7529986000000002,1,16,1.5609133
0.1201355,17,2.5554885,1,17,2.5599197
0.1685155,18,3.1763235,1,18,3.3525822999999995
0.2363785,19,3.8312568,1,19,4.0463372
0.3315485,20,4.6280793,1,20,4.670991099999999
0.4651,21,5.7803014,1,21,5.568341
0.6524,22,7.4727811,1,22,7.159129300000001
0.9151,23,7.6032713,1,23,7.459041
1.28365,24,6.4517185,1,24,6.408523799999999
1.8006,25,5.474882099999999,1,25,5.3002244
2.5257,26,4.427503400000001,1,26,4.16287
3.5428,27,3.6365401,1,27,3.5926379999999996
4.96955,28,3.0593097,1,28,3.1924474999999997
6.97085,29,2.5915839,1,29,2.693923
9.7781,30,2.1799842999999997,1,30,2.1977821
13.71585,31,1.7992696,1,31,1.8260573
19.23935,32,1.4432152,1,32,1.415439
26.98725,33,1.1216645,1,33,1.0913647
37.8553,34,0.87432433,1,34,0.93357036
53.10005,35,0.50727497,1,35,0.56815033
73.8875,36,0.034923221000000004,1,36,0.021046476
97.6625,37,-0.2891564,1,37,-0.32306072
121.4375,38,-0.21923566,1,38,-0.22049148
145.2125,39,0.020826198,1,39,0.036257202999999995
168.9875,40,0.075531849,1,40,0.082616371
192.7625,41,0.099898925,1,41,0.10241865
216.5375,42,0.11178041,1,42,0.11212258
240.3125,43,0.11694185,1,43,0.11439651
264.0875,44,0.11804521,1,44,0.11134606
287.8625,45,0.11655286,1,45,0.10564119
311.6375,46,0.11328954,1,46,0.099258007
335.4125,47,0.1088493,1,47,0.092934689
359.1875,48,0.10365271,1,48,0.08844639900000001
382.9625,49,0.09797709800000001,1,49,0.08401711699999999
406.7375,50,0.092141259,1,50,0.080868179
430.5125,51,0.086303843,1,51,0.078446015
454.2875,52,0.080623254,1,52,0.07480632200000001
478.0625,53,0.07513819,1,53,0.072659037
501.8375,54,0.069950017,1,54,0.068528935
525.6125,55,0.065174498,1,55,0.06654523700000001
549.3875,56,0.060815152000000004,1,56,0.062177214
573.1625,57,0.05703816900000001,1,57,0.059211749
596.9375,58,0.054224067,1,58,0.055943214000000005
620.7125,59,0.052986932,1,59,0.054271031
644.4875,60,0.054949322,1,60,0.055785682999999996
668.2625,61,0.061354887000000004,1,61,0.061656191
692.0375,62,0.06900771,1,62,0.068747707
715.8125,63,0.067516667,1,63,0.065776004
739.5875,64,0.05156059,1,64,0.049318657
763.3625,65,0.029269306000000002,1,65,0.025830459
787.1375,66,0.011584998,1,66,0.0073755127000000005
810.9125,67,0.0042285364,1,67,-0.00078500063
834.6875,68,0.0062785099,1,68,0.0016829136999999999
858.4625,69,0.011386406000000002,1,69,0.0065059138
882.2375,70,0.015362011,1,70,0.0099058751
906.0125,71,0.01777467,1,71,0.013166513000000001
929.7875,72,0.019783652,1,72,0.015021291
953.5625,73,0.022824557000000002,1,73,0.017634911
977.3375,74,0.031017997999999998,1,74,0.027326554
1001.1125,75,0.13768667,1,75,0.13451514
