,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-16.254068,0.0,-16.254068,1,-15.835989000000001,-1.3112601000000002e-07,-15.835989000000001
0.0006244,2,-16.254436,0.0060561373,-16.248379,1,-15.836385,0.0044379276,-15.831947
0.0008759,3,-16.254603,0.007445241500000001,-16.247157,1,-15.836551,0.0058442879,-15.830707
0.0012286,4,-16.254812,0.0090441274,-16.245767999999998,1,-15.836764000000002,0.0075639731,-15.8292
0.0017234,5,-16.255074,0.010853745,-16.244221,1,-15.837038,0.0095685624,-15.827469
0.0024174,6,-16.255405,0.01288313,-16.242522,1,-15.837389000000002,0.011784888,-15.825604
0.0033909,7,-16.255824,0.015157106000000002,-16.240667000000002,1,-15.837845000000002,0.014129754,-15.823715
0.0047565,8,-16.256362,0.017721294,-16.23864,1,-15.838436999999999,0.016590426999999998,-15.821845999999999
0.006672,9,-16.257057,0.02064666,-16.236411,1,-15.839212,0.019293461,-15.819919
0.0093589,10,-16.25797,0.024033061,-16.233937,1,-15.84024,0.022485795,-15.817754
0.0131278,11,-16.259189000000003,0.028011381000000002,-16.231178,1,-15.841615,0.026420109,-15.815195000000001
0.0184145,12,-16.260851000000002,0.032744529,-16.228107,1,-15.843498,0.031254259,-15.812244
0.0258302,13,-16.263185,0.03842478,-16.22476,1,-15.846128,0.037054841,-15.809073999999999
0.0362323,14,-16.266652,0.045274958,-16.221377,1,-15.849993,0.043868085999999994,-15.806125
0.0508234,15,-16.272641,0.053683704000000006,-16.218957999999997,1,-15.856426,0.052016982,-15.804409
0.0712906,16,-16.282331,0.065747061,-16.216584,1,-15.866551000000001,0.063680519,-15.802871
0.1,17,-16.295514,0.084891854,-16.210622,1,-15.880189000000001,0.082627514,-15.797562
0.140271,18,-16.312196,0.11376467,-16.198431,1,-15.897298000000001,0.11194945,-15.785348999999998
0.19676,19,-16.332902,0.15572561,-16.177177,1,-15.918265,0.15535272,-15.762913000000001
0.275997,20,-16.357731,0.21651503,-16.141216,1,-15.942997,0.21806803,-15.724929000000001
0.3871,21,-16.385269,0.30496338,-16.080306,1,-15.969916,0.30646833,-15.663448
