,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,76.911573,1,45.577128
0.00075015,2,41.020532,2,38.664716
0.00105225,3,33.259869,3,35.62186
0.001476,4,26.397425,4,31.505577000000002
0.0020704,5,20.664232000000002,5,26.413843
0.00290415,6,16.081310000000002,6,20.679029999999997
0.0040737,7,12.530285000000001,7,15.001585999999998
0.00571425,8,9.8270175,8,10.183497000000001
0.00801545,9,7.770893400000001,9,6.8409678
0.01124335,10,6.1808033,10,5.0317843
0.01577115,11,4.9036489,11,4.1891046
0.02212235,12,3.8100968999999996,12,3.6684167999999997
0.03103125,13,2.7452218999999998,13,3.0019356
0.04352785,14,1.3999780000000002,14,1.8431253
0.061057,15,0.97914086,15,1.3983313
0.0856453,16,1.7529986000000002,16,1.9923633
0.1201355,17,2.5554885,17,2.5648729
0.1685155,18,3.1763235,18,2.9325715
0.2363785,19,3.8312568,19,3.4743169999999997
0.3315485,20,4.6280793,20,4.457585900000001
0.4651,21,5.7803014,21,6.0134715
0.6524,22,7.4727811,22,7.996085000000001
0.9151,23,7.6032713,23,8.0319028
1.28365,24,6.4517185,24,6.4023221
1.8006,25,5.474882099999999,25,5.179677
2.5257,26,4.427503400000001,26,4.4261029
3.5428,27,3.6365401,27,4.0556509
4.96955,28,3.0593097,28,3.4379440000000003
6.97085,29,2.5915839,29,2.6970412
9.7781,30,2.1799842999999997,30,2.2404609
13.71585,31,1.7992696,31,2.1175758
19.23935,32,1.4432152,32,1.8182115
26.98725,33,1.1216645,33,1.2894169
37.8553,34,0.87432433,34,0.89360706
53.10005,35,0.50727497,35,0.59485001
73.8875,36,0.034923221000000004,36,0.13375814
97.6625,37,-0.2891564,37,-0.2983204
121.4375,38,-0.21923566,38,-0.26898576
145.2125,39,0.020826198,39,-0.0037139314000000003
168.9875,40,0.075531849,40,0.053313967000000004
192.7625,41,0.099898925,41,0.069762155
216.5375,42,0.11178041,42,0.07410947400000001
240.3125,43,0.11694185,43,0.077722569
264.0875,44,0.11804521,44,0.082242625
287.8625,45,0.11655286,45,0.087107271
311.6375,46,0.11328954,46,0.091394105
335.4125,47,0.1088493,47,0.093440185
359.1875,48,0.10365271,48,0.09453385
382.9625,49,0.09797709800000001,49,0.092449688
406.7375,50,0.092141259,50,0.088921982
430.5125,51,0.086303843,51,0.084175264
454.2875,52,0.080623254,52,0.076886491
478.0625,53,0.07513819,53,0.070751139
501.8375,54,0.069950017,54,0.062265928
525.6125,55,0.065174498,55,0.056608470999999994
549.3875,56,0.060815152000000004,56,0.049167407999999996
573.1625,57,0.05703816900000001,57,0.044196695999999994
596.9375,58,0.054224067,58,0.039638228
620.7125,59,0.052986932,59,0.037341638999999996
644.4875,60,0.054949322,60,0.038679227999999996
668.2625,61,0.061354887000000004,61,0.044898823
692.0375,62,0.06900771,62,0.053031996
715.8125,63,0.067516667,63,0.051524509
739.5875,64,0.05156059,64,0.036866549
763.3625,65,0.029269306000000002,65,0.015196893000000001
787.1375,66,0.011584998,66,-0.0016497885
810.9125,67,0.0042285364,67,-0.0086471427
834.6875,68,0.0062785099,68,-0.0052311187
858.4625,69,0.011386406000000002,69,0.00024245963
882.2375,70,0.015362011,70,0.0040361263
906.0125,71,0.01777467,71,0.0075299782
929.7875,72,0.019783652,72,0.009434325799999999
953.5625,73,0.022824557000000002,73,0.012057941
977.3375,74,0.031017997999999998,74,0.019993433
1001.1125,75,0.13768667,75,0.12927554
