,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,76.911573,1,42.494434999999996
0.00075015,2,41.020532,2,36.550948999999996
0.00105225,3,33.259869,3,33.971339
0.001476,4,26.397425,4,30.396371999999996
0.0020704,5,20.664232000000002,5,25.869736
0.00290415,6,16.081310000000002,6,20.634544
0.0040737,7,12.530285000000001,7,15.281001000000002
0.00571425,8,9.8270175,8,10.545013
0.00801545,9,7.770893400000001,9,7.0812113
0.01124335,10,6.1808033,10,5.0866115999999995
0.01577115,11,4.9036489,11,4.126530799999999
0.02212235,12,3.8100968999999996,12,3.5778606
0.03103125,13,2.7452218999999998,13,2.9300787
0.04352785,14,1.3999780000000002,14,1.8064629
0.061057,15,0.97914086,15,1.3853718000000002
0.0856453,16,1.7529986000000002,16,1.9823397
0.1201355,17,2.5554885,17,2.5495767999999996
0.1685155,18,3.1763235,18,2.9039917
0.2363785,19,3.8312568,19,3.4175046
0.3315485,20,4.6280793,20,4.3669017
0.4651,21,5.7803014,21,5.8960707999999995
0.6524,22,7.4727811,22,7.8654424
0.9151,23,7.6032713,23,7.936369099999999
1.28365,24,6.4517185,24,6.349626799999999
1.8006,25,5.474882099999999,25,5.1143041
2.5257,26,4.427503400000001,26,4.3352037
3.5428,27,3.6365401,27,3.9699402999999998
4.96955,28,3.0593097,28,3.3878053999999995
6.97085,29,2.5915839,29,2.6667672000000002
9.7781,30,2.1799842999999997,30,2.1915088
13.71585,31,1.7992696,31,2.0617552
19.23935,32,1.4432152,32,1.7931602
26.98725,33,1.1216645,33,1.2927427
37.8553,34,0.87432433,34,0.89075038
53.10005,35,0.50727497,35,0.58150291
73.8875,36,0.034923221000000004,36,0.13271148
97.6625,37,-0.2891564,37,-0.2886009
121.4375,38,-0.21923566,38,-0.26246096
145.2125,39,0.020826198,39,-0.0037002527
168.9875,40,0.075531849,40,0.05321462
192.7625,41,0.099898925,41,0.070272557
216.5375,42,0.11178041,42,0.07447298200000001
240.3125,43,0.11694185,43,0.077518422
264.0875,44,0.11804521,44,0.081546609
287.8625,45,0.11655286,45,0.08617211599999999
311.6375,46,0.11328954,46,0.09051666
335.4125,47,0.1088493,47,0.092883064
359.1875,48,0.10365271,48,0.094445326
382.9625,49,0.09797709800000001,49,0.09295219699999999
406.7375,50,0.092141259,50,0.090055577
430.5125,51,0.086303843,51,0.085896989
454.2875,52,0.080623254,52,0.079103587
478.0625,53,0.07513819,53,0.073322815
501.8375,54,0.069950017,54,0.065076335
525.6125,55,0.065174498,55,0.059511739
549.3875,56,0.060815152000000004,56,0.052048422000000004
573.1625,57,0.05703816900000001,57,0.046952797000000004
596.9375,58,0.054224067,58,0.042212463
620.7125,59,0.052986932,59,0.03969524
644.4875,60,0.054949322,60,0.040789958
668.2625,61,0.061354887000000004,61,0.046740084
692.0375,62,0.06900771,62,0.054588595
715.8125,63,0.067516667,63,0.052834617
739.5875,64,0.05156059,64,0.037985692
763.3625,65,0.029269306000000002,65,0.016162368
787.1375,66,0.011584998,66,-0.00083820988
810.9125,67,0.0042285364,67,-0.0079927946
834.6875,68,0.0062785099,68,-0.0047245863
858.4625,69,0.011386406000000002,69,0.0006598668799999999
882.2375,70,0.015362011,70,0.0044417388
906.0125,71,0.01777467,71,0.007992545799999999
929.7875,72,0.019783652,72,0.010029496
953.5625,73,0.022824557000000002,73,0.012843978999999998
977.3375,74,0.031017997999999998,74,0.020951445
1001.1125,75,0.13768667,75,0.12986259
