,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-16.254068,0.0,-16.254068,-15.665398999999999,9.6761775e-07,-15.665398000000001
0.0006244,2,-16.254436,0.0060561373,-16.248379,-15.665795000000001,0.0035400513,-15.662254999999998
0.0008759,3,-16.254603,0.007445241500000001,-16.247157,-15.665956,0.0047904318,-15.661166
0.0012286,4,-16.254812,0.0090441274,-16.245767999999998,-15.666166,0.006419080799999999,-15.659745999999998
0.0017234,5,-16.255074,0.010853745,-16.244221,-15.666437,0.0084721506,-15.657964999999999
0.0024174,6,-16.255405,0.01288313,-16.242522,-15.666789000000001,0.010950946000000001,-15.655838000000001
0.0033909,7,-16.255824,0.015157106000000002,-16.240667000000002,-15.667247,0.013789563000000001,-15.653457999999999
0.0047565,8,-16.256362,0.017721294,-16.23864,-15.667848000000001,0.016861952,-15.650985999999998
0.006672,9,-16.257057,0.02064666,-16.236411,-15.668638,0.020045663999999998,-15.648593
0.0093589,10,-16.25797,0.024033061,-16.233937,-15.669691,0.023352266,-15.646339000000001
0.0131278,11,-16.259189000000003,0.028011381000000002,-16.231178,-15.671107999999998,0.027040886,-15.644067999999999
0.0184145,12,-16.260851000000002,0.032744529,-16.228107,-15.673059,0.031576072999999996,-15.641483
0.0258302,13,-16.263185,0.03842478,-16.22476,-15.675796,0.037456085,-15.63834
0.0362323,14,-16.266652,0.045274958,-16.221377,-15.679808999999999,0.045080395,-15.634729
0.0508234,15,-16.272641,0.053683704000000006,-16.218957999999997,-15.686472,0.054866004,-15.631606
0.0712906,16,-16.282331,0.065747061,-16.216584,-15.696891,0.068643772,-15.628247
0.1,17,-16.295514,0.084891854,-16.210622,-15.710848,0.089343362,-15.621504999999999
0.140271,18,-16.312196,0.11376467,-16.198431,-15.728310999999998,0.11896954,-15.609341
0.19676,19,-16.332902,0.15572561,-16.177177,-15.749704000000001,0.15979672,-15.589907
0.275997,20,-16.357731,0.21651503,-16.141216,-15.774957,0.21713052,-15.557826
0.3871,21,-16.385269,0.30496338,-16.080306,-15.802364,0.3020157,-15.500348
0.5431,22,-16.408114,0.4346242,-15.97349,-15.824148000000001,0.43276672,-15.391380999999999
0.7617,23,-16.39997,0.61998567,-15.779983999999999,-15.815095000000001,0.62740837,-15.187687
1.0685,24,-16.348487,0.84482534,-15.503661,-15.764347,0.86511848,-14.899227999999999
1.4988,25,-16.263914,1.08911,-15.174804,-15.681576999999999,1.1060359,-14.575541000000001
2.1024,26,-16.142985999999997,1.3596405,-14.783346,-15.562317000000002,1.3524907,-14.209826999999999
2.949,27,-15.993169,1.6538392,-14.339329999999999,-15.413232,1.6382093999999998,-13.775022
4.1366,28,-15.814573999999999,1.9868313999999998,-13.827743,-15.232695999999999,2.0162215,-13.216475
5.8025,29,-15.601602,2.3775762,-13.224026,-15.015101000000001,2.4672373,-12.547864
8.1392,30,-15.348182999999999,2.841504,-12.506679,-14.749582,2.9399523999999997,-11.809629
11.417,31,-15.048074,3.3878369,-11.660237,-14.428142999999999,3.4695177000000004,-10.958625
16.0147,32,-14.69535,4.015049299999999,-10.6803,-14.043235999999998,4.2076218,-9.8356146
22.464,33,-14.284245,4.7065108,-9.5777337,-13.590373999999999,5.1248135,-8.4655603
31.5105,34,-13.800127,5.4243938,-8.375733,-13.045793,5.9657081,-7.0800851
44.2001,35,-13.154004,6.092532,-7.0614719,-12.298919,6.557925200000001,-5.7409942
62.0,36,-12.436785,6.4449151,-5.99187,-11.441556,6.9268017,-4.514754
85.775,37,-12.199266999999999,6.3057514,-5.8935151,-11.117703,6.9767456999999995,-4.1409576
109.55,38,-12.862807,6.1549356,-6.7078714999999995,-11.831024000000001,6.8771906000000005,-4.953833599999999
