,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-16.254068,0.0,-16.254068,-15.666164000000002,9.724103e-07,-15.666163000000001
0.0006244,2,-16.254436,0.0060561373,-16.248379,-15.666571,0.0037788235,-15.662792000000001
0.0008759,3,-16.254603,0.007445241500000001,-16.247157,-15.666737,0.0050971089,-15.66164
0.0012286,4,-16.254812,0.0090441274,-16.245767999999998,-15.666951999999998,0.0068006816000000005,-15.660151
0.0017234,5,-16.255074,0.010853745,-16.244221,-15.667229999999998,0.0089259943,-15.658304000000001
0.0024174,6,-16.255405,0.01288313,-16.242522,-15.667591,0.011458307,-15.656132999999999
0.0033909,7,-16.255824,0.015157106000000002,-16.240667000000002,-15.668060999999998,0.014312931000000001,-15.653748
0.0047565,8,-16.256362,0.017721294,-16.23864,-15.668675,0.017353728,-15.651321
0.006672,9,-16.257057,0.02064666,-16.236411,-15.669483,0.020472765,-15.64901
0.0093589,10,-16.25797,0.024033061,-16.233937,-15.670557999999998,0.023725603999999997,-15.646832
0.0131278,11,-16.259189000000003,0.028011381000000002,-16.231178,-15.672006,0.027419867999999997,-15.644585999999999
0.0184145,12,-16.260851000000002,0.032744529,-16.228107,-15.673997,0.032035116,-15.641962
0.0258302,13,-16.263185,0.03842478,-16.22476,-15.676789999999999,0.038050969,-15.638739000000001
0.0362323,14,-16.266652,0.045274958,-16.221377,-15.680883999999999,0.045844667,-15.63504
0.0508234,15,-16.272641,0.053683704000000006,-16.218957999999997,-15.687672000000001,0.055818252,-15.631854
0.0712906,16,-16.282331,0.065747061,-16.216584,-15.698274,0.069810806,-15.628463
0.1,17,-16.295514,0.084891854,-16.210622,-15.712477999999999,0.090791056,-15.621687
0.140271,18,-16.312196,0.11376467,-16.198431,-15.730255999999999,0.12080561,-15.60945
0.19676,19,-16.332902,0.15572561,-16.177177,-15.752045,0.16222046,-15.589825
0.275997,20,-16.357731,0.21651503,-16.141216,-15.777781,0.22056995,-15.557210999999999
0.3871,21,-16.385269,0.30496338,-16.080306,-15.805729999999999,0.3071918,-15.498539000000001
0.5431,22,-16.408114,0.4346242,-15.97349,-15.827997,0.4405946,-15.387402
0.7617,23,-16.39997,0.61998567,-15.779983999999999,-15.818995000000001,0.63867098,-15.180323999999999
1.0685,24,-16.348487,0.84482534,-15.503661,-15.767671,0.87927691,-14.888394
1.4988,25,-16.263914,1.08911,-15.174804,-15.683905,1.1218851,-14.56202
2.1024,26,-16.142985999999997,1.3596405,-14.783346,-15.563101999999999,1.3714709999999999,-14.191631
2.949,27,-15.993169,1.6538392,-14.339329999999999,-15.411995999999998,1.6642857,-13.747710000000001
4.1366,28,-15.814573999999999,1.9868313999999998,-13.827743,-15.228863,2.05176,-13.177103
5.8025,29,-15.601602,2.3775762,-13.224026,-15.007848999999998,2.5092515,-12.498597
8.1392,30,-15.348182999999999,2.841504,-12.506679,-14.737731,2.9857487999999996,-11.751982
11.417,31,-15.048074,3.3878369,-11.660237,-14.410645,3.5286763,-10.881969
16.0147,32,-14.69535,4.015049299999999,-10.6803,-14.019426999999999,4.2908732,-9.7285536
22.464,33,-14.284245,4.7065108,-9.5777337,-13.559173000000001,5.2198145,-8.339359
31.5105,34,-13.800127,5.4243938,-8.375733,-13.005489,6.048040900000001,-6.9574481
44.2001,35,-13.154004,6.092532,-7.0614719,-12.244767,6.6307045,-5.6140626
62.0,36,-12.436785,6.4449151,-5.99187,-11.37088,7.0112031,-4.3596768
85.775,37,-12.199266999999999,6.3057514,-5.8935151,-11.033224,7.0502915999999995,-3.9829324
109.55,38,-12.862807,6.1549356,-6.7078714999999995,-11.744953,6.9217683,-4.823184400000001
133.325,39,-14.076385,6.7510758,-7.3253088,-13.08501,7.5041977,-5.5808123
