,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-25.978378351,0.0,-25.978378351,-25.673822,1.8312951e-09,-25.673822
0.0006244,2,-25.978393208999996,3.379861031779999e-05,-25.978359425,-25.673839,2.3866268e-05,-25.673815
0.0008759,3,-25.978399134999997,4.73665407746e-05,-25.978351787999998,-25.673845,3.3561055e-05,-25.673810999999997
0.0012286,4,-25.978407337,6.665916210560001e-05,-25.978340703,-25.673854000000002,4.7443405e-05,-25.673807
0.0017234,5,-25.978418679,9.40625003903e-05,-25.978324655,-25.673867,6.7343904e-05,-25.673799
0.0024174,6,-25.978434352999997,0.0001328241303297,-25.978301596999998,-25.673884,9.5831164e-05,-25.673788000000002
0.0033909,7,-25.978456037999997,0.0001874111064225,-25.978268706999998,-25.673909,0.00013656606000000002,-25.673772
0.0047565,8,-25.978486225,0.000263820048714,-25.978222414999998,-25.673942999999998,0.00019469110000000002,-25.673748
0.006672,9,-25.978528081,0.00036996605178799994,-25.978158083,-25.67399,0.00027742357000000006,-25.673713
0.0093589,10,-25.978586424,0.000516024614518,-25.978070332999998,-25.674057,0.00039471896,-25.673662
0.0131278,11,-25.978668167000002,0.0007146217782250001,-25.977953611,-25.674151000000002,0.0005602470500000001,-25.673591000000002
0.0184145,12,-25.978783797000002,0.000980732218389,-25.977803078,-25.674284,0.0007922479799999999,-25.673491000000002
0.0258302,13,-25.978949493000002,0.0013310029166629998,-25.977618577,-25.674473000000003,0.0011140333,-25.673359
0.0362323,14,-25.979191491999998,0.0017823966284599999,-25.977409208,-25.674748,0.0015541433,-25.673194
0.0508234,15,-25.979558245999996,0.00235123626562,-25.977206246,-25.675155,0.0021452301,-25.67301
0.0712906,16,-25.980117362,0.00309718295821,-25.977019550999998,-25.675756,0.002961396,-25.672795
0.1,17,-25.980927572999995,0.00422287500465,-25.976705312999997,-25.676607,0.0042128741,-25.672394
0.140271,18,-25.982023156,0.0060193576418,-25.9760038919,-25.67774,0.0062075672,-25.671532
0.19676,19,-25.983457529,0.0087290262143,-25.9747288577,-25.679195999999997,0.0091731629,-25.670023
0.275997,20,-25.985264987,0.0126555724743,-25.972609571699998,-25.680995000000003,0.013238937,-25.667756
0.3871,21,-25.987397732,0.018258184759,-25.9691392263,-25.683072,0.018533558999999998,-25.664539
0.5431,22,-25.989565450999997,0.026343914398,-25.9632208392,-25.68514,0.025657568999999998,-25.659482999999998
0.7617,23,-25.990487229000003,0.038385144867,-25.9521021028,-25.685903,0.036342557000000004,-25.64956
1.0685,24,-25.987177934,0.05570186067,-25.931476114859997,-25.682309,0.052376127,-25.629932999999998
1.4988,25,-25.979128905,0.07575746618000001,-25.903370872700002,-25.673911999999998,0.071730467,-25.602180999999998
2.1024,26,-25.969066560999998,0.09568113828000001,-25.8733856799,-25.663287,0.09160693,-25.571680999999998
2.949,27,-25.957985207,0.11642002684000001,-25.841565056999997,-25.651353,0.11245636,-25.538897
4.1366,28,-25.94617872,0.13882711725000002,-25.8073515806,-25.638251999999998,0.13559417,-25.502658
5.8025,29,-25.933952954,0.16361623698,-25.770336912399998,-25.624153,0.16227624,-25.461876999999998
8.1392,30,-25.921390438000003,0.19172359455,-25.7296669257,-25.608863,0.1933163,-25.415547
11.417,31,-25.908535857,0.22374455548,-25.6847913581,-25.592341,0.22725493,-25.365085999999998
16.0147,32,-25.896476113,0.25930854358,-25.637167478399995,-25.575754,0.26132999,-25.314424
22.464,33,-25.8881780703,0.29819172568,-25.5899856771,-25.562658,0.29318027,-25.269478
31.5105,34,-25.886032990199997,0.34372181939999996,-25.54231063453,-25.556047,0.32545627,-25.23059
44.2001,35,-25.8912596743,0.400915384,-25.49034476983,-25.557332000000002,0.36675326,-25.190578
