,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.05811828302699999,1,-0.0405772
0.00075015,2,0.07879608922800002,2,-0.021103122999999998
0.00105225,3,0.14139031445480002,3,0.025462511
0.001476,4,0.21153064282200001,4,0.07902672
0.0020704,5,0.2874817644459,5,0.13941061
0.00290415,6,0.3681507038106,6,0.20642439
0.0040737,7,0.451561346376,7,0.28151012
0.00571425,8,0.5348919755689999,8,0.36455222
0.00801545,9,0.6146331553710002,9,0.45304296
0.01124335,10,0.6864323158339999,10,0.54462899
0.01577115,11,0.74549635089,11,0.63598057
0.02212235,12,0.78764875325,12,0.72225233
0.03103125,13,0.8101690452200001,13,0.7959406
0.04352785,14,0.79213233592,14,0.82970486
0.061057,15,0.7204232936399999,15,0.79832853
0.0856453,16,0.62735925848,16,0.7162946
0.1201355,17,0.541204134,17,0.60624721
0.1685155,18,0.4694130916,18,0.48737043
0.2363785,19,0.41722219331000004,19,0.38772308
0.3315485,20,0.39137024200000003,20,0.3368373
0.4651,21,0.40780039054999995,21,0.35837016
0.6524,22,0.36473596994999996,22,0.34002194
0.9151,23,0.2566763245,23,0.25469909
1.28365,24,0.18451480388,24,0.19340008
1.8006,25,0.14308861418000002,25,0.15243911
2.5257,26,0.112057303431,26,0.11870258
3.5428,27,0.084788364303,27,0.09158415199999999
4.96955,28,0.0659871319909,28,0.074726289
6.97085,29,0.05745381015249999,29,0.0687838
9.7781,30,0.050824632272499996,30,0.062078395999999994
13.71585,31,0.042472098957,31,0.05022072599999999
19.23935,32,0.032976336954,32,0.034926955
26.98725,33,0.028532765233,33,0.025380034
37.8553,34,0.029459138773,34,0.023413607000000003
53.10005,35,0.029553139355810002,35,0.024607877
73.8875,36,0.029254468886900004,36,0.02851676
97.6625,37,0.028858567006000004,37,0.031215714
121.4375,38,0.0264392435671,38,0.02982412
145.2125,39,0.022977739853580002,39,0.026083357
168.9875,40,0.020016081455079,40,0.022252939
192.7625,41,0.01701279311568,41,0.018179008
216.5375,42,0.01377277025048,42,0.013845742
240.3125,43,0.0100774590385,43,0.008979006500000001
264.0875,44,0.005369793847,44,0.0031053847
287.8625,45,-0.00111357398,45,-0.0042954696999999995
311.6375,46,-0.003346923666000001,46,-0.0071039295999999995
335.4125,47,0.0025149953330999997,47,-0.0015105894
359.1875,48,0.0102716143431,48,0.0063773943
382.9625,49,0.016710601479169997,49,0.013111761000000001
406.7375,50,0.022658775122700002,50,0.019282376
430.5125,51,0.0283855238014,51,0.025138031
454.2875,52,0.033976814007499995,52,0.030800493999999998
478.0625,53,0.0394646142998,53,0.036495074
501.8375,54,0.0448447070155,54,0.042102345
525.6125,55,0.050089228467300004,55,0.04758441099999999
549.3875,56,0.0551317028633,56,0.05305316400000001
573.1625,57,0.05988513859700001,57,0.05839974
596.9375,58,0.064242399882,58,0.06348361200000001
620.7125,59,0.068092884846,59,0.068082805
644.4875,60,0.071361224693,60,0.072204383
668.2625,61,0.07402215171399999,61,0.075650192
692.0375,62,0.07614424604899998,62,0.078579081
715.8125,63,0.0778478656716,63,0.081077622
739.5875,64,0.0793147754878,64,0.083301264
763.3625,65,0.0807588200103,65,0.085445065
787.1375,66,0.0824037136591,66,0.087718015
810.9125,67,0.08442566186200001,67,0.09024766
834.6875,68,0.08670996097499999,68,0.092925914
858.4625,69,0.088300703578,69,0.09466043199999999
882.2375,70,0.08724316909799999,70,0.09376956300000001
906.0125,71,0.08214431831800001,71,0.088647091
929.7875,72,0.073894887069,72,0.080181695
953.5625,73,0.06449187799,73,0.07059525400000001
977.3375,74,0.05503635604400001,74,0.060682942999999996
1001.1125,75,0.044901532387,75,0.05034667599999999
