,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,0.058118283,,
0.000312205,,,1.0,-0.040641437999999995
0.00075015,2.0,0.078796089,2.0,-0.021162764
0.00105225,3.0,0.14139032,3.0,0.025413276000000002
0.001476,4.0,0.21153064,4.0,0.079057988
0.0020704,5.0,0.28748177,5.0,0.13938746
0.00290415,6.0,0.3681507,6.0,0.20641664
0.0040737,7.0,0.45156135,7.0,0.2816528
0.00571425,8.0,0.53489198,8.0,0.36464132
0.00801545,9.0,0.61463316,9.0,0.45308828
0.01124335,10.0,0.68643232,10.0,0.54469211
0.01577115,11.0,0.74549635,11.0,0.63605785
0.02212235,12.0,0.78764875,12.0,0.72234026
0.03103125,13.0,0.81016905,13.0,0.79603093
0.04352785,14.0,0.79213234,14.0,0.82986968
0.061057,15.0,0.7204233,15.0,0.79848404
0.0856453,16.0,0.62735926,16.0,0.71630305
0.1201355,17.0,0.54120413,17.0,0.60621627
0.1685155,18.0,0.4694131,18.0,0.48730604
0.2363785,19.0,0.41722219,19.0,0.3878278
0.3315485,20.0,0.39137024,20.0,0.33687659
0.4651,21.0,0.40780039,21.0,0.35839078
0.6524,22.0,0.36473597,22.0,0.34004299
0.9151,23.0,0.25667633,23.0,0.254815
1.28365,24.0,0.1845148,24.0,0.1934344
1.8006,25.0,0.14308861,25.0,0.15245365
2.5257,26.0,0.1120573,26.0,0.11871261
3.5428,27.0,0.084788364,27.0,0.091614893
4.96955,28.0,0.065987132,28.0,0.074774305
6.97085,29.0,0.05745381,29.0,0.06879083
9.7781,30.0,0.050824630999999995,30.0,0.062072264
13.71585,31.0,0.042472099000000006,31.0,0.050234253
19.23935,32.0,0.032976337,32.0,0.0349501
26.98725,33.0,0.028532765,33.0,0.025372039
37.8553,34.0,0.029459139,34.0,0.023413121000000002
53.10005,35.0,0.029553139,35.0,0.02460479
73.8875,36.0,0.029254468999999998,36.0,0.028535953
97.6625,37.0,0.028858567999999998,37.0,0.03123156
121.4375,38.0,0.026439244,38.0,0.029822914
145.2125,39.0,0.022977739,39.0,0.026085217
168.9875,40.0,0.020016081,40.0,0.022253834
192.7625,41.0,0.017012793000000002,41.0,0.018178949
216.5375,42.0,0.01377277,42.0,0.013844646
240.3125,43.0,0.010077459,43.0,0.0089765373
264.0875,44.0,0.0053697938,44.0,0.0031009156
287.8625,45.0,-0.0011135739,45.0,-0.0043031081
311.6375,46.0,-0.0033469237,46.0,-0.0071243201
335.4125,47.0,0.0025149953,47.0,-0.0014743666
359.1875,48.0,0.010271614,48.0,0.006408201600000001
382.9625,49.0,0.016710601999999998,49.0,0.013135703
406.7375,50.0,0.022658775,50.0,0.0192767
430.5125,51.0,0.028385523,51.0,0.025124221000000002
454.2875,52.0,0.033976814,52.0,0.030822783
478.0625,53.0,0.039464614,53.0,0.036487352
501.8375,54.0,0.044844707000000004,54.0,0.042100255
525.6125,55.0,0.050089228,55.0,0.047583453
549.3875,56.0,0.055131703,56.0,0.05305239
573.1625,57.0,0.059885139000000004,57.0,0.058398017
596.9375,58.0,0.0642424,58.0,0.063475319
620.7125,59.0,0.068092885,59.0,0.068114836
644.4875,60.0,0.071361224,60.0,0.072188803
668.2625,61.0,0.074022151,61.0,0.07563563599999999
692.0375,62.0,0.076144246,62.0,0.078604185
715.8125,63.0,0.077847866,63.0,0.08111782
739.5875,64.0,0.07931477599999999,64.0,0.08334531099999999
763.3625,65.0,0.08075882,65.0,0.085481791
787.1375,66.0,0.082403713,66.0,0.087738681
810.9125,67.0,0.084425661,67.0,0.09023255300000001
834.6875,68.0,0.086709961,68.0,0.09289865900000001
858.4625,69.0,0.08830070400000001,69.0,0.094714542
882.2375,70.0,0.08724316900000001,70.0,0.09374624
906.0125,71.0,0.08214431900000001,71.0,0.088623146
929.7875,72.0,0.073894887,72.0,0.080233111
953.5625,73.0,0.064491879,73.0,0.070557677
977.3375,74.0,0.055036355999999995,74.0,0.060754152
1001.1125,75.0,0.044901532,75.0,0.050320053
