,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.2534647106202,1,0.099282156
0.00075015,2,0.25353738269759996,2,0.10315397
0.00105225,3,0.26436857108000006,3,0.11294796
0.001476,4,0.274174429532,4,0.1227397
0.0020704,5,0.28204474924,5,0.13242745
0.00290415,6,0.287591095486,6,0.14152774
0.0040737,7,0.28983815918199995,7,0.15000363
0.00571425,8,0.287957574227,8,0.15718588
0.00801545,9,0.28079684374200004,9,0.16236248
0.01124335,10,0.267112222144,10,0.16479252
0.01577115,11,0.245594454589,11,0.16291815
0.02212235,12,0.214726542582,12,0.15510077
0.03103125,13,0.17261908343,13,0.13851083
0.04352785,14,0.120194136532,14,0.11362377
0.061057,15,0.1011971253334,15,0.11597177
0.0856453,16,0.13873880100900002,16,0.16693311
0.1201355,17,0.18900918190899998,17,0.22785717
0.1685155,18,0.22630061306899998,18,0.2636731
0.2363785,19,0.257389087167,19,0.27089953
0.3315485,20,0.294454258979,20,0.27073344
0.4651,21,0.360339895,21,0.31146699
0.6524,22,0.47447644233999997,22,0.43175395
0.9151,23,0.48158045707,23,0.46426628
1.28365,24,0.40191525227999997,24,0.4069874
1.8006,25,0.33710539706,25,0.34963211
2.5257,26,0.26689203394,26,0.27930527
3.5428,27,0.21205501503599997,27,0.22817258
4.96955,28,0.170303568465,28,0.19086518
6.97085,29,0.1360944980743,29,0.15862948
9.7781,30,0.10692423669999998,30,0.12380684
13.71585,31,0.08176438748,31,0.089733055
19.23935,32,0.060296532230000005,32,0.059606230999999996
26.98725,33,0.042726411938999995,33,0.03625698
37.8553,34,0.029791159004999998,34,0.022796242999999997
53.10005,35,0.011938844803000004,35,0.008266289
73.8875,36,-0.008907443805000002,36,-0.010580902
97.6625,37,-0.022267947819,37,-0.024281136000000002
121.4375,38,-0.021291160430000004,38,-0.023907128
145.2125,39,-0.0110958471108,39,-0.014446483999999999
168.9875,40,-0.005018358407000001,40,-0.0084976025
192.7625,41,0.0009378082350000004,41,-0.0021194199
216.5375,42,0.007115948204,42,0.0042029584
240.3125,43,0.013504742475599999,43,0.010394598
264.0875,44,0.0200332945475,44,0.016305938
287.8625,45,0.0266253679354,45,0.022028176
311.6375,46,0.03320758341171,46,0.027609639
335.4125,47,0.039719567221499996,47,0.033077313
359.1875,48,0.046110592242700005,48,0.03869854
382.9625,49,0.052332022689599994,49,0.044333883
406.7375,50,0.0583581586565,50,0.050088817
430.5125,51,0.0641843159382,51,0.05602735
454.2875,52,0.0698036525932,52,0.062068342
478.0625,53,0.07521276967299999,53,0.068400238
501.8375,54,0.08042708201290001,54,0.074646041
525.6125,55,0.08547688868879999,55,0.081118728
549.3875,56,0.09039765318219999,56,0.087508429
573.1625,57,0.0952559041797,57,0.094093939
596.9375,58,0.1001521980481,58,0.1006659
620.7125,59,0.10518546858450001,59,0.10736087
644.4875,60,0.11048360237470001,60,0.11421164
668.2625,61,0.115852718735,61,0.12099691
692.0375,62,0.12018417919199999,62,0.12659538
715.8125,63,0.12145783188699999,63,0.12888147
739.5875,64,0.11881016406299999,64,0.12722111
763.3625,65,0.11396323407810001,65,0.1231079
787.1375,66,0.10967765453400001,66,0.11938179
810.9125,67,0.10793248848299998,67,0.11797588
834.6875,68,0.10915388568519999,68,0.11954
858.4625,69,0.1124149246773,69,0.12294073
882.2375,70,0.11676211864897,70,0.12730767
906.0125,71,0.1218698289861,71,0.13255496
929.7875,72,0.1279469390509,72,0.13857252
953.5625,73,0.1355910737644,73,0.14610667
977.3375,74,0.14629029417899997,74,0.15697077
1001.1125,75,0.1671698972,75,0.17682622
