,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-27.530084000000002,0.0,-27.530084000000002,,,
1e-08,1,,,,-27.161709000000002,1.2295565e-06,-27.161707
0.0006244,2,-27.530099,3.4204655e-05,-27.530065000000004,-27.161725,2.5389085e-05,-27.1617
0.0008759,3,-27.530106,4.7961282e-05,-27.530058,-27.161732,3.5220218e-05,-27.161696999999997
0.0012286,4,-27.530114,6.757762e-05,-27.530046999999996,-27.161741999999997,4.9339058e-05,-27.161692
0.0017234,5,-27.530126,9.549239299999999e-05,-27.530031,-27.161755,6.961303e-05,-27.161685
0.0024174,6,-27.530141999999998,0.0001350472,-27.530007,-27.161772999999997,9.8689475e-05,-27.161673999999998
0.0033909,7,-27.530165000000004,0.00019084998,-27.529974,-27.161797999999997,0.00014033547,-27.161658000000003
0.0047565,8,-27.530196000000004,0.00026909374,-27.529927,-27.161833,0.00019986707,-27.161634000000003
0.006672,9,-27.530240000000003,0.00037796908,-27.529861999999998,-27.161883000000003,0.00028473655,-27.161597999999998
0.0093589,10,-27.530301,0.00052802163,-27.529773,-27.161951000000002,0.00040526884,-27.161546
0.0131278,11,-27.530386,0.00073235659,-27.529653000000003,-27.162048,0.00057562003,-27.161472999999997
0.0184145,12,-27.530506,0.0010065439999999998,-27.5295,-27.162184999999997,0.0008147658900000001,-27.161371000000003
0.0258302,13,-27.530679,0.0013679186999999999,-27.529311,-27.162381,0.0011469922,-27.161234000000004
0.0362323,14,-27.530932,0.0018342197,-27.529097999999998,-27.162665000000004,0.0016020304,-27.161063000000002
0.0508234,15,-27.531316999999998,0.002426678,-27.528890999999998,-27.163085,0.0022175838000000002,-27.160867
0.0712906,16,-27.531889000000003,0.0032441953,-27.528645,-27.163690000000003,0.0031043134999999998,-27.160586
0.1,17,-27.532682,0.0045090534,-27.528173,-27.164515,0.0044975681,-27.160018
0.140271,18,-27.533725,0.0064536986,-27.527271999999996,-27.165585999999998,0.0066545295,-27.158931
0.19676,19,-27.535053,0.0092956393,-27.525757000000002,-27.166923999999998,0.009757204,-27.157166999999998
0.275997,20,-27.536662,0.013320805,-27.523341,-27.168515999999997,0.013892373999999999,-27.154622999999997
0.3871,21,-27.538432,0.018965813999999998,-27.519465999999998,-27.170232000000002,0.019173105,-27.151058000000003
0.5431,22,-27.539813,0.027005717000000002,-27.512807000000002,-27.171528000000002,0.026224015,-27.145304
0.7617,23,-27.538961999999998,0.03844125,-27.500521000000003,-27.170464000000003,0.036346536,-27.134117
1.0685,24,-27.535146,0.052126659000000006,-27.483019,-27.166265999999997,0.049024299,-27.117240999999996
1.4988,25,-27.529373,0.066840014,-27.462533,-27.15993,0.06343942400000001,-27.096490999999997
2.1024,26,-27.52178,0.08335095299999999,-27.438429,-27.151526,0.08004007,-27.071486
2.949,27,-27.513109000000004,0.10144472,-27.411664000000002,-27.14173,0.09826467300000001,-27.043465
4.1366,28,-27.50357,0.12173807,-27.381832,-27.130589,0.11922976,-27.011359999999996
5.8025,29,-27.493115000000003,0.14489026,-27.348225,-27.117911,0.14422597,-26.973685999999997
8.1392,30,-27.48181,0.17125637,-27.310553999999996,-27.1035,0.17372738,-26.929772999999997
11.417,31,-27.469919,0.20088115,-27.269037,-27.087552000000002,0.20587403,-26.881678000000004
16.0147,32,-27.458007000000002,0.23350043,-27.224505999999998,-27.07067,0.23787501,-26.832795
22.464,33,-27.447078,0.26863669,-27.178441999999997,-27.054247999999998,0.26699863,-26.78725
31.5105,34,-27.438483,0.30582831,-27.132655,-27.040258,0.29187855,-26.748378999999996
44.2001,35,-27.432159999999996,0.3442859,-27.087874,-27.028871000000002,0.31479953,-26.714071
