,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-61.259575,0.0,-61.259575,,,
1e-08,1,,,,-61.29616600000001,1.2025758e-07,-61.296165
0.0006244,2,-61.259575,3.1652743e-08,-61.259575,-61.29616600000001,1.4493489000000002e-07,-61.296165
0.0008759,3,-61.259575,4.462508799999999e-08,-61.259575,-61.29616600000001,1.5586573999999998e-07,-61.296165
0.0012286,4,-61.259575,6.3506683e-08,-61.259575,-61.29616600000001,1.7231885e-07,-61.29616600000001
0.0017234,5,-61.259575,9.1058092e-08,-61.259575,-61.29616600000001,1.9560423999999998e-07,-61.29616600000001
0.0024174,6,-61.259575,1.3124441e-07,-61.259575,-61.29616600000001,2.2865888000000002e-07,-61.29616600000001
0.0033909,7,-61.259575,1.8985879e-07,-61.259575,-61.29616600000001,2.7589671e-07,-61.29616600000001
0.0047565,8,-61.259575,2.7534334e-07,-61.259575,-61.29616600000001,3.4374365999999997e-07,-61.29616600000001
0.006672,9,-61.259576,3.9999231000000004e-07,-61.259575,-61.29616600000001,4.4147804e-07,-61.29616600000001
0.0093589,10,-61.259576,5.8173219e-07,-61.259575,-61.296167000000004,5.8262474e-07,-61.29616600000001
0.0131278,11,-61.259577,8.466751e-07,-61.259576,-61.296167000000004,7.8721763e-07,-61.296167000000004
0.0184145,12,-61.259577,1.2328688000000002e-06,-61.259576,-61.29616800000001,1.085464e-06,-61.296167000000004
0.0258302,13,-61.259579,1.7957353e-06,-61.259577,-61.29616899999999,1.5195793000000001e-06,-61.29616800000001
0.0362323,14,-61.25958000000001,2.6160228999999997e-06,-61.259578000000005,-61.296170999999994,2.1509693999999998e-06,-61.29616899999999
0.0508234,15,-61.259583,3.8142907e-06,-61.259579,-61.296172999999996,3.069772e-06,-61.29617
0.0712906,16,-61.259586999999996,5.706646599999999e-06,-61.259581000000004,-61.296177,4.516277e-06,-61.296172
0.1,17,-61.259593,9.3309293e-06,-61.259583,-61.296181999999995,7.269297e-06,-61.296175
0.140271,18,-61.259602,1.7120848000000002e-05,-61.259584999999994,-61.296192000000005,1.3103081999999999e-05,-61.296178000000005
0.19676,19,-61.259617000000006,3.3755405e-05,-61.259583,-61.296206000000005,2.5341588000000002e-05,-61.296181000000004
0.275997,20,-61.259639,6.8796928e-05,-61.25957,-61.296228,5.0648808e-05,-61.296177
0.3871,21,-61.25966700000001,0.00014148044,-61.259526,-61.296257999999995,0.00010223502,-61.296156
0.5431,22,-61.259696,0.00029001802000000004,-61.259406000000006,-61.296296999999996,0.0002071522,-61.29609
0.7617,23,-61.25970600000001,0.00058736382,-61.25911899999999,-61.29634,0.00042538445999999996,-61.295914
1.0685,24,-61.259661,0.0011295956,-61.258531000000005,-61.29636899999999,0.0008335458500000001,-61.295535
1.4988,25,-61.259583,0.0018815885,-61.257702,-61.29640500000001,0.0014127241,-61.29499200000001
2.1024,26,-61.25956,0.0026915934999999997,-61.256868999999995,-61.29650899999999,0.0020653652,-61.29444399999999
2.949,27,-61.259641,0.0034972916,-61.25614300000001,-61.296718000000006,0.0027512157000000002,-61.293966000000005
4.1366,28,-61.259859,0.0042805433,-61.255578,-61.297059,0.0034547823999999997,-61.293604
5.8025,29,-61.260249,0.0050397815999999995,-61.255208999999994,-61.297564,0.004172633,-61.293391
8.1392,30,-61.260852,0.0057902016,-61.255061,-61.298269999999995,0.0049109272,-61.293358999999995
11.417,31,-61.26172,0.006551461800000001,-61.255168000000005,-61.299227,0.00567789,-61.293549
16.0147,32,-61.262919999999994,0.0073329332,-61.255587,-61.300498,0.006470550500000001,-61.294028000000004
22.464,33,-61.264531000000005,0.0081471462,-61.256384,-61.302158999999996,0.007290200300000001,-61.29486899999999
