,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-32.785542,0.0,-32.785542,-32.793279,1.2330397999999998e-07,-32.793279
0.0006244,2,-32.785542,3.4651422999999996e-08,-32.785542,-32.793279,1.5021207999999997e-07,-32.793279
0.0008759,3,-32.785542,4.9947915e-08,-32.785542,-32.793279999999996,1.6654111999999997e-07,-32.793279
0.0012286,4,-32.785542,7.572967e-08,-32.785542,-32.793279999999996,1.9568445999999997e-07,-32.793279
0.0017234,5,-32.785542,1.1920477e-07,-32.785542,-32.793279999999996,2.3819629e-07,-32.793279
0.0024174,6,-32.785542,1.9232939e-07,-32.785542,-32.793279999999996,3.0187059e-07,-32.793279
0.0033909,7,-32.785542,3.1506082e-07,-32.785540999999995,-32.793279999999996,3.9919164000000004e-07,-32.793279
0.0047565,8,-32.785542,5.205689e-07,-32.785540999999995,-32.793279999999996,5.566841899999999e-07,-32.793279
0.006672,9,-32.785542,8.6380786e-07,-32.785540999999995,-32.793279999999996,8.189305699999999e-07,-32.793279
0.0093589,10,-32.785542,1.4358456000000001e-06,-32.785540999999995,-32.793279999999996,1.2539128e-06,-32.793279
0.0131278,11,-32.785543,2.3871484e-06,-32.785540000000005,-32.793281,1.9708524e-06,-32.793279
0.0184145,12,-32.785543,3.9658534e-06,-32.785539,-32.793281,3.1488481999999998e-06,-32.793278
0.0258302,13,-32.785543,6.5802454999999996e-06,-32.785537,-32.793281,5.0828157000000005e-06,-32.793276
0.0362323,14,-32.785543,1.0897705000000001e-05,-32.785532,-32.793282,8.252459e-06,-32.793274
0.0508234,15,-32.785543,1.7882032e-05,-32.785525,-32.793282,1.3345222e-05,-32.793269
0.0712906,16,-32.785543,2.880608e-05,-32.785514,-32.793283,2.1283910000000002e-05,-32.793262
0.1,17,-32.785540999999995,4.559269e-05,-32.785496,-32.793283,3.3484431e-05,-32.79325
0.140271,18,-32.785538,7.133228600000001e-05,-32.785467,-32.793283,5.2176819e-05,-32.793231
0.19676,19,-32.785532,0.00011070976999999999,-32.785421,-32.793281,8.0673882e-05,-32.793201
0.275997,20,-32.785521,0.00017082778999999998,-32.78535,-32.793278,0.00012389296,-32.793154
0.3871,21,-32.7855,0.00026230748,-32.785238,-32.79327,0.00018915174,-32.793081
0.5431,22,-32.785466,0.00039999400000000003,-32.785066,-32.793256,0.0002877883,-32.792968
0.7617,23,-32.785422,0.00057839803,-32.784844,-32.793239,0.00042003192000000003,-32.792819
1.0685,24,-32.785391,0.00076718855,-32.784624,-32.793234999999996,0.0005659213799999999,-32.792669000000004
1.4988,25,-32.785382,0.00095246577,-32.78443,-32.79325,0.0007152151900000001,-32.792535
2.1024,26,-32.7854,0.0011321827,-32.784268,-32.79329,0.00086607715,-32.792424
2.949,27,-32.785451,0.0013048255,-32.784146,-32.793358000000005,0.0010175164,-32.79234
4.1366,28,-32.785539,0.0014698145,-32.78407,-32.793459999999996,0.0011683641000000001,-32.792291
5.8025,29,-32.785672,0.0016355608,-32.784036,-32.793602,0.0013254337,-32.792276
8.1392,30,-32.78586,0.0018199156,-32.784040000000005,-32.793796,0.0015027476,-32.792293
11.417,31,-32.786122999999996,0.0020375753,-32.784086,-32.794061,0.0017120057,-32.792349
16.0147,32,-32.786491,0.0023003152,-32.784191,-32.794422,0.0019616172,-32.792460999999996
22.464,33,-32.787003000000006,0.0026276769,-32.784376,-32.794914,0.0022662334,-32.792648
31.5105,34,-32.787737,0.0030814581,-32.784656,-32.795601,0.0026727842999999998,-32.792928
44.2001,35,-32.788824,0.0037809871999999996,-32.785043,-32.796577,0.0032659322999999997,-32.793310999999996
62.0,36,-32.790446,0.004875453,-32.785571000000004,-32.798066999999996,0.0042094559,-32.793858
