,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,-0.0008333257,,
0.000312205,,,1.0,-0.0009148735
0.00075015,2.0,-0.00083683392,2.0,-0.00094179921
0.00105225,3.0,-0.00084332786,3.0,-0.00091814977
0.001476,4.0,-0.0008493445100000001,4.0,-0.0009272411300000001
0.0020704,5.0,-0.0008548805499999999,5.0,-0.0009359348800000001
0.00290415,6.0,-0.0008598709399999999,6.0,-0.00094394665
0.0040737,7.0,-0.00086422659,7.0,-0.00095153477
0.00571425,8.0,-0.00086796125,8.0,-0.0009580361599999999
0.00801545,9.0,-0.00087103948,9.0,-0.00096408481
0.01124335,10.0,-0.0008733769699999998,10.0,-0.0009722899900000002
0.01577115,11.0,-0.0008750492199999999,11.0,-0.0009854932699999998
0.02212235,12.0,-0.0008759625,12.0,-0.00099643971
0.03103125,13.0,-0.0008758898699999999,13.0,-0.0010060660000000001
0.04352785,14.0,-0.0008744898599999999,14.0,-0.0010184261999999999
0.061057,15.0,-0.0008554404099999999,15.0,-0.0010402924
0.0856453,16.0,-0.00073550164,16.0,-0.0010282052
0.1201355,17.0,-0.00039412067999999997,17.0,-0.0008905784
0.1685155,18.0,0.00027962092,18.0,-0.00054333165
0.2363785,19.0,0.0014517482999999998,19.0,0.00011836747999999999
0.3315485,20.0,0.0033457941999999997,20.0,0.0012355514
0.4651,21.0,0.0062553719999999995,21.0,0.0030353960999999997
0.6524,22.0,0.010061282,22.0,0.005607310799999999
0.9151,23.0,0.011463457,23.0,0.006713243000000001
1.28365,24.0,0.0095972774,24.0,0.0056498658
1.8006,25.0,0.0069231784,25.0,0.0040045073
2.5257,26.0,0.0041584434000000005,26.0,0.0022519534
3.5428,27.0,0.002057527,27.0,0.00089424035
4.96955,28.0,0.00062245919,28.0,-4.5852803000000004e-05
6.97085,29.0,-0.00031698542,29.0,-0.0006735118400000001
9.7781,30.0,-0.0008967450999999999,30.0,-0.0010683835
13.71585,31.0,-0.0012217571,31.0,-0.0012901552000000001
19.23935,32.0,-0.0013713862,32.0,-0.0013853520999999999
26.98725,33.0,-0.0014036506,33.0,-0.0013808313
37.8553,34.0,-0.0013583479,34.0,-0.0012902647
53.10005,35.0,-0.0012148471,35.0,-0.0011635985
73.8875,36.0,-0.00098397119,36.0,-0.0010059317
97.6625,37.0,-0.00085319759,37.0,-0.00090427183
121.4375,38.0,-0.00097812789,38.0,-0.0010176836
145.2125,39.0,-0.0012560817,39.0,-0.0012431103999999999
168.9875,40.0,-0.0015075384,40.0,-0.0014331662
192.7625,41.0,-0.0017161877,41.0,-0.0016256507
216.5375,42.0,-0.0018707269,42.0,-0.0018236526999999998
240.3125,43.0,-0.0019610054999999998,43.0,-0.0019512567000000002
264.0875,44.0,-0.0019812176999999998,44.0,-0.0019904867000000003
287.8625,45.0,-0.0019261898,45.0,-0.0019500914999999999
311.6375,46.0,-0.0017917307,46.0,-0.0018354089999999999
335.4125,47.0,-0.0015746325,47.0,-0.0016207296
359.1875,48.0,-0.0012724201,48.0,-0.0013360581
382.9625,49.0,-0.0008829364300000001,49.0,-0.0009738205699999999
406.7375,50.0,-0.0004049907,50.0,-0.00051996449
430.5125,51.0,0.00016202344,51.0,2.2101792e-05
454.2875,52.0,0.00081885787,52.0,0.00065006693
478.0625,53.0,0.00156594,53.0,0.0013714564000000002
501.8375,54.0,0.0024037128,54.0,0.0021918138
525.6125,55.0,0.0033323754,55.0,0.0030787973
549.3875,56.0,0.0043517969,56.0,0.0040606353000000005
573.1625,57.0,0.0054619898,57.0,0.0051408399
596.9375,58.0,0.0066624653,58.0,0.0063217032
620.7125,59.0,0.0079491187,59.0,0.0076029368000000005
644.4875,60.0,0.0093139339,60.0,0.008942359
668.2625,61.0,0.010731586000000001,61.0,0.010318739
692.0375,62.0,0.012141174,62.0,0.011706526
715.8125,63.0,0.013454975,63.0,0.013030628
739.5875,64.0,0.014629221999999999,64.0,0.014253623
763.3625,65.0,0.015719681,65.0,0.015419573
787.1375,66.0,0.016840841000000002,66.0,0.016624728000000002
810.9125,67.0,0.018093186,67.0,0.017914193000000002
834.6875,68.0,0.019518468,68.0,0.019340283
858.4625,69.0,0.02109726,69.0,0.020902545
882.2375,70.0,0.022790348999999998,70.0,0.022568646
906.0125,71.0,0.024570155,71.0,0.024311633
929.7875,72.0,0.026423053,72.0,0.026117815
953.5625,73.0,0.028339562999999998,73.0,0.027983045
977.3375,74.0,0.030320512,74.0,0.029917832999999998
1001.1125,75.0,0.032369392999999996,75.0,0.031871296
