,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-5.3206073,0.0,-5.3206073,11,-5.2421203,8.3814539e-09,-5.2421203
0.0006244,2,-5.320612799999999,1.8861375e-05,-5.3205939,11,-5.2421273,3.8702449000000005e-05,-5.2420886
0.0008759,3,-5.3206153,2.1882674999999998e-05,-5.3205934,11,-5.2421307,4.3412657e-05,-5.2420873
0.0012286,4,-5.320618700000001,2.5845305e-05,-5.3205928,11,-5.2421351,4.8074118e-05,-5.2420871
0.0017234,5,-5.3206231,3.0808454e-05,-5.3205922999999995,11,-5.2421408,5.3091691e-05,-5.2420877
0.0024174,6,-5.3206291,3.6951336e-05,-5.3205921,11,-5.2421484000000005,5.8894665e-05,-5.2420895
0.0033909,7,-5.3206370000000005,4.4526031999999994e-05,-5.3205925,11,-5.2421583,6.6344926e-05,-5.2420919
0.0047565,8,-5.3206478,5.3794791e-05,-5.320594,11,-5.242171599999999,7.6092025e-05,-5.2420955000000005
0.006672,9,-5.320662400000001,6.4994094e-05,-5.3205974000000005,11,-5.2421893,8.9419544e-05,-5.2420999
0.0093589,10,-5.3206826,7.8352028e-05,-5.320604299999999,11,-5.242213700000001,0.00010743063999999998,-5.2421063
0.0131278,11,-5.3207108,9.4099288e-05,-5.3206167,11,-5.2422474,0.0001322006,-5.2421152
0.0184145,12,-5.3207507000000005,0.00011252988000000001,-5.3206382,11,-5.2422951,0.00016571938000000002,-5.2421294000000005
0.0258302,13,-5.3208082999999995,0.00013408628,-5.3206742,11,-5.2423644,0.00021026671000000003,-5.2421541
0.0362323,14,-5.3208937999999995,0.00015944381000000001,-5.3207343,11,-5.2424684,0.00026816859,-5.2422002
0.0508234,15,-5.321031700000001,0.00018993211,-5.3208417,11,-5.2426373,0.00034056927000000004,-5.242296700000001
0.0712906,16,-5.321271,0.00024017879,-5.3210309,11,-5.2429237,0.0004441877,-5.2424795
0.1,17,-5.3216765,0.00036061625,-5.321315900000001,11,-5.2433846,0.00064675322,-5.2427379
0.140271,18,-5.3223237,0.00063181079,-5.3216919,11,-5.2440777999999995,0.0010637315,-5.2430141
