,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-5.3206073,0.0,-5.3206073,11,-2.7623375,8.3814539e-09,-2.7623375
0.0006244,2,-5.320612799999999,1.8861375e-05,-5.3205939,11,-2.7623444999999998,3.8702449000000005e-05,-2.7623057999999996
0.0008759,3,-5.3206153,2.1882674999999998e-05,-5.3205934,11,-2.7623479,4.3412657e-05,-2.7623045
0.0012286,4,-5.320618700000001,2.5845305e-05,-5.3205928,11,-2.7623523,4.8074118e-05,-2.7623042
0.0017234,5,-5.3206231,3.0808454e-05,-5.3205922999999995,11,-2.7623580000000003,5.3091691e-05,-2.7623048999999997
0.0024174,6,-5.3206291,3.6951336e-05,-5.3205921,11,-2.7623656000000003,5.8894665e-05,-2.7623067000000003
0.0033909,7,-5.3206370000000005,4.4526031999999994e-05,-5.3205925,11,-2.7623754000000003,6.6344926e-05,-2.7623091
0.0047565,8,-5.3206478,5.3794791e-05,-5.320594,11,-2.7623887000000003,7.6092025e-05,-2.7623126
0.006672,9,-5.320662400000001,6.4994094e-05,-5.3205974000000005,11,-2.7624065,8.9419544e-05,-2.762317
0.0093589,10,-5.3206826,7.8352028e-05,-5.320604299999999,11,-2.7624307999999997,0.00010743063999999998,-2.7623234
0.0131278,11,-5.3207108,9.4099288e-05,-5.3206167,11,-2.7624645,0.0001322006,-2.7623322999999997
0.0184145,12,-5.3207507000000005,0.00011252988000000001,-5.3206382,11,-2.7625122,0.00016571938000000002,-2.7623465
0.0258302,13,-5.3208082999999995,0.00013408628,-5.3206742,11,-2.7625815,0.00021026671000000003,-2.7623712000000005
0.0362323,14,-5.3208937999999995,0.00015944381000000001,-5.3207343,11,-2.7626854,0.00026816859,-2.7624173
0.0508234,15,-5.321031700000001,0.00018993211,-5.3208417,11,-2.7628542,0.00034056927000000004,-2.7625137000000004
0.0712906,16,-5.321271,0.00024017879,-5.3210309,11,-2.7631406000000003,0.0004441877,-2.7626964
0.1,17,-5.3216765,0.00036061625,-5.321315900000001,11,-2.7636013999999998,0.00064675322,-2.7629546
