,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-20.065562,0.0,-20.065562,11,-16.762076,4.579188400000001e-08,-16.762076
0.0006244,2,-20.065621,9.574319799999999e-05,-20.065525,11,-16.762126000000002,7.2383234e-05,-16.762054
0.0008759,3,-20.065645,0.00013540729,-20.06551,11,-16.762145999999998,0.00010283857,-16.762043
0.0012286,4,-20.065678,0.00019635266999999999,-20.065481,11,-16.762173999999998,0.00014977253999999999,-16.762024
0.0017234,5,-20.065722,0.00028956174,-20.065432,11,-16.762210999999997,0.00022192900000000002,-16.761989
0.0024174,6,-20.06578,0.00043099634000000006,-20.065348999999998,11,-16.76226,0.00033235387,-16.761928
0.0033909,7,-20.065858,0.00064363492,-20.065215,11,-16.762325,0.00050045717,-16.761825
0.0047565,8,-20.06596,0.00095959095,-20.065,11,-16.762411,0.00075611667,-16.761654999999998
0.006672,9,-20.06609,0.0014222523,-20.064668,11,-16.762522,0.0011426786999999999,-16.761379
0.0093589,10,-20.066254,0.0020880605,-20.064166,11,-16.762660999999998,0.0017199298,-16.760941
0.0131278,11,-20.066457,0.0030264053000000003,-20.06343,11,-16.762832999999997,0.0025675419,-16.760265
0.0184145,12,-20.066699,0.0043170042,-20.062382,11,-16.763036,0.0037846333,-16.759252
0.0258302,13,-20.066975,0.006044101,-20.060931,11,-16.763265,0.0054807426000000005,-16.757784
0.0362323,14,-20.067264,0.0082884239,-20.058976,11,-16.763498000000002,0.007750500400000001,-16.755748
0.0508234,15,-20.067538,0.011081855,-20.056456,11,-16.763711999999998,0.01059929,-16.753113
0.0712906,16,-20.067797,0.014389553999999999,-20.053407,11,-16.763901999999998,0.013886625,-16.750014999999998
0.1,17,-20.068033,0.018226108,-20.049807,11,-16.764053,0.017435673999999998,-16.746617
0.140271,18,-20.068193,0.022717111,-20.045476,11,-16.764111,0.021215632,-16.742895
0.19676,19,-20.068174,0.028089376,-20.040085,11,-16.763977,0.025506357,-16.73847
0.275997,20,-20.06778,0.03471814,-20.033062,11,-16.76347,0.030960236000000002,-16.73251
