,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.62798606,1,0.35019467
0.00075015,2,0.61785902,2,0.35703458
0.00105225,3,0.63449679,3,0.37702341
0.001476,4,0.64736807,4,0.39651243
0.0020704,5,0.6543327,5,0.41505792
0.00290415,6,0.65390476,6,0.43138875
0.0040737,7,0.64428737,7,0.44501225
0.00571425,8,0.62341818,8,0.45402554
0.00801545,9,0.58955429,9,0.45626097
0.01124335,10,0.5409869,10,0.44930883
0.01577115,11,0.47668007,11,0.42892119
0.02212235,12,0.39616354,12,0.39059994
0.03103125,13,0.29838413,13,0.32763924
0.04352785,14,0.18546487,14,0.24011303
0.061057,15,0.1348792,15,0.19598465
0.0856453,16,0.18000467,16,0.22977823
0.1201355,17,0.24021178,17,0.26754442
0.1685155,18,0.28052948,18,0.26893585
0.2363785,19,0.32086595,19,0.26881725
0.3315485,20,0.38342185,20,0.3165234
0.4651,21,0.50142063,21,0.44955207
0.6524,22,0.69676128,22,0.6736639
0.9151,23,0.73028566,23,0.731544
1.28365,24,0.6178731,24,0.62838777
1.8006,25,0.5125978,25,0.52407515
2.5257,26,0.39936479,26,0.41477116
3.5428,27,0.31276539,27,0.33450838
4.96955,28,0.24784671,28,0.26708389
6.97085,29,0.19525831,29,0.20760328
9.7781,30,0.15142123,30,0.15453593
13.71585,31,0.11467794,31,0.11040032
19.23935,32,0.084403546,32,0.073920106
26.98725,33,0.060437607000000004,33,0.051443076
37.8553,34,0.043221681,34,0.041954772
53.10005,35,0.018872188999999998,35,0.021591432
73.8875,36,-0.009802952,36,-0.009128453199999999
97.6625,37,-0.0281443,37,-0.031301435
121.4375,38,-0.026371693999999998,38,-0.031406566000000004
145.2125,39,-0.0112655,39,-0.016247033
168.9875,40,-0.001648578,40,-0.0054503293999999996
192.7625,41,0.007681148100000001,41,0.0044298706
216.5375,42,0.016945031,42,0.013101222
240.3125,43,0.026053974,43,0.021023506
264.0875,44,0.034908609,44,0.028496211
287.8625,45,0.043415683,45,0.035885789
311.6375,46,0.051489432,46,0.043301554000000006
335.4125,47,0.059065299,47,0.050791375
359.1875,48,0.066097392,48,0.058617882999999996
382.9625,49,0.072548097,49,0.066378953
406.7375,50,0.078422095,50,0.074022104
430.5125,51,0.083755107,51,0.081417143
454.2875,52,0.088583231,52,0.088262164
478.0625,53,0.09294869300000001,53,0.09477511400000001
501.8375,54,0.09692124699999999,54,0.1003692
525.6125,55,0.10058904,55,0.10555896
549.3875,56,0.10404367,56,0.10997822
573.1625,57,0.1074178,57,0.11422698
596.9375,58,0.11089187,58,0.11814475
620.7125,59,0.11465412,59,0.1221087
644.4875,60,0.11894852,60,0.12630721
668.2625,61,0.12360676,61,0.13064144
692.0375,62,0.12719878,62,0.13380192
715.8125,63,0.1269608,63,0.13294209
739.5875,64,0.12168021,64,0.12726483
763.3625,65,0.11370673,65,0.11880679
787.1375,66,0.1067428,66,0.11142109
810.9125,67,0.10335499,67,0.10761495
834.6875,68,0.10398266,68,0.10822944
858.4625,69,0.1072334,69,0.11161633
882.2375,70,0.11176437,70,0.11659516
906.0125,71,0.11715162,71,0.1231024
929.7875,72,0.12371148,72,0.13088448
953.5625,73,0.13230355,73,0.1408022
977.3375,74,0.14508501,74,0.15514634
1001.1125,75,0.17402628,75,0.18419833
