,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,0.62798606,1,0.35040237
0.00075015,2,0.61785902,2,0.35724518
0.00105225,3,0.63449679,3,0.37723989
0.001476,4,0.64736807,4,0.39673489
0.0020704,5,0.6543327,5,0.41528637
0.00290415,6,0.65390476,6,0.4316232
0.0040737,7,0.64428737,7,0.44525271
0.00571425,8,0.62341818,8,0.45427203
0.00801545,9,0.58955429,9,0.45651349
0.01124335,10,0.5409869,10,0.44956897
0.01577115,11,0.47668007,11,0.42919208
0.02212235,12,0.39616354,12,0.3908814
0.03103125,13,0.29838413,13,0.32793132
0.04352785,14,0.18546487,14,0.2404179
0.061057,15,0.1348792,15,0.19633343
0.0856453,16,0.18000467,16,0.23022836
0.1201355,17,0.24021178,17,0.26814619
0.1685155,18,0.28052948,18,0.26973614
0.2363785,19,0.32086595,19,0.26987696
0.3315485,20,0.38342185,20,0.31792128
0.4651,21,0.50142063,21,0.45145403
0.6524,22,0.69676128,22,0.67630815
0.9151,23,0.73028566,23,0.73457181
1.28365,24,0.6178731,24,0.63133016
1.8006,25,0.5125978,25,0.52680387
2.5257,26,0.39936479,26,0.41723262
3.5428,27,0.31276539,27,0.3367676
4.96955,28,0.24784671,28,0.2692298
6.97085,29,0.19525831,29,0.20971938
9.7781,30,0.15142123,30,0.15668349
13.71585,31,0.11467794,31,0.1126428
19.23935,32,0.084403546,32,0.076300027
26.98725,33,0.060437607000000004,33,0.053997137
37.8553,34,0.043221681,34,0.044681705
53.10005,35,0.018872188999999998,35,0.024462765
73.8875,36,-0.009802952,36,-0.0061535446
97.6625,37,-0.0281443,37,-0.02805781
121.4375,38,-0.026371693999999998,38,-0.027191172000000003
145.2125,39,-0.0112655,39,-0.010366704000000001
168.9875,40,-0.001648578,40,0.0023478092000000002
192.7625,41,0.007681148100000001,41,0.014544838000000001
216.5375,42,0.016945031,42,0.026118391
240.3125,43,0.026053974,43,0.037430033
264.0875,44,0.034908609,44,0.048958978
287.8625,45,0.043415683,45,0.061543192000000004
311.6375,46,0.051489432,46,0.28905164
335.4125,47,0.059065299,47,0.26339646
359.1875,48,0.066097392,48,0.05745200599999999
382.9625,49,0.072548097,49,0.09372873400000001
406.7375,50,0.078422095,50,0.07805811900000001
430.5125,51,0.083755107,51,0.84084794
454.2875,52,0.088583231,52,-0.47259607
478.0625,53,0.09294869300000001,53,0.0033743437
501.8375,54,0.09692124699999999,54,0.014987931000000001
525.6125,55,0.10058904,55,0.025254701
549.3875,56,0.10404367,56,0.034440156
573.1625,57,0.1074178,57,0.043395122
596.9375,58,0.11089187,58,0.052008294000000004
620.7125,59,0.11465412,59,0.060635673
644.4875,60,0.11894852,60,0.069479049
668.2625,61,0.12360676,61,0.078409835
692.0375,62,0.12719878,62,0.08611491199999999
715.8125,63,0.1269608,63,0.089810575
739.5875,64,0.12168021,64,0.08876155699999999
763.3625,65,0.11370673,65,0.08511312300000001
787.1375,66,0.1067428,66,0.083163955
810.9125,67,0.10335499,67,0.6500336
834.6875,68,0.10398266,68,0.077903481
858.4625,69,0.1072334,69,0.066144102
882.2375,70,0.11176437,70,0.30040769
906.0125,71,0.11715162,71,0.077038304
929.7875,72,0.12371148,72,0.09087552199999999
953.5625,73,0.13230355,73,0.10545346
977.3375,74,0.14508501,74,0.12382021
1001.1125,75,0.17402628,75,0.1566952
