,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-25.564214,0.0,-25.564214,11,-18.880249,2.2335138e-09,-18.880249
0.0006244,2,-25.564235,6.770850900000001e-05,-25.564167,11,-18.880271,4.8237128e-05,-18.880223
0.0008759,3,-25.564244,9.462804200000001e-05,-25.564149,11,-18.88028,6.7820623e-05,-18.880212
0.0012286,4,-25.564255,0.00013276917,-25.564122,11,-18.880292999999998,9.5902565e-05,-18.880197
0.0017234,5,-25.564270999999998,0.00018660227999999998,-25.564084,11,-18.880309,0.00013613712,-18.880173000000003
0.0024174,6,-25.564293,0.00026209731,-25.564031,11,-18.880333,0.00019366824,-18.880139
0.0033909,7,-25.564322,0.00036718339999999996,-25.563955,11,-18.880365,0.00027570269,-18.880089
0.0047565,8,-25.564363,0.0005120581099999999,-25.563851,11,-18.88041,0.00039226699,-18.880017000000002
0.006672,9,-25.564419,0.0007093884299999999,-25.56371,11,-18.880471,0.00055700933,-18.879914000000003
0.0093589,10,-25.564496,0.0009742177499999999,-25.563522,11,-18.880557,0.00078811985,-18.879769
0.0131278,11,-25.564604,0.0013232642,-25.56328,11,-18.880677,0.0011091805,-18.879568
0.0184145,12,-25.564754999999998,0.0017735129000000002,-25.562982,11,-18.880848,0.0015490489000000002,-18.879299
0.0258302,13,-25.564974,0.0023400253,-25.562634,11,-18.881096,0.0021397914,-18.878956
0.0362323,14,-25.5653,0.0030335585999999998,-25.562266,11,-18.881463,0.0029114003000000003,-18.878552
0.0508234,15,-25.565813000000002,0.0038675308000000004,-25.561946,11,-18.882026999999997,0.0038904214,-18.878135999999998
0.0712906,16,-25.5666,0.0049809898,-25.561619,11,-18.882864,0.0052032611,-18.877660000000002
0.1,17,-25.567693,0.0066866281000000005,-25.561006,11,-18.884005,0.0071272895,-18.876877
0.140271,18,-25.569123,0.0092619759,-25.559860999999998,11,-18.88547,0.0098718347,-18.875598
0.19676,19,-25.570934,0.012950178,-25.557983,11,-18.88729,0.013497627,-18.873793
0.275997,20,-25.57312,0.018147841,-25.554972,11,-18.889446,0.018186175,-18.871259
