,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.0011697251,1,-0.0005338402400000001
0.00075015,2,-0.0011704728,2,-0.00054809144
0.00105225,3,-0.0011710636,3,-0.00051309849
0.001476,4,-0.001170571,4,-0.0004983728700000001
0.0020704,5,-0.0011689942,5,-0.00048759804000000006
0.00290415,6,-0.0011662203,6,-0.00047336169999999996
0.0040737,7,-0.0011622739,7,-0.00045977679000000005
0.00571425,8,-0.0011570957000000002,8,-0.00044329457
0.00801545,9,-0.0011503706,9,-0.00042692113
0.01124335,10,-0.0011427244,10,-0.00040928803
0.01577115,11,-0.0011332737,11,-0.0003927581
0.02212235,12,-0.0011227179,12,-0.00037419232000000005
0.03103125,13,-0.0011108632,13,-0.00035316733
0.04352785,14,-0.0010959114,14,-0.00033115517
0.061057,15,-0.001038218,15,-0.00025053803
0.0856453,16,-0.00077174322,16,6.5834224e-05
0.1201355,17,-1.0525146e-05,17,0.0008252708099999999
0.1685155,18,0.0014654667000000001,18,0.0021484279
0.2363785,19,0.0040168242,19,0.0042794741
0.3315485,20,0.0081447658,20,0.0075609018
0.4651,21,0.014507171999999999,21,0.012564573
0.6524,22,0.023918346,22,0.020614464
0.9151,23,0.03399237,23,0.029247127999999997
1.28365,24,0.033934879,24,0.029722983999999997
1.8006,25,0.024436824,25,0.022746121
2.5257,26,0.015515029,26,0.015760715
3.5428,27,0.009098925899999999,27,0.010348395
4.96955,28,0.0048389404,28,0.0064908328000000005
6.97085,29,0.002189311,29,0.0038717572999999996
9.7781,30,0.00055752457,30,0.0021005795
13.71585,31,-0.00048585562999999997,31,0.00085750174
19.23935,32,-0.0011280253,32,2.1103264e-05
26.98725,33,-0.0014648165,33,-0.00046516004999999996
37.8553,34,-0.0016528948,34,-0.0007403474099999999
53.10005,35,-0.0018008542,35,-0.0009279993199999999
73.8875,36,-0.0019243649,36,-0.0010568935000000001
97.6625,37,-0.0020329536,37,-0.0011245458999999999
121.4375,38,-0.0021411946,38,-0.0011484084
145.2125,39,-0.0022437543,39,-0.0011395249000000001
168.9875,40,-0.0023575118,40,-0.0011408511999999999
192.7625,41,-0.0025149688,41,-0.0010816909
216.5375,42,-0.0026506112,42,-0.0009479121000000001
240.3125,43,-0.0026840731,43,-0.00065316148
264.0875,44,-0.0026011385,44,-0.00020190589
287.8625,45,-0.0023966871,45,0.00040405207999999996
311.6375,46,-0.0020666448999999997,46,0.28806281
335.4125,47,-0.0016082948000000002,47,0.09614274800000001
359.1875,48,-0.0010203182000000002,48,0.0008606094900000001
382.9625,49,-0.00030336295,49,-0.068514217
406.7375,50,0.00053881242,50,0.0022341543
430.5125,51,0.0014971909,51,0.91800985
454.2875,52,0.002560281,52,-1.2404883
478.0625,53,0.0037179512,53,-0.0026066217
501.8375,54,0.004965710900000001,54,-0.0016733042
525.6125,55,0.0063048544,55,-0.00061153178
549.3875,56,0.0077385765,56,0.0005509319799999999
573.1625,57,0.0092691504,57,0.0018252695000000002
596.9375,58,0.01089827,58,0.0032195479
620.7125,59,0.012626785,59,0.0047392873
644.4875,60,0.014454833,60,0.0063603076
668.2625,61,0.016380895,61,0.0080778178
692.0375,62,0.018405006,62,0.0099092538
715.8125,63,0.020527878,63,0.011864007
739.5875,64,0.022747275,64,0.01393502
763.3625,65,0.02505579,65,0.016114137
787.1375,66,0.027431714,66,0.018390369
810.9125,67,0.029824708,67,1.8753433999999998
834.6875,68,0.032146345,68,0.26192157
858.4625,69,0.03430541,69,0.019541698
882.2375,70,0.03627478,70,1.1638051
906.0125,71,0.038106596,71,0.13166377
929.7875,72,0.039878292,72,0.13838812
953.5625,73,0.041644433,73,0.14482882
977.3375,74,0.043435854,74,0.15118141
1001.1125,75,0.045271671,75,0.15745379
