,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,i,flug,fldg,fnetg
pressure,level,,,,,,,
0.0,1,-32.719328000000004,0.0,-32.719328000000004,11,-32.727771000000004,1.2330441e-07,-32.727771000000004
0.0006244,2,-32.719328000000004,6.9260789e-08,-32.719328000000004,11,-32.727771000000004,1.7712058e-07,-32.727771000000004
0.0008759,3,-32.719328000000004,9.9835207e-08,-32.719328000000004,11,-32.727771000000004,2.05262e-07,-32.727771000000004
0.0012286,4,-32.719328000000004,1.5136742000000002e-07,-32.719328000000004,11,-32.727771000000004,2.5398319000000003e-07,-32.727771000000004
0.0017234,5,-32.719328000000004,2.3826486e-07,-32.719328000000004,11,-32.727771000000004,3.2874947e-07,-32.727771000000004
0.0024174,6,-32.719328000000004,3.8442535e-07,-32.719328000000004,11,-32.727771000000004,4.4518144e-07,-32.727771000000004
0.0033909,7,-32.719328000000004,6.2973923e-07,-32.719328000000004,11,-32.727771000000004,6.2825868e-07,-32.727771000000004
0.0047565,8,-32.719328999999995,1.040506e-06,-32.719328000000004,11,-32.727771999999995,9.310296700000001e-07,-32.727771000000004
0.006672,9,-32.719328999999995,1.7265673e-06,-32.719327,11,-32.727771999999995,1.4425512e-06,-32.72777
0.0093589,10,-32.719328999999995,2.8699485e-06,-32.719326,11,-32.727771999999995,2.2987994e-06,-32.72777
0.0131278,11,-32.719328999999995,4.7713995e-06,-32.719325,11,-32.727771999999995,3.7181700000000003e-06,-32.727769
0.0184145,12,-32.71933,7.9268933e-06,-32.719322,11,-32.727773,6.0587938e-06,-32.727767
0.0258302,13,-32.71933,1.3152503999999999e-05,-32.719317,11,-32.727773,9.910381199999999e-06,-32.727763
0.0362323,14,-32.719328999999995,2.1782184000000003e-05,-32.719308000000005,11,-32.727774,1.6232161e-05,-32.727757000000004
0.0508234,15,-32.719328000000004,3.5727676e-05,-32.719291999999996,11,-32.727773,2.6400511000000003e-05,-32.727746999999994
0.0712906,16,-32.719325,5.7476974e-05,-32.719268,11,-32.727773,4.2261653999999996e-05,-32.72773
0.1,17,-32.71932,9.082984e-05,-32.719229,11,-32.72777,6.6642906e-05,-32.727703999999996
