,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.0014596435999999998,1,-0.001058706
0.00075015,2,-0.0014628103,2,-0.0010503622
0.00105225,3,-0.0014686362,3,-0.0010666089
0.001476,4,-0.0014737452,4,-0.0010701487
0.0020704,5,-0.001477814,5,-0.0010701203999999998
0.00290415,6,-0.0014807141,6,-0.0010694408000000001
0.0040737,7,-0.0014823567999999998,7,-0.0010671429
0.00571425,8,-0.0014827588,8,-0.0010635541
0.00801545,9,-0.0014820745,9,-0.0010588127000000001
0.01124335,10,-0.0014801885999999999,10,-0.0010552126
0.01577115,11,-0.0014771023999999998,11,-0.0010556127
0.02212235,12,-0.0014725810000000002,12,-0.0010529174000000001
0.03103125,13,-0.0014667919,13,-0.0010470389
0.04352785,14,-0.0014594682,14,-0.0010360851
0.061057,15,-0.0014247176999999998,15,-0.00099834627
0.0856453,16,-0.0012112923,16,-0.00082463118
0.1201355,17,-0.00051680769,17,-0.00029085327999999995
0.1685155,18,0.0009208713300000001,18,0.00079048113
0.2363785,19,0.0034975155,19,0.0026859661999999998
0.3315485,20,0.0077760301,20,0.0057780378
0.4651,21,0.014507578,21,0.010671091
0.6524,22,0.024649646,22,0.018644538000000002
0.9151,23,0.035664873,23,0.027467136
1.28365,24,0.035565765,24,0.02795564
1.8006,25,0.02516127,25,0.020669157
2.5257,26,0.015605943,26,0.013496508999999999
3.5428,27,0.0089181952,27,0.0080683241
4.96955,28,0.004606806,28,0.0042920343
6.97085,29,0.0020092867,29,0.0017932651
9.7781,30,0.00045359729000000006,30,0.00015001018
13.71585,31,-0.00052960812,31,-0.0009619988499999999
19.23935,32,-0.0011390760000000002,32,-0.0016724810999999998
26.98725,33,-0.0014657988,33,-0.0020821762
37.8553,34,-0.0016633527,34,-0.0023413087
53.10005,35,-0.0018402566,35,-0.0025316017000000003
73.8875,36,-0.0020072192000000003,36,-0.0026721365999999996
97.6625,37,-0.0021636722,37,-0.0027935318
121.4375,38,-0.0023198629,38,-0.0028853113
145.2125,39,-0.0024698748,39,-0.0028940457000000003
168.9875,40,-0.0026343193,40,-0.0029807221000000004
192.7625,41,-0.0028599826000000003,41,-0.0031437057
216.5375,42,-0.0030862564,42,-0.0034925952000000003
240.3125,43,-0.0032225573999999997,43,-0.0037383616999999997
264.0875,44,-0.0032504723,44,-0.003840164
287.8625,45,-0.0031631769,45,-0.0038017179
311.6375,46,-0.0029548751,46,-0.0036367965
335.4125,47,-0.0026211967,47,-0.0032854788
359.1875,48,-0.0021593038,48,-0.0028187278000000003
382.9625,49,-0.0015683454999999998,49,-0.0022245894
406.7375,50,-0.0008503712699999999,50,-0.0014783739000000001
430.5125,51,-1.3579313e-05,51,-0.00059310327
454.2875,52,0.0009310588900000001,52,0.00040659263
478.0625,53,0.0019737621,53,0.0015297563
501.8375,54,0.0031107785,54,0.002772507
525.6125,55,0.0043442735,55,0.0040935924
549.3875,56,0.0056784897999999995,56,0.005532312199999999
573.1625,57,0.0071167378,57,0.0070974488
596.9375,58,0.0086615412,58,0.0087950915
620.7125,59,0.010314895,59,0.010628856
644.4875,60,0.012077863000000001,60,0.012549956000000001
668.2625,61,0.013950216000000001,61,0.01456098
692.0375,62,0.015933441,62,0.016695506000000002
715.8125,63,0.018029587,63,0.018965974
739.5875,64,0.020237308,64,0.021361232999999997
763.3625,65,0.022550111,65,0.023870142999999996
787.1375,66,0.024945941,66,0.026480716
810.9125,67,0.027371074,67,0.029072352000000003
834.6875,68,0.029728312000000003,68,0.031581178
858.4625,69,0.03191699,69,0.033952259
882.2375,70,0.033906511,70,0.036136337000000004
906.0125,71,0.035756546,71,0.038189341
929.7875,72,0.037553922999999996,72,0.040184158
953.5625,73,0.039362032000000005,73,0.042163495
977.3375,74,0.04121748,74,0.044176069000000005
1001.1125,75,0.043146334,75,0.046221318
