,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-0.00025684434,1,8.0939079e-05
0.00075015,2,-0.00019682863999999998,2,0.00019838896
0.00105225,3,-4.269786e-05,3,0.00025893799
0.001476,4,0.00016643712,4,0.00043386825999999995
0.0020704,5,0.0004406279599999999,5,0.00064927764
0.00290415,6,0.00079384831,6,0.00090847727
0.0040737,7,0.0012422732,7,0.0012675783
0.00571425,8,0.0018047063,8,0.0017429203
0.00801545,9,0.0025035684,9,0.0023187714
0.01124335,10,0.0033641241999999997,10,0.0030022265999999995
0.01577115,11,0.0044164216,11,0.0038153129
0.02212235,12,0.0056960504,12,0.0047875075
0.03103125,13,0.007227645,13,0.0059398386
0.04352785,14,0.0088257832,14,0.0071348222
0.061057,15,0.010223023000000001,15,0.0081992736
0.0856453,16,0.011554377,16,0.0092241758
0.1201355,17,0.012998232,17,0.010326090999999999
0.1685155,18,0.014567958999999998,18,0.011490004
0.2363785,19,0.016268372,19,0.012706415
0.3315485,20,0.018107676,20,0.01398533
0.4651,21,0.019875299,21,0.015330898
0.6524,22,0.018134825,22,0.014452451000000002
0.9151,23,0.012703251,23,0.010665688000000001
1.28365,24,0.0079155749,24,0.0070857357999999995
1.8006,25,0.0046784541,25,0.0045296376
2.5257,26,0.0025484179999999998,26,0.0027644681
3.5428,27,0.0011943722999999999,27,0.0015681768
4.96955,28,0.00045417807,28,0.00086573066
6.97085,29,0.00010531663999999998,29,0.0004955556299999999
9.7781,30,-9.3117171e-05,30,0.00026262097
13.71585,31,-0.00023603577999999997,31,8.568952e-05
19.23935,32,-0.00033875065,32,-4.1997951999999995e-05
26.98725,33,-0.00038211811,33,-9.5181156e-05
37.8553,34,-0.00038303922999999995,34,-8.66476e-05
53.10005,35,-0.00038942684,35,-6.708473699999999e-05
73.8875,36,-0.00041421574000000003,36,-3.976696e-05
97.6625,37,-0.00045730410999999995,37,-1.3224305e-05
121.4375,38,-0.0005245594,38,-1.2187789e-05
145.2125,39,-0.00060146174,39,-2.6686770999999997e-05
168.9875,40,-0.0006709284700000001,40,-3.8321129e-05
192.7625,41,-0.00073416728,41,-4.8188136999999995e-05
216.5375,42,-0.0007925742,42,-5.853761000000001e-05
240.3125,43,-0.0008471849400000001,43,-6.9197486e-05
264.0875,44,-0.0008985896000000001,44,-7.916584700000001e-05
287.8625,45,-0.00094145906,45,-7.8985438e-05
311.6375,46,-0.0009357872500000001,46,0.034313895
335.4125,47,-0.0008379523900000001,47,-0.028949278
359.1875,48,-0.00065318444,48,-5.2637263000000004e-05
382.9625,49,-0.00040330480000000006,49,-0.021517454
406.7375,50,-8.9075727e-05,50,0.00043942419999999996
430.5125,51,0.0002909389,51,0.21478269
454.2875,52,0.00073748757,52,-0.24218972
478.0625,53,0.0012500502,53,-0.000460425
501.8375,54,0.0018262107999999998,54,-1.6604238e-05
525.6125,55,0.0024613592000000003,55,0.0004869011
549.3875,56,0.0031477821,56,0.0010418185
573.1625,57,0.0038748756,57,0.0016447795999999998
596.9375,58,0.0046293158000000004,58,0.0022881791
620.7125,59,0.0053961074,59,0.0029598999
644.4875,60,0.0061606291,60,0.0036316254
668.2625,61,0.006909743,61,0.0042866249
692.0375,62,0.0076366139,62,0.0049344836
715.8125,63,0.0083375892,63,0.005571979
739.5875,64,0.0090130857,64,0.0061983737
763.3625,65,0.0096651718,65,0.0068138958
787.1375,66,0.01029403,66,0.0074172108999999995
810.9125,67,0.010892002,67,0.53582149
834.6875,68,0.011429031000000001,68,0.12936296
858.4625,69,0.011832355,69,0.0073779606000000005
882.2375,70,0.011993813,70,0.48001816
906.0125,71,0.011848738999999999,71,0.046637817000000005
929.7875,72,0.01145039,72,0.044903229
953.5625,73,0.010917508999999999,73,0.042619093
977.3375,74,0.010342993,74,0.040077067
1001.1125,75,0.0097717705,75,0.037524754
