,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-33.718068,0.0,-33.718068,-33.719989,-5.3756045e-08,-33.719989
0.0006244,2,-33.718068,5.5523660999999996e-08,-33.718068,-33.719989,-1.0985711999999999e-08,-33.719989
0.0008759,3,-33.718068,7.837491900000001e-08,-33.718068,-33.719989,6.0957321e-09,-33.719989
0.0012286,4,-33.718068,1.1185974999999999e-07,-33.718068,-33.719989,3.0769317e-08,-33.719989
0.0017234,5,-33.718068,1.6097185999999996e-07,-33.718068,-33.719989,6.734572900000001e-08,-33.719989
0.0024174,6,-33.718068,2.329761e-07,-33.718068,-33.719989,1.213026e-07,-33.719989
0.0033909,7,-33.718068,3.3853551000000003e-07,-33.718068,-33.71999,2.0067379000000002e-07,-33.719989
0.0047565,8,-33.718069,4.9326701e-07,-33.718068,-33.71999,3.1712990999999997e-07,-33.71999
0.006672,9,-33.718069,7.2003066e-07,-33.718069,-33.71999,4.877209e-07,-33.71999
0.0093589,10,-33.718070000000004,1.0523159e-06,-33.718069,-33.719991,7.372154599999999e-07,-33.71999
0.0131278,11,-33.718071,1.5391471000000002e-06,-33.718070000000004,-33.719992,1.1027723999999999e-06,-33.719991
0.0184145,12,-33.718073,2.2523095e-06,-33.718071,-33.719993,1.6404695000000001e-06,-33.719992
0.0258302,13,-33.718075,3.2968743999999996e-06,-33.718072,-33.719995000000004,2.429806e-06,-33.719993
0.0362323,14,-33.718078000000006,4.8268664e-06,-33.718073,-33.719998,3.5864512000000003e-06,-33.719994
0.0508234,15,-33.718083,7.0940525000000005e-06,-33.718076,-33.720002,5.2975623e-06,-33.719997
0.0712906,16,-33.718090000000004,1.0934891e-05,-33.718078999999996,-33.720008,8.1822175e-06,-33.72
0.1,17,-33.7181,1.8718995e-05,-33.718082,-33.720017,1.3962924e-05,-33.720003000000005
0.140271,18,-33.718117,3.5274182999999995e-05,-33.718081,-33.720031,2.6118842e-05,-33.720005
0.19676,19,-33.718140000000005,7.0054933e-05,-33.718070000000004,-33.720052,5.1360803999999995e-05,-33.720001
0.275997,20,-33.71817,0.00014204066,-33.718028000000004,-33.720079999999996,0.000103099,-33.719977
0.3871,21,-33.718201,0.00028856746,-33.717912,-33.720113,0.00020780715,-33.719905
0.5431,22,-33.718208000000004,0.0005818292400000001,-33.717627,-33.720139,0.00042068663,-33.719719
0.7617,23,-33.718140000000005,0.0011363668,-33.717003999999996,-33.720132,0.00084280159,-33.719289
1.0685,24,-33.717985,0.0019627333,-33.716021999999995,-33.720092,0.0015058957000000002,-33.718586
1.4988,25,-33.717808000000005,0.0029361132000000002,-33.714872,-33.720079,0.0023410013,-33.717738
2.1024,26,-33.717665999999994,0.0039707894,-33.713695,-33.720146,0.0033018099,-33.716844
2.949,27,-33.717628999999995,0.0049706227,-33.712659,-33.720362,0.0043217478,-33.71604
4.1366,28,-33.717749,0.005906220699999999,-33.711843,-33.72078,0.0053709134,-33.715409
5.8025,29,-33.718076,0.0067800996,-33.711295,-33.721462,0.0064398839,-33.715022
8.1392,30,-33.718677,0.0076039971999999996,-33.711073,-33.722484,0.0075145462,-33.71497
11.417,31,-33.719642,0.0083971442,-33.711245,-33.723944,0.0085820331,-33.715362
16.0147,32,-33.721083,0.0091821686,-33.711901,-33.725962,0.0096285776,-33.716333
22.464,33,-33.723141,0.0099805593,-33.713159999999995,-33.728687,0.010644745,-33.718043
31.5105,34,-33.725984000000004,0.010807398999999999,-33.715177000000004,-33.732278,0.011621867,-33.720656
44.2001,35,-33.7298,0.011657793999999999,-33.718142,-33.736835,0.01254146,-33.724294
62.0,36,-33.734544,0.012386015,-33.722158,-33.742427,0.013326793,-33.7291
