,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,6.5381419,,
0.000312205,,,1.0,3.9303453999999998
0.00075015,2.0,5.0553775000000005,2.0,3.665455
0.00105225,3.0,4.528686,3.0,3.5325282
0.001476,4.0,3.9916086,4.0,3.3459388
0.0020704,5.0,3.4634162000000006,5.0,3.0941617000000003
0.00290415,6.0,2.9646877999999997,6.0,2.774866
0.0040737,7.0,2.5075385,7.0,2.3977802
0.00571425,8.0,2.0958845,8.0,1.9897759999999998
0.00801545,9.0,1.7291363000000002,9.0,1.5943905
0.01124335,10.0,1.4062493,10.0,1.2605022
0.01577115,11.0,1.126271,11.0,1.0164245
0.02212235,12.0,0.88674584,12.0,0.84626367
0.03103125,13.0,0.68259495,13.0,0.70679607
0.04352785,14.0,0.49851455,14.0,0.55350495
0.061057,15.0,0.36826347,15.0,0.41293154
0.0856453,16.0,0.34943146,16.0,0.35662996
0.1201355,17.0,0.37565316,17.0,0.34952059
0.1685155,18.0,0.38503003,18.0,0.3498924
0.2363785,19.0,0.39630185,19.0,0.37138014
0.3315485,20.0,0.41832268,20.0,0.40609155
0.4651,21.0,0.45700957,21.0,0.44569611
0.6524,22.0,0.52498741,22.0,0.51002734
0.9151,23.0,0.60690938,23.0,0.61082339
1.28365,24.0,0.61863814,24.0,0.66325687
1.8006,25.0,0.57093934,25.0,0.64282125
2.5257,26.0,0.52922506,26.0,0.58896963
3.5428,27.0,0.49401883,27.0,0.53422707
4.96955,28.0,0.46134404,28.0,0.46743162
6.97085,29.0,0.43271645,29.0,0.41887434
9.7781,30.0,0.40682452,30.0,0.39861337
13.71585,31.0,0.37851537,31.0,0.3747042
19.23935,32.0,0.34581014,32.0,0.33865288
26.98725,33.0,0.3181851,33.0,0.31920728
37.8553,34.0,0.29834124,34.0,0.30120341
53.10005,35.0,0.27527899,35.0,0.2720052
73.8875,36.0,0.24762511,36.0,0.23873424
97.6625,37.0,0.22876461,37.0,0.21043143
121.4375,38.0,0.2189338,38.0,0.19607396
145.2125,39.0,0.20193941,39.0,0.18107356
168.9875,40.0,0.19208324,40.0,0.17504434
192.7625,41.0,0.29810497,41.0,0.27978546
216.5375,42.0,0.71973921,42.0,0.69235889
240.3125,43.0,1.1428344,43.0,1.1212697
264.0875,44.0,1.3714548999999998,44.0,1.4259553999999999
287.8625,45.0,1.3671911,45.0,1.3836133999999998
311.6375,46.0,1.0900290000000001,46.0,1.1059245
335.4125,47.0,0.87402892,47.0,0.93062961
359.1875,48.0,0.72895597,48.0,0.7552331
382.9625,49.0,0.61012385,49.0,0.60518001
406.7375,50.0,0.50107549,50.0,0.50290441
430.5125,51.0,0.39769044,51.0,0.41648819
454.2875,52.0,0.29735075,52.0,0.31256812
478.0625,53.0,0.21269719,53.0,0.20927645
501.8375,54.0,0.14625326,54.0,0.12574244
525.6125,55.0,0.096575619,55.0,0.069743442
549.3875,56.0,0.061861337999999995,56.0,0.037727174
573.1625,57.0,0.039593794,57.0,0.022546381
596.9375,58.0,0.026239362999999998,58.0,0.015720916
620.7125,59.0,0.016981853,59.0,0.011279003000000001
644.4875,60.0,0.011297379,60.0,0.0084398751
668.2625,61.0,0.0082136955,61.0,0.0066432504
692.0375,62.0,0.0064872038,62.0,0.0055494878
715.8125,63.0,0.0056213224,63.0,0.0049939766
739.5875,64.0,0.0053742459,64.0,0.0049943612
763.3625,65.0,0.005880545,65.0,0.0056175522
787.1375,66.0,0.0076486611,66.0,0.0075257092
810.9125,67.0,0.010705313000000001,67.0,0.010601669
834.6875,68.0,0.013356035,68.0,0.013322923
858.4625,69.0,0.013149176,69.0,0.013129126999999999
882.2375,70.0,0.0099982063,70.0,0.0099858233
906.0125,71.0,0.006405519,71.0,0.006401721500000001
929.7875,72.0,0.0040357891,72.0,0.0040313481
953.5625,73.0,0.0027991096000000004,73.0,0.0028032404
977.3375,74.0,0.0021929414,74.0,0.0021940276
1001.1125,75.0,0.04435222,75.0,0.04433436599999999
