,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-7.2920487000000005,0.0,-7.2920487000000005,,,
1e-08,1,,,,-7.1608856,1.8428252e-09,-7.1608856
0.0006244,2,-7.292063799999999,5.197835200000001e-06,-7.2920586,-7.1609011,3.4413245e-06,-7.1608977
0.0008759,3,-7.2920699,7.3005700999999996e-06,-7.292062599999999,-7.160907300000001,4.8423986e-06,-7.1609025
0.0012286,4,-7.2920783,1.0311827e-05,-7.2920679999999996,-7.160916,6.8584407e-06,-7.160909200000001
0.0017234,5,-7.2920901,1.4624896e-05,-7.2920755,-7.160928200000001,9.764283199999999e-06,-7.160918400000001
0.0024174,6,-7.292106599999999,2.0787857e-05,-7.2920858,-7.1609451,1.3949809e-05,-7.1609312
0.0033909,7,-7.2921296,2.9570614e-05,-7.2921,-7.160968899999999,1.9974626e-05,-7.1609489
0.0047565,8,-7.292161699999999,4.2042234e-05,-7.2921197,-7.161002099999999,2.8640955e-05,-7.1609734
0.006672,9,-7.292206599999999,5.9670464e-05,-7.2921469,-7.161048599999999,4.1087743e-05,-7.161007499999999
0.0093589,10,-7.292269500000001,8.444854100000001e-05,-7.292185000000001,-7.161113799999999,5.8940948e-05,-7.1610549
0.0131278,11,-7.2923579,0.00011903486,-7.292238799999999,-7.1612054,8.4479321e-05,-7.1611210000000005
0.0184145,12,-7.292482700000001,0.00016690069,-7.2923158,-7.161334599999999,0.00012091195,-7.1612137
0.0258302,13,-7.292660000000001,0.00023245990000000003,-7.2924276,-7.161517599999999,0.00017264346999999999,-7.1613449000000005
0.0362323,14,-7.2929147,0.00032114374,-7.2925935,-7.1617782000000005,0.00024567883,-7.1615325
0.0508234,15,-7.2932859,0.00043964145,-7.2928462,-7.1621527,0.00034811974,-7.1618046
0.0712906,16,-7.2938287,0.00060793894,-7.293220699999999,-7.16269,0.00049929059,-7.162190700000001
0.1,17,-7.294596,0.00089297634,-7.2937031,-7.163438900000001,0.0007570686200000001,-7.1626818
0.140271,18,-7.295633500000001,0.0014174139999999999,-7.294216099999999,-7.164444199999999,0.001233568,-7.1632107000000005
0.19676,19,-7.296999499999999,0.0023447426999999997,-7.294654799999999,-7.1657584000000005,0.0020948981,-7.163663499999999
0.275997,20,-7.2987322,0.003926874,-7.2948053,-7.1674103,0.0036022009,-7.163808099999999
0.3871,21,-7.300786,0.0065481351,-7.294237799999999,-7.1693398,0.0061484547,-7.1631913
0.5431,22,-7.302868400000001,0.010788581,-7.2920799,-7.171230499999999,0.010298881999999999,-7.160931599999999
0.7617,23,-7.303847900000001,0.017472348000000002,-7.2863755999999995,-7.171982300000001,0.016803986,-7.155178299999999
1.0685,24,-7.301338799999999,0.026840665,-7.2744981,-7.1694424,0.025854362000000002,-7.143588
1.4988,25,-7.295243400000001,0.03567503,-7.259568400000001,-7.1635231,0.034327819,-7.129195299999999
2.1024,26,-7.2881557,0.040709824,-7.247445900000001,-7.1566220000000005,0.039129059,-7.1174929
2.949,27,-7.2810106,0.042962915,-7.2380477,-7.149642,0.041735966,-7.107906
4.1366,28,-7.274020599999999,0.043942782,-7.230077799999999,-7.142790299999999,0.043583601,-7.0992067
5.8025,29,-7.2672569000000005,0.044749947000000005,-7.2225069,-7.1361312,0.044977659,-7.091153599999999
8.1392,30,-7.2605461,0.046241865,-7.2143043,-7.129427499999999,0.046481509000000004,-7.082946000000001
11.417,31,-7.253652099999999,0.048847444000000004,-7.2048047,-7.122407300000001,0.049009085,-7.073398200000001
16.0147,32,-7.2467666,0.052532336,-7.1942342,-7.1151919999999995,0.053277239000000004,-7.0619148
22.464,33,-7.2407452,0.057317127999999995,-7.1834281,-7.1086485,0.059178173,-7.0494704
