,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,-2.3254242060000002e-05,1,-1.5102771000000001e-06
0.00075015,2,-2.305708168e-05,2,1.7439092000000002e-05
0.00105225,3,-2.2612183339999998e-05,3,-9.3357882e-06
0.001476,4,-2.211744013e-05,4,-1.4124999e-05
0.0020704,5,-2.157677218e-05,5,-1.2659277e-05
0.00290415,6,-2.099863426e-05,6,-1.3938179e-05
0.0040737,7,-2.038466451e-05,7,-1.2983072999999999e-05
0.00571425,8,-1.9731840289999997e-05,8,-1.3678697e-05
0.00801545,9,-1.90319461e-05,9,-1.3054983999999999e-05
0.01124335,10,-1.829873463e-05,10,-1.3266492e-05
0.01577115,11,-1.752827097e-05,11,-1.3187632000000001e-05
0.02212235,12,-1.67066014e-05,12,-1.2978349e-05
0.03103125,13,-1.584097625e-05,13,-1.2805336999999999e-05
0.04352785,14,-1.486254871e-05,14,-9.7147155e-06
0.061057,15,-1.1645317169999999e-05,15,-5.9933777e-06
0.0856453,16,-3.5059936000000104e-07,16,-5.5740074e-06
0.1201355,17,2.437946047e-05,17,-2.7591576000000006e-06
0.1685155,18,6.4188219267e-05,18,6.0403882e-06
0.2363785,19,0.00012486466216,19,2.0370771e-05
0.3315485,20,0.00021419460846399999,20,4.2046714000000003e-05
0.4651,21,0.0003421663800956,21,7.380498e-05
0.6524,22,0.00052024004804,22,0.00011917641000000001
0.9151,23,0.0007053924709199999,23,0.00016653811
1.28365,24,0.0007200039924899999,24,0.00017200415
1.8006,25,0.00056771127398,25,0.00013492867
2.5257,26,0.000408864660829,26,9.495971900000001e-05
3.5428,27,0.0002819392842060001,27,6.266709e-05
4.96955,28,0.00018748580341,28,3.8491119e-05
6.97085,29,0.00012109360341999999,29,2.1282591e-05
9.7781,30,7.450738727000001e-05,30,8.968996699999999e-06
13.71585,31,4.040506081000001e-05,31,-3.4838714e-07
19.23935,32,1.602506507e-05,32,-7.3405444e-06
26.98725,33,1.007268269999999e-06,33,-1.2063436999999998e-05
37.8553,34,-7.93510841e-06,34,-1.5383273e-05
53.10005,35,-1.4883453620000001e-05,35,-1.843448e-05
73.8875,36,-2.051687037e-05,36,-2.1416251000000003e-05
97.6625,37,-2.377460808e-05,37,-2.3701448999999997e-05
121.4375,38,-2.548166468e-05,38,-2.5297836999999998e-05
145.2125,39,-2.708272493e-05,39,-2.6617168000000002e-05
168.9875,40,-2.890966973e-05,40,-2.8765881e-05
192.7625,41,-4.00184823e-05,41,-4.3326009e-05
216.5375,42,-7.55714944e-05,42,-0.00010432169
240.3125,43,-8.08814906e-05,43,-0.00019123074
264.0875,44,1.8347005999999975e-05,44,-0.0002621707
287.8625,45,0.0003010791229999999,45,-0.00022150175
311.6375,46,0.0007257637609999999,46,6.948308e-05
335.4125,47,0.0012969674769999998,47,0.0005991813
359.1875,48,0.002078025571,48,0.0013930715
382.9625,49,0.0031005409750000006,49,0.0024716513
406.7375,50,0.004391978031000001,50,0.0038067753
430.5125,51,0.005969354055,51,0.005333313399999999
454.2875,52,0.007709829793999999,52,0.0068780303
478.0625,53,0.009690025516000001,53,0.0084932086
501.8375,54,0.012001938755999999,54,0.010274355
525.6125,55,0.01467523166,55,0.01231597
549.3875,56,0.01774709031,56,0.014828242
573.1625,57,0.021285066180000003,57,0.01800263
596.9375,58,0.026380605190000003,58,0.022905645
620.7125,59,0.0320747617,59,0.028862687
644.4875,60,0.0381310549,60,0.035668702999999996
668.2625,61,0.0445795424,61,0.043210187000000004
692.0375,62,0.0514041801,62,0.051157404000000004
715.8125,63,0.058659132960000006,63,0.05935427099999999
739.5875,64,0.06639509399,64,0.06753179
763.3625,65,0.07464046684,65,0.075565097
787.1375,66,0.08341652547999999,66,0.08362388700000001
810.9125,67,0.09259231288,67,0.09171715800000001
834.6875,68,0.10172000925,68,0.099772185
858.4625,69,0.11019064751999999,69,0.10773319
882.2375,70,0.11777463362999999,70,0.11541853
906.0125,71,0.12484162388,71,0.12345778
929.7875,72,0.13198688265999997,72,0.13248197
953.5625,73,0.139721283296,73,0.14278035
977.3375,74,0.148761679337,74,0.15525238
1001.1125,75,0.16214335400000002,75,0.17159586
