,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-21.780996000000002,0.0,-21.780996000000002,-21.880781,-9.682367900000001e-08,-21.880781
0.0006244,2,-21.780996000000002,1.3787862923e-09,-21.780996000000002,-21.880781,-9.640902199999999e-08,-21.880781
0.0008759,3,-21.780996000000002,1.9428339645e-09,-21.780996000000002,-21.880781,-9.716009e-08,-21.880781
0.0012286,4,-21.780996000000002,2.7604999620000003e-09,-21.780996000000002,-21.880781,-9.877e-08,-21.880781
0.0017234,5,-21.78099601,3.948470094200001e-09,-21.780996000000002,-21.880781,-1.0045962e-07,-21.880781
0.0024174,6,-21.78099601,5.6739988317e-09,-21.780996000000002,-21.880781,-1.0197212000000001e-07,-21.880781
0.0033909,7,-21.78099601,8.1806039036e-09,-21.780996000000002,-21.880781,-1.0334377e-07,-21.880781
0.0047565,8,-21.78099602,1.18211916632e-08,-21.78099601,-21.880781,-1.0435100999999999e-07,-21.880781
0.006672,9,-21.78099602,1.7107829267e-08,-21.78099601,-21.880781,-1.0497209e-07,-21.880781
0.0093589,10,-21.780996029999997,2.4784157611000003e-08,-21.78099601,-21.880781,-1.0484954e-07,-21.880781
0.0131278,11,-21.78099615,3.5928996298e-08,-21.78099602,-21.880781,-1.0381316999999999e-07,-21.880781
0.0184145,12,-21.78099617,5.2107965308e-08,-21.780996119999998,-21.880781,-1.0129586999999999e-07,-21.880781
0.0258302,13,-21.780996199999997,7.559244078299998e-08,-21.78099613,-21.880781,-9.661744800000001e-08,-21.880781
0.0362323,14,-21.78099624,1.0967843327900001e-07,-21.78099614,-21.880781,-8.888245900000001e-08,-21.880781
0.0508234,15,-21.780996299999998,1.5925641323000001e-07,-21.78099616,-21.880781,-7.6731264e-08,-21.880781
0.0712906,16,-21.780996379999998,2.3656991757000002e-07,-21.78099617,-21.880781,-6.171735800000001e-08,-21.880781
0.1,17,-21.78099648,3.7980576649000004e-07,-21.78099614,-21.880781,-4.2618106e-08,-21.880781
0.140271,18,-21.7809967,6.7415454786e-07,-21.780996000000002,-21.880781,4.7518545e-09,-21.880781
0.19676,19,-21.7809968,1.2767056430000002e-06,-21.78099556,-21.880781,1.3039373e-07,-21.880781
0.275997,20,-21.78099694,2.4963073661999997e-06,-21.78099442,-21.880781,4.1896414e-07,-21.880781
0.3871,21,-21.78099654,4.9354945858999985e-06,-21.78099155,-21.880781,1.0335663e-06,-21.880779999999998
0.5431,22,-21.78099504,9.761896286e-06,-21.78098527,-21.880781,2.2940685e-06,-21.880779
0.7617,23,-21.780990889999998,1.9159593964e-05,-21.780971790000002,-21.880779999999998,4.8321836e-06,-21.880776
1.0685,24,-21.78098216,3.6066463502e-05,-21.78094622,-21.880779,9.516168400000001e-06,-21.880769
1.4988,25,-21.78096949,6.0045303132999996e-05,-21.7809095,-21.880777,1.6342611999999998e-05,-21.880761
2.1024,26,-21.78095613,8.73748638e-05,-21.780868939999998,-21.880775,2.4378201e-05,-21.880751
2.949,27,-21.780944159999997,0.00011642657881000001,-21.78082789,-21.880775,3.320869e-05,-21.880742
4.1366,28,-21.78093466,0.00014661506813000002,-21.780788270000002,-21.880775,4.2745685000000005e-05,-21.880733
5.8025,29,-21.78092878,0.00017771796939,-21.78075115,-21.880778,5.303603e-05,-21.880725
8.1392,30,-21.780927419999998,0.00021001411309,-21.78071765,-21.880782999999997,6.42872e-05,-21.880719
11.417,31,-21.78093227,0.00024390660466999998,-21.78068862,-21.880792,7.6773821e-05,-21.880716
16.0147,32,-21.78094668,0.00027943291751999995,-21.78066657,-21.880807,9.0680568e-05,-21.880716
22.464,33,-21.78097168,0.00031685275239999995,-21.78065413,-21.880828,0.00010627781999999999,-21.880722
