,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1,76.716477,1,54.493314
0.00075015,2,40.975266,2,41.525733
0.00105225,3,33.041806,3,35.820506
0.001476,4,26.177273,4,29.287696
0.0020704,5,20.453729,5,22.421178
0.00290415,6,15.887172,6,16.168235
0.0040737,7,12.355622,7,11.340237
0.00571425,8,9.6705894,8,8.313615200000001
0.00801545,9,7.6323446,9,6.630980900000001
0.01124335,10,6.0594355,10,5.5757582999999995
0.01577115,11,4.801153,11,4.5837007000000005
0.02212235,12,3.7335312999999997,12,3.4976652
0.03103125,13,2.7418211,13,2.3661216
0.04352785,14,1.5354444999999999,14,1.0846269
0.061057,15,0.62169184,15,0.25485214
0.0856453,16,1.009796,16,0.80930937
0.1201355,17,1.9792161,17,1.9486768
0.1685155,18,2.67429,18,2.7992302000000002
0.2363785,19,3.3541449,19,3.5326785000000003
0.3315485,20,4.1384021,20,4.1730184999999995
0.4651,21,5.134848000000001,21,4.9349476999999995
0.6524,22,6.6762948,22,6.401764599999999
0.9151,23,8.422255,23,8.267836200000001
1.28365,24,8.1217853,24,8.0302133
1.8006,25,6.3054195,25,6.1109013
2.5257,26,4.9201569,26,4.6244825
3.5428,27,3.9381227,27,3.887147
4.96955,28,3.2046421,28,3.339312
6.97085,29,2.6704897,29,2.7644862999999997
9.7781,30,2.2452812,30,2.2583884
13.71585,31,1.8236203000000002,31,1.8485749
19.23935,32,1.3858483999999998,32,1.3503157
26.98725,33,1.051379,33,1.0134769000000001
37.8553,34,0.82417546,34,0.87824222
53.10005,35,0.57641157,35,0.6322833
73.8875,36,0.31830384,36,0.30268335
97.6625,37,0.17732512,37,0.15092762
121.4375,38,0.13217877,38,0.13782337
145.2125,39,0.033079712000000004,39,0.057984333
168.9875,40,-0.099824705,40,-0.075233074
192.7625,41,-0.095180313,41,-0.07998820200000001
216.5375,42,0.024980999,42,0.027475336
240.3125,43,0.07787159099999999,43,0.071294912
264.0875,44,0.09487924,44,0.084380921
287.8625,45,0.10174553,45,0.090255532
311.6375,46,0.10350786,46,0.090069858
335.4125,47,0.10267798,47,0.09010825800000001
359.1875,48,0.1005129,48,0.088065926
382.9625,49,0.097735269,49,0.08656822900000001
406.7375,50,0.0946585,50,0.085677374
430.5125,51,0.09094054300000001,51,0.08453111699999999
454.2875,52,0.085923568,52,0.08083626
478.0625,53,0.07957974599999999,53,0.076757431
501.8375,54,0.07264641200000001,54,0.071035558
525.6125,55,0.06603419099999999,55,0.065491387
549.3875,56,0.060211837000000004,56,0.060036959
573.1625,57,0.055206070999999995,57,0.054913975999999996
596.9375,58,0.051038282000000004,58,0.050263432000000004
620.7125,59,0.047189257000000005,59,0.045767483
644.4875,60,0.043571675,60,0.041506039
668.2625,61,0.040238875,61,0.03765233
692.0375,62,0.037271621,62,0.03323664
715.8125,63,0.034819059,63,0.030635719
739.5875,64,0.033151481000000003,64,0.028614366000000002
763.3625,65,0.032781415,65,0.027448818
787.1375,66,0.034568462,66,0.029703782
810.9125,67,0.03842903,67,0.033495636
834.6875,68,0.041483455,68,0.036114451
858.4625,69,0.039675338,69,0.035283787999999996
882.2375,70,0.032807763,70,0.028260583
906.0125,71,0.025082728,71,0.02073283
929.7875,72,0.019723064,72,0.015934864
953.5625,73,0.017342891000000003,73,0.012962699
977.3375,74,0.019087068999999998,74,0.015775216
1001.1125,75,0.08681873,75,0.084243791
