,CRD,CRD,CLIRAD `coolr_bands`,CLIRAD `coolr_bands`
,layer,coolrg,layer,coolrg
pressure,,,,
0.0003122,1.0,76.716477,,
0.000312205,,,1.0,38.907706
0.00075015,2.0,40.975266,2.0,33.904352
0.00105225,3.0,33.041806,3.0,31.687023999999997
0.001476,4.0,26.177273,4.0,28.647703999999997
0.0020704,5.0,20.453729,5.0,24.715578
0.00290415,6.0,15.887172,6.0,20.074775
0.0040737,7.0,12.355622,7.0,15.169383999999999
0.00571425,8.0,9.6705894,8.0,10.650433
0.00801545,9.0,7.6323446,9.0,7.1765008
0.01124335,10.0,6.0594355,10.0,5.0288316
0.01577115,11.0,4.801153,11.0,3.9572227
0.02212235,12.0,3.7335312999999997,12.0,3.3695125
0.03103125,13.0,2.7418211,13.0,2.7959728999999998
0.04352785,14.0,1.5354444999999999,14.0,1.8217415000000001
0.061057,15.0,0.62169184,15.0,0.94091638
0.0856453,16.0,1.009796,16.0,1.1702223
0.1201355,17.0,1.9792161,17.0,1.8977370999999998
0.1685155,18.0,2.67429,18.0,2.3407397
0.2363785,19.0,3.3541449,19.0,2.8509855
0.3315485,20.0,4.1384021,20.0,3.7330864000000004
0.4651,21.0,5.134848000000001,21.0,5.0807305
0.6524,22.0,6.6762948,22.0,6.966494900000001
0.9151,23.0,8.422255,23.0,8.6707092
1.28365,24.0,8.1217853,24.0,7.9545109
1.8006,25.0,6.3054195,25.0,5.861246700000001
2.5257,26.0,4.9201569,26.0,4.7254437000000005
3.5428,27.0,3.9381227,27.0,4.2027035999999995
4.96955,28.0,3.2046421,28.0,3.4793714999999996
6.97085,29.0,2.6704897,29.0,2.6901864
9.7781,30.0,2.2452812,30.0,2.1979516
13.71585,31.0,1.8236203000000002,31.0,2.0346013
19.23935,32.0,1.3858483999999998,32.0,1.7087549
26.98725,33.0,1.051379,33.0,1.2121754999999999
37.8553,34.0,0.82417546,34.0,0.81872362
53.10005,35.0,0.57641157,35.0,0.62005819
73.8875,36.0,0.31830384,36.0,0.42962214
97.6625,37.0,0.17732512,37.0,0.24462086
121.4375,38.0,0.13217877,38.0,0.13668439
145.2125,39.0,0.033079712000000004,39.0,-0.0043728986
168.9875,40.0,-0.099824705,40.0,-0.15823641
192.7625,41.0,-0.095180313,41.0,-0.14476778
216.5375,42.0,0.024980999,42.0,-0.0017510463000000001
240.3125,43.0,0.07787159099999999,43.0,0.058542442
264.0875,44.0,0.09487924,44.0,0.075068737
287.8625,45.0,0.10174553,45.0,0.08263124599999999
311.6375,46.0,0.10350786,46.0,0.08729388099999999
335.4125,47.0,0.10267798,47.0,0.090824004
359.1875,48.0,0.1005129,48.0,0.092659376
382.9625,49.0,0.097735269,49.0,0.09320869
406.7375,50.0,0.0946585,50.0,0.09234948400000001
430.5125,51.0,0.09094054300000001,51.0,0.08981776300000001
454.2875,52.0,0.085923568,52.0,0.084335475
478.0625,53.0,0.07957974599999999,53.0,0.077044276
501.8375,54.0,0.07264641200000001,54.0,0.068421775
525.6125,55.0,0.06603419099999999,55.0,0.060128097
549.3875,56.0,0.060211837000000004,56.0,0.052434299000000004
573.1625,57.0,0.055206070999999995,57.0,0.045523058
596.9375,58.0,0.051038282000000004,58.0,0.039582463
620.7125,59.0,0.047189257000000005,59.0,0.03431082
644.4875,60.0,0.043571675,60.0,0.030017786
668.2625,61.0,0.040238875,61.0,0.026348534
692.0375,62.0,0.037271621,62.0,0.023285507999999996
715.8125,63.0,0.034819059,63.0,0.020930667
739.5875,64.0,0.033151481000000003,64.0,0.020002527
763.3625,65.0,0.032781415,65.0,0.01996697
787.1375,66.0,0.034568462,66.0,0.022801052999999998
810.9125,67.0,0.03842903,67.0,0.027153913
834.6875,68.0,0.041483455,68.0,0.031334033
858.4625,69.0,0.039675338,69.0,0.030305451
882.2375,70.0,0.032807763,70.0,0.024182845
906.0125,71.0,0.025082728,71.0,0.01720467
929.7875,72.0,0.019723064,72.0,0.012563591
953.5625,73.0,0.017342891000000003,73.0,0.010860752
977.3375,74.0,0.019087068999999998,74.0,0.012721188999999999
1001.1125,75.0,0.08681873,75.0,0.081841359
