,,CRD,CRD,CRD,CLIRAD,CLIRAD,CLIRAD
,,flug,fldg,fnetg,flug,fldg,fnetg
pressure,level,,,,,,
0.0,1,-17.738220000000002,0.0,-17.738220000000002,,,
1e-08,1,,,,-17.435557,0.00018174962,-17.435375
0.0006244,2,-17.738561999999998,0.006015972099999999,-17.732546,-17.435921,0.0034241145,-17.432497
0.0008759,3,-17.738717,0.007392234100000001,-17.731325,-17.43607,0.0045828047,-17.431487
0.0012286,4,-17.738915,0.0089700324,-17.729945,-17.436264,0.0061012747,-17.430163
0.0017234,5,-17.739163,0.010752467,-17.72841,-17.436517000000002,0.0080338815,-17.428483
0.0024174,6,-17.739476,0.012747526,-17.726729000000002,-17.436848,0.0103964,-17.426451
0.0033909,7,-17.739876000000002,0.01497887,-17.724897,-17.437279999999998,0.013144236,-17.424135999999997
0.0047565,8,-17.740389,0.017490619,-17.722898,-17.437849,0.016167268999999998,-17.421682
0.006672,9,-17.741055,0.020351553,-17.720704,-17.438603,0.019337542,-17.419265
0.0093589,10,-17.741933,0.023658699,-17.718275,-17.439608,0.022627125,-17.416981
0.0131278,11,-17.743108,0.027539012999999998,-17.715569,-17.440967,0.026232132999999998,-17.414735
0.0184145,12,-17.744713,0.032150433,-17.712563,-17.44284,0.030582842000000002,-17.412257
0.0258302,13,-17.746962,0.037679264,-17.709283,-17.445470999999998,0.036174618,-17.409297
0.0362323,14,-17.750245,0.044340197000000005,-17.705904,-17.449279,0.043427504000000006,-17.405851000000002
0.0508234,15,-17.755665,0.052414259000000005,-17.703251,-17.455368,0.052666257,-17.402701999999998
0.0712906,16,-17.764995000000003,0.06325196799999999,-17.701743,-17.465431,0.06501051299999999,-17.400420999999998
0.1,17,-17.778772,0.080462981,-17.698309,-17.479945999999998,0.083505538,-17.39644
0.140271,18,-17.796685,0.10781713,-17.688868,-17.498614,0.1112273,-17.387387
0.19676,19,-17.819499,0.14852611,-17.670972,-17.522119,0.15039766,-17.371722000000002
0.275997,20,-17.84789,0.20840021,-17.63949,-17.550971,0.20601229,-17.344959
0.3871,21,-17.88157,0.29654535,-17.585025,-17.584547,0.28872369,-17.295823000000002
0.5431,22,-17.91716,0.4270239,-17.490136,-17.618913,0.41698747,-17.201925
0.7617,23,-17.937519,0.62026412,-17.317255,-17.63673,0.61521947,-17.021511
1.0685,24,-17.900548,0.88937954,-17.011167999999998,-17.599147,0.89278493,-16.706362
1.4988,25,-17.793142,1.1959581,-16.597184,-17.495019,1.1941572,-16.300862
2.1024,26,-17.646393,1.5000508,-16.146342,-17.352110999999997,1.4703758,-15.881735
2.949,27,-17.470616,1.8176961999999999,-15.652920000000002,-17.179674,1.771883,-15.407791
4.1366,28,-17.267239,2.1683326000000003,-15.098906,-16.977586,2.1610913,-14.816495000000002
5.8025,29,-17.038372,2.5718628,-14.466509,-16.748169,2.6183565,-14.129813
8.1392,30,-16.780484,3.0531631,-13.727321,-16.483860999999997,3.0987656,-13.385095000000002
11.417,31,-16.484835999999998,3.6293093,-12.855526,-16.174357,3.6427675,-12.531589
16.0147,32,-16.157769000000002,4.2954412,-11.862327,-15.825794,4.4024245,-11.423369000000001
22.464,33,-15.841878,5.0382907,-10.803587,-15.486239000000001,5.3684346,-10.117804
31.5105,34,-15.559863,5.8829566,-9.676905999999999,-15.175999,6.3573239,-8.818675500000001
44.2001,35,-15.278108,6.840081,-8.4380273,-14.856593,7.268728200000001,-7.5878645
62.0,36,-15.025457000000001,7.8028076,-7.2226492,-14.558209,8.277888,-6.280321099999999
85.775,37,-14.952916,8.6267117,-6.3262044,-14.445288,9.3750451,-5.0702434
109.55,38,-15.053451999999998,9.226652,-5.8268005,-14.510187,10.128945,-4.381241999999999
133.325,39,-15.216914000000001,9.7623707,-5.454543,-14.633157999999998,10.636903,-3.9962553999999995
